team_no	attempt_no	turn_no	utterance_no	start	end	subject	verb	object	instructions	pending_instructions	matching
20	1	1	-1	0.311	0.311	R	shows	observe gesture	[]	[]	[]
20	1	1	-1	0.359	0.359	R	says	so, ann and bob, let's start building the tracks. i count on you guys. are you ready? also, you need to play this game together, as both of you will see different views at all times. you can talk now to help each other. to see my instructions again, check the information icon on your screens. time to play. let's go!	[]	[]	[]
20	1	1	0	41.587	42.194	A	says	okay .	[]	[]	[]
20	1	1	1	43.838	47.343	A	says	so i guess we have to connect all these with the .	[]	[]	[]
20	1	1	2	47.774	49.958	B	says	um do we, how many .	[]	[]	[]
20	1	1	3	51.957	52.982	A	says	oh .	[]	[]	[]
20	1	1	-1	54.427	54.427	R	shows	thinking gesture	[]	[]	[]
20	1	1	-1	54.443	54.443	R	says	hmm, i see.	[]	[]	[]
20	1	1	-1	54.735	54.735	A	presses	help (enabled)	[]	[]	[]
20	1	1	4	56.606	57.024	R	says	i see .	[]	[]	[]
20	1	1	5	57.510	59.302	B	says	so we haven't even done anything .	[]	[]	[]
20	1	1	6	60.152	61.230	B	says	have you done anything ?	[]	[]	[]
20	1	1	7	61.756	62.201	A	says	no .	[]	[]	[]
20	1	1	8	63.162	67.225	B	says	so , how many ten circles and zero .	[]	[]	[]
20	1	1	9	67.832	68.856	B	says	minuses .	[]	[]	[]
20	1	1	-1	71.905	71.905	B	presses	submit (disabled)	[]	[]	[]
20	1	1	-1	72.405	72.405	B	presses	submit (disabled)	[]	[]	[]
20	1	1	-1	74.044	74.044	A	adds	Zermatt-Montreux (4-6)	[]	[]	[DO_A(ADD(4,6)), NONMATCH_A(DO_A(ADD(4,6)))]
20	1	1	-1	75.582	75.582	B	presses	help (enabled)	[]	[]	[]
20	1	1	10	77.274	78.056	B	says	i'm just gonna .	[]	[]	[]
20	1	1	-1	77.903	77.903	A	adds	Luzern-Zermatt (1-4)	[]	[]	[DO_A(ADD(1,4)), NONMATCH_A(DO_A(ADD(1,4)))]
20	1	2	11	79.054	79.472	A	says	uh	[]	[]	[]
20	1	2	12	80.065	80.402	A	says	uh	[]	[]	[]
20	1	2	13	80.590	81.332	B	says	oh there .	[]	[]	[]
20	1	2	14	81.143	82.410	A	says	oh two three .	[]	[]	[]
20	1	2	15	82.505	84.857	B	says	oh that's what you've been doing this all time .	[]	[]	[]
20	1	2	-1	85.675	85.675	A	presses	submit (disabled)	[]	[]	[]
20	1	2	16	85.708	86.746	B	says	uh	[]	[]	[]
20	1	2	17	87.072	89.525	B	says	what we can't block the roads , right ?	[]	[]	[]
20	1	2	18	90.124	90.974	A	says	yeah i think .	[]	[]	[]
20	1	2	-1	90.206	90.206	A	presses	help (enabled)	[]	[]	[]
20	1	2	19	94.117	94.967	A	says	um	[]	[]	[]
20	1	2	20	95.522	96.924	B	says	i'm gonna try to do another one .	[]	[]	[]
20	1	2	-1	99.426	99.426	R	shows	observe gesture	[]	[]	[]
20	1	2	21	99.437	100.381	B	says	i don't want to .	[]	[]	[]
20	1	2	22	101.500	102.781	B	says	i don't want an eraser .	[]	[]	[]
20	1	2	-1	105.907	105.907	B	adds	Interlaken-Montreux (5-6)	[]	[]	[DO_B(ADD(5,6)), NONMATCH_B(DO_B(ADD(5,6)))]
20	1	2	23	106.536	107.501	B	says	i got one .	[]	[]	[]
20	1	2	24	109.953	114.393	A	says	oh that's what you've been oh that's why i'm in this position .	[]	[]	[]
20	1	2	25	115.450	116.744	B	says	okay can you tell me ?	[]	[]	[]
20	1	2	26	118.227	119.898	B	says	so , what can i do ?	[]	[]	[]
20	1	2	-1	121.695	121.695	A	presses	help (enabled)	[]	[]	[]
20	1	2	27	121.915	123.950	A	says	let me see the information box .	[]	[]	[]
20	1	2	28	124.642	126.637	A	says	you are number two i think .	[]	[]	[]
20	1	2	29	127.603	128.506	A	says	abstract .	[]	[]	[]
20	1	2	30	128.452	129.449	B	says	yeah , so .	[]	[]	[]
20	1	2	31	129.665	131.741	A	says	uh no no you are in interactive view .	[]	[]	[]
20	1	2	32	131.768	132.563	B	says	yeah i'm in the	[]	[]	[]
20	1	2	33	132.038	134.923	A	says	in this view you can interact and build tracks .	[]	[]	[]
20	1	2	34	135.131	137.409	A	says	click , drag and release to build a track .	[]	[]	[]
20	1	2	35	137.698	140.030	A	says	a brief press on the track will remove it .	[]	[]	[]
20	1	2	36	144.175	145.186	B	says	i'm confused .	[]	[]	[]
20	1	2	-1	145.832	145.832	B	adds	Zermatt-Davos (4-9)	[]	[]	[DO_B(ADD(4,9)), NONMATCH_B(DO_B(ADD(4,9)))]
20	1	3	37	148.104	149.331	A	says	oh okay my turn .	[]	[]	[]
20	1	3	38	152.250	153.908	B	says	okay so um .	[]	[]	[]
20	1	3	-1	153.882	153.882	A	adds	Interlaken-Neuchatel (5-7)	[]	[]	[DO_A(ADD(5,7)), NONMATCH_A(DO_A(ADD(5,7)))]
