team_no	attempt_no	turn_no	utterance_no	start	end	subject	verb	object	instructions	pending_instructions	matching
17	1	1	-1	0.311	0.311	R	shows	observe gesture	[]	[]	[]
17	1	1	-1	0.376	0.376	R	says	so, ann and bob, let's start building the tracks. i count on you guys. are you ready? also, you need to play this game together, as both of you will see different views at all times. you can talk now to help each other. to see my instructions again, check the information icon on your screens. time to play. let's go!	[]	[]	[]
17	1	1	-1	45.060	45.060	A	adds	Luzern-Zermatt (1-4)	[]	[]	[DO_A(ADD(1,4)), NONMATCH_A(DO_A(ADD(1,4)))]
17	1	1	0	48.714	51.047	A	says	you can't get past through the other mountains right ?	[]	[]	[]
17	1	1	1	51.533	52.636	B	says	i don't know .	[]	[]	[]
17	1	1	2	52.454	53.467	A	says	okay .	[]	[]	[]
17	1	1	-1	54.197	54.197	R	shows	thinking gesture	[]	[]	[]
17	1	1	-1	54.232	54.232	R	says	hmm, i see.	[]	[]	[]
17	1	1	-1	55.155	55.155	A	adds	Luzern-Bern (1-3)	[]	[]	[DO_A(ADD(1,3)), NONMATCH_A(DO_A(ADD(1,3)))]
17	1	2	3	56.132	57.033	R	says	i see .	[]	[]	[]
17	1	2	4	65.513	69.113	I	says	so you only build from something that is already connected .	[]	[]	[]
17	1	2	5	69.184	69.620	B	says	oh .	[]	[]	[]
17	1	2	6	69.254	70.323	A	says	oh , okay .	[]	[]	[]
17	1	2	-1	75.966	75.966	B	adds	Zermatt-Davos (4-9)	[]	[]	[DO_B(ADD(4,9)), NONMATCH_B(DO_B(ADD(4,9)))]
17	1	2	-1	92.752	92.752	B	adds	Gallen-Davos (8-9)	[]	[]	[DO_B(ADD(8,9)), NONMATCH_B(DO_B(ADD(8,9)))]
17	1	3	-1	99.731	99.731	A	adds	Zurich-Gallen (2-8)	[]	[]	[DO_A(ADD(2,8)), NONMATCH_A(DO_A(ADD(2,8)))]
17	1	3	7	100.994	108.762	I	says	so i guess to understand better what is happening here maybe you should click the information button and read what is written .	[]	[]	[]
17	1	3	-1	106.959	106.959	A	presses	help (enabled)	[]	[]	[]
17	1	3	-1	109.070	109.070	B	presses	help (enabled)	[]	[]	[]
17	1	3	8	109.368	111.061	I	says	do you see at the top ?	[]	[]	[]
17	1	3	9	111.428	112.120	A	says	yeah .	[]	[]	[]
17	1	3	10	112.338	113.837	I	says	what does it tell you ?	[]	[]	[]
17	1	3	11	115.842	118.641	I	says	like your view and your friend's view .	[]	[]	[]
17	1	3	12	119.317	120.287	A	says	uh okay .	[]	[]	[]
17	1	3	13	129.379	131.630	A	says	okay so this is my view .	[]	[]	[]
17	1	3	14	154.555	156.187	B	says	how do you go back ?	[]	[]	[]
17	1	3	15	155.962	157.340	I	says	click on it .	[]	[]	[]
17	1	3	-1	165.369	165.369	A	adds	Basel-Zurich (0-2)	[]	[]	[DO_A(ADD(0,2)), NONMATCH_A(DO_A(ADD(0,2)))]
17	1	4	16	165.889	168.167	A	says	okay bob it's your turn .	[]	[]	[]
17	1	4	-1	174.683	174.683	B	adds	Basel-Neuchatel (0-7)	[]	[]	[DO_B(ADD(0,7)), NONMATCH_B(DO_B(ADD(0,7)))]
17	1	4	-1	184.349	184.349	B	adds	Montreux-Neuchatel (6-7)	[]	[]	[DO_B(ADD(6,7)), NONMATCH_B(DO_B(ADD(6,7)))]
