team_no	attempt_no	turn_no	utterance_no	start	end	subject	verb	object	nodes	instructions	acts	pending_suggests
18	1	1	-1	0.317	0.317	R	shows	observe gesture	[]	[]	[]	[]
18	1	1	-1	0.361	0.361	R	says	so, ann and bob, let's start building the tracks. i count on you guys. are you ready? also, you need to play this game together, as both of you will see different views at all times. you can talk now to help each other. to see my instructions again, check the information icon on your screens. time to play. let's go!	[]	[]	[]	[]
18	1	1	-1	53.608	53.608	R	shows	thinking gesture	[]	[]	[]	[]
18	1	1	-1	53.626	53.626	R	says	hmm, i see.	[]	[]	[]	[]
18	1	1	0	54.952	56.204	R	says	...	[]	[]	[]	[]
18	1	1	-1	61.429	61.429	A	adds	Zermatt-Davos (4-9)	[]	[]	[DO_A(ADD(4, 9)), FREE_A(DO_A(ADD(4, 9)))]	[]
18	1	1	1	69.605	95.076	I	says	...	[]	[]	[]	[]
18	1	1	-1	76.769	76.769	B	presses	help (enabled)	[]	[]	[]	[]
18	1	1	-1	78.054	78.054	A	presses	help (enabled)	[]	[]	[]	[]
18	1	1	-1	98.610	98.610	R	shows	observe gesture	[]	[]	[]	[]
18	1	1	-1	110.709	110.709	A	presses	submit (disabled)	[]	[]	[]	[]
18	1	1	2	125.988	133.363	A	says	so we need to use less francs ?	[]	[]	[]	[]
18	1	1	3	135.788	137.360	B	says	um	[]	[]	[]	[]
18	1	1	-1	143.475	143.475	B	presses	help (enabled)	[]	[]	[]	[]
18	1	1	-1	153.731	153.731	B	presses	help (enabled)	[]	[]	[]	[]
18	1	1	-1	157.068	157.068	B	presses	help (enabled)	[]	[]	[]	[]
18	1	1	-1	158.608	158.608	R	shows	thinking gesture	[]	[]	[]	[]
18	1	1	-1	158.629	158.629	R	says	hmm, i see.	[]	[]	[]	[]
18	1	1	4	159.882	160.882	R	says	...	[]	[]	[]	[]
18	1	1	-1	173.841	173.841	A	adds	Luzern-Zermatt (1-4)	[]	[]	[DO_A(ADD(1, 4)), FREE_A(DO_A(ADD(1, 4)))]	[]
18	1	2	-1	189.366	189.366	B	adds	Zermatt-Montreux (4-6)	[]	[]	[DO_B(ADD(4, 6)), FREE_B(DO_B(ADD(4, 6)))]	[]
18	1	2	-1	191.679	191.679	B	adds	Interlaken-Montreux (5-6)	[]	[]	[DO_B(ADD(5, 6)), FREE_B(DO_B(ADD(5, 6)))]	[]
18	1	2	5	194.973	195.552	A	says	this .	[]	[]	[]	[]
18	1	2	6	197.559	202.571	A	says	mount interlaken costs 4 ?	[5]	[ADD(5, None)]	[SUGGEST_A(ADD(5, None))]	[SUGGEST_A(ADD(5, None))]
18	1	2	7	206.243	207.585	B	says	yeah and	[]	[]	[]	[SUGGEST_A(ADD(5, None))]
18	1	2	8	207.453	208.559	A	says	so .	[]	[]	[]	[SUGGEST_A(ADD(5, None))]
18	1	2	9	211.808	213.012	B	says	yeah .	[]	[]	[]	[SUGGEST_A(ADD(5, None))]
18	1	3	-1	219.701	219.701	A	adds	Luzern-Bern (1-3)	[]	[]	[DO_A(ADD(1, 3)), FREE_A(DO_A(ADD(1, 3)))]	[]
18	1	3	-1	224.803	224.803	B	presses	help (enabled)	[]	[]	[]	[]
18	1	3	-1	225.274	225.274	A	presses	help (enabled)	[]	[]	[]	[]
18	1	3	-1	234.128	234.128	A	presses	submit (disabled)	[]	[]	[]	[]
18	1	3	10	234.664	235.124	B	says	um	[]	[]	[]	[]
18	1	3	11	239.657	242.394	B	says	how do you do anything right now ?	[]	[]	[]	[]
18	1	3	12	244.881	245.420	I	says	what ?	[]	[]	[]	[]
18	1	3	13	245.762	248.091	B	says	how do i do anything ?	[]	[]	[]	[]
18	1	3	14	247.808	254.663	I	says	...	[]	[]	[]	[]
18	1	3	-1	251.365	251.365	B	presses	help (enabled)	[]	[]	[]	[]
18	1	3	15	263.289	263.953	A	says	oh .	[]	[]	[]	[]
18	1	3	16	263.690	264.598	B	says	oh yeah .	[]	[]	[]	[]
18	1	3	17	265.433	266.183	B	says	um	[]	[]	[]	[]
18	1	3	18	269.565	272.881	I	says	...	[]	[]	[]	[]
18	1	3	-1	282.818	282.818	A	adds	Zurich-Bern (2-3)	[]	[]	[DO_A(ADD(2, 3)), FREE_A(DO_A(ADD(2, 3)))]	[]
18	1	3	19	287.342	288.974	B	says	i think so .	[]	[]	[]	[]
