team_no	attempt_no	turn_no	utterance_no	start	end	subject	verb	object	instructions	pending_instructions	matching
9	1	1	-1	0.226	0.226	R	shows	observe gesture	[]	[]	[]
9	1	1	-1	0.309	0.309	R	says	so, ann and bob, let's start building the tracks. i count on you guys. are you ready? also, you need to play this game together, as both of you will see different views at all times. you can talk now to help each other. to see my instructions again, check the information icon on your screens. time to play. let's go!	[]	[]	[]
9	1	1	0	40.591	41.040	B	says	uh	[]	[]	[]
9	1	1	1	41.489	42.268	B	says	ann ?	[]	[]	[]
9	1	1	2	42.268	42.897	A	says	yeah .	[]	[]	[]
9	1	1	3	43.411	45.792	B	says	if you did from mount montreux	[ADD(6,?)]	[INSTRUCT_B(ADD(6,?))]	[INSTRUCT_B(ADD(6,?))]
9	1	1	4	47.170	49.717	B	says	to interlaken , mount interlaken .	[ADD(5,?)]	[INSTRUCT_B(ADD(6,?)), INSTRUCT_B(ADD(5,?))]	[INSTRUCT_B(ADD(5,?))]
9	1	1	5	50.388	54.633	B	says	that would make it less expensive than if you went to mount montreux then to zermatt .	[ADD(6,4)]	[INSTRUCT_B(ADD(6,?)), INSTRUCT_B(ADD(5,?)), INSTRUCT_B(ADD(6,4))]	[INSTRUCT_B(ADD(6,4))]
9	1	1	-1	53.741	53.741	R	shows	thinking gesture	[]	[INSTRUCT_B(ADD(6,?)), INSTRUCT_B(ADD(5,?)), INSTRUCT_B(ADD(6,4))]	[]
9	1	1	-1	53.746	53.746	R	says	hmm, i see.	[]	[INSTRUCT_B(ADD(6,?)), INSTRUCT_B(ADD(5,?)), INSTRUCT_B(ADD(6,4))]	[]
9	1	1	6	55.352	56.010	R	says	i see .	[]	[INSTRUCT_B(ADD(6,?)), INSTRUCT_B(ADD(5,?)), INSTRUCT_B(ADD(6,4))]	[]
9	1	1	-1	65.809	65.809	B	presses	help (enabled)	[]	[INSTRUCT_B(ADD(6,?)), INSTRUCT_B(ADD(5,?)), INSTRUCT_B(ADD(6,4))]	[]
9	1	1	-1	66.276	66.276	B	presses	help (enabled)	[]	[INSTRUCT_B(ADD(6,?)), INSTRUCT_B(ADD(5,?)), INSTRUCT_B(ADD(6,4))]	[]
9	1	1	-1	66.942	66.942	B	presses	help (enabled)	[]	[INSTRUCT_B(ADD(6,?)), INSTRUCT_B(ADD(5,?)), INSTRUCT_B(ADD(6,4))]	[]
9	1	1	-1	93.176	93.176	B	presses	help (enabled)	[]	[INSTRUCT_B(ADD(6,?)), INSTRUCT_B(ADD(5,?)), INSTRUCT_B(ADD(6,4))]	[]
9	1	1	-1	98.798	98.798	R	shows	observe gesture	[]	[INSTRUCT_B(ADD(6,?)), INSTRUCT_B(ADD(5,?)), INSTRUCT_B(ADD(6,4))]	[]
9	1	1	7	104.559	118.958	I	says	ann do you also want to read the instructions once ...	[]	[INSTRUCT_B(ADD(6,?)), INSTRUCT_B(ADD(5,?)), INSTRUCT_B(ADD(6,4))]	[]
9	1	1	8	111.002	111.601	B	says	um	[]	[INSTRUCT_B(ADD(6,?)), INSTRUCT_B(ADD(5,?)), INSTRUCT_B(ADD(6,4))]	[]
9	1	1	9	114.747	119.615	B	says	i've read the instructions and it says you could see the cost of it .	[]	[INSTRUCT_B(ADD(6,?)), INSTRUCT_B(ADD(5,?)), INSTRUCT_B(ADD(6,4))]	[]
9	1	1	10	120.004	123.794	B	says	in swiss francs but how would you find that out ?	[]	[INSTRUCT_B(ADD(6,?)), INSTRUCT_B(ADD(5,?)), INSTRUCT_B(ADD(6,4))]	[]
