team_no	attempt_no	turn_no	utterance_no	start	end	subject	verb	object	instructions	pending_instructions	matching
47	1	1	-1	0.174	0.174	R	shows	observe gesture	[]	[]	[]
47	1	1	-1	0.247	0.247	R	says	so, ann and bob, let's start building the tracks. i count on you guys. are you ready? also, you need to play this game together, as both of you will see different views at all times. you can talk now to help each other. to see my instructions again, check the information icon on your screens. time to play. let's go!	[]	[]	[]
47	1	1	0	40.321	42.448	B	says	um okay so .	[]	[]	[]
47	1	1	1	41.430	42.628	A	says	okay so .	[]	[]	[]
47	1	1	2	43.736	48.140	B	says	i'm going from mount montreux to mount interlaken .	[ADD(6,5)]	[INSTRUCT_B(ADD(6,5))]	[INSTRUCT_B(ADD(6,5))]
47	1	1	3	48.709	50.836	A	says	to mount what , what wait mount ?	[]	[INSTRUCT_B(ADD(6,5))]	[]
47	1	1	4	50.866	56.922	I	says	so maybe you would like to see the instruction sheet once both of you , the this i button .	[]	[INSTRUCT_B(ADD(6,5))]	[]
47	1	1	-1	53.636	53.636	R	shows	thinking gesture	[]	[INSTRUCT_B(ADD(6,5))]	[]
47	1	1	-1	53.640	53.640	R	says	hmm, i see.	[]	[INSTRUCT_B(ADD(6,5))]	[]
47	1	1	-1	54.023	54.023	B	presses	help (enabled)	[]	[INSTRUCT_B(ADD(6,5))]	[]
47	1	1	5	55.120	56.558	R	says	i see .	[]	[INSTRUCT_B(ADD(6,5))]	[]
47	1	1	-1	55.296	55.296	A	presses	help (enabled)	[]	[INSTRUCT_B(ADD(6,5))]	[]
47	1	1	6	56.922	59.108	I	says	ann , can you press this button ?	[]	[INSTRUCT_B(ADD(6,5))]	[]
47	1	1	7	57.071	58.090	A	says	um	[]	[INSTRUCT_B(ADD(6,5))]	[]
47	1	1	-1	58.606	58.606	B	presses	help (enabled)	[]	[INSTRUCT_B(ADD(6,5))]	[]
47	1	1	8	59.108	64.680	I	says	yeah , so at the top it tells you something , like your view and your friends' view .	[]	[INSTRUCT_B(ADD(6,5))]	[]
47	1	1	-1	63.840	63.840	B	presses	help (enabled)	[]	[INSTRUCT_B(ADD(6,5))]	[]
47	1	1	9	64.419	65.648	B	says	oh that's cool .	[]	[INSTRUCT_B(ADD(6,5))]	[]
47	1	1	10	66.426	71.579	I	says	so , in the white view you can build the roads , but in the black view you can not .	[]	[INSTRUCT_B(ADD(6,5))]	[]
47	1	1	11	71.579	77.309	I	says	but you can see what your friends is doing , and how much money your friend is spending while building a road .	[]	[INSTRUCT_B(ADD(6,5))]	[]
47	1	1	12	77.309	83.010	I	says	so you both will like alternate between these two views , and you have to build the roads together .	[]	[INSTRUCT_B(ADD(6,5))]	[]
47	1	1	13	77.378	78.546	A	says	uh	[]	[INSTRUCT_B(ADD(6,5))]	[]
47	1	1	-1	77.956	77.956	B	presses	help (enabled)	[]	[INSTRUCT_B(ADD(6,5))]	[]
47	1	1	-1	79.473	79.473	B	presses	help (enabled)	[]	[INSTRUCT_B(ADD(6,5))]	[]
47	1	1	-1	81.056	81.056	B	presses	help (enabled)	[]	[INSTRUCT_B(ADD(6,5))]	[]
47	1	1	14	82.725	83.804	A	says	okay .	[]	[INSTRUCT_B(ADD(6,5))]	[]
47	1	1	15	83.010	84.298	I	says	okay .	[]	[INSTRUCT_B(ADD(6,5))]	[]
47	1	1	16	85.062	87.638	A	says	i kind of get it if i have question can i ask you ?	[]	[INSTRUCT_B(ADD(6,5))]	[]
47	1	1	-1	85.673	85.673	B	presses	help (enabled)	[]	[INSTRUCT_B(ADD(6,5))]	[]
47	1	1	-1	87.125	87.125	B	presses	help (enabled)	[]	[INSTRUCT_B(ADD(6,5))]	[]
47	1	1	17	87.998	94.567	I	says	uh yeah sure , uh and actually like when you guys build something together and you submit it the robot will give you feedback .	[]	[INSTRUCT_B(ADD(6,5))]	[]
47	1	1	18	94.867	95.556	A	says	okay .	[]	[INSTRUCT_B(ADD(6,5))]	[]
47	1	1	19	94.986	95.735	I	says	okay .	[]	[INSTRUCT_B(ADD(6,5))]	[]
47	1	1	20	97.344	98.123	A	says	okay .	[]	[INSTRUCT_B(ADD(6,5))]	[]
47	1	1	-1	98.623	98.623	R	shows	observe gesture	[]	[INSTRUCT_B(ADD(6,5))]	[]
47	1	1	21	106.359	108.217	A	says	so where are you building ?	[]	[INSTRUCT_B(ADD(6,5))]	[]
47	1	1	22	109.475	114.247	I	says	so in this view you can not build , you just see what bob will build .	[]	[INSTRUCT_B(ADD(6,5))]	[]
47	1	1	-1	111.739	111.739	B	presses	help (enabled)	[]	[INSTRUCT_B(ADD(6,5))]	[]
47	1	1	23	113.288	113.857	A	says	um	[]	[INSTRUCT_B(ADD(6,5))]	[]
47	1	1	-1	114.289	114.289	B	presses	help (enabled)	[]	[INSTRUCT_B(ADD(6,5))]	[]
47	1	1	24	116.314	120.598	I	says	and the it will be your turn to build , so first she builds and then you will build .	[]	[INSTRUCT_B(ADD(6,5))]	[]
47	1	1	-1	118.089	118.089	B	presses	submit (disabled)	[]	[INSTRUCT_B(ADD(6,5))]	[]
47	1	1	-1	118.210	118.210	A	adds	Zermatt-Davos (4-9)	[]	[]	[DO_A(ADD(4,9)), MISMATCH_A(INSTRUCT_B(ADD(6,5)))]
47	1	1	25	119.526	123.001	A	says	i go from mount zermatt to mount davos .	[ADD(4,9)]	[INSTRUCT_A(ADD(4,9))]	[INSTRUCT_A(ADD(4,9))]
47	1	1	26	120.724	123.600	B	says	oh okay it's your turn then .	[]	[INSTRUCT_A(ADD(4,9))]	[]
47	1	1	27	123.600	126.416	A	says	and now your turn you can .	[]	[INSTRUCT_A(ADD(4,9))]	[]
47	1	1	28	125.277	129.311	I	says	oh no you you keep on doing until the screen doesn't change .	[]	[INSTRUCT_A(ADD(4,9))]	[]
47	1	1	29	128.526	130.653	A	says	oh , um	[]	[INSTRUCT_A(ADD(4,9))]	[]
47	1	1	30	133.139	135.625	A	says	um just	[]	[INSTRUCT_A(ADD(4,9))]	[]
