team_no	attempt_no	turn_no	utterance_no	start	end	subject	verb	object
7	1	1	-1	0.315	0.315	R	shows	observe gesture
7	1	1	-1	0.402	0.402	R	says	so, ann and bob, let's start building the tracks. i count on you guys. are you ready? also, you need to play this game together, as both of you will see different views at all times. you can talk now to help each other. to see my instructions again, check the information icon on your screens. time to play. let's go!
7	1	1	0	40.000	42.141	I	says	that is to record your voice
7	1	1	1	42.525	43.004	A	says	okay .
7	1	1	2	47.732	48.615	A	says	i am doing this .
7	1	1	-1	47.931	47.931	A	adds	Interlaken-Montreux (5-6)
7	1	1	3	50.372	51.540	A	says	can i see him playing ?
7	1	1	4	52.079	54.326	B	says	i do not understand how , it is not working .
7	1	1	-1	53.981	53.981	R	shows	thinking gesture
7	1	1	-1	53.998	53.998	R	says	hmm, i see.
7	1	1	5	55.779	56.737	R	says	i see .
7	1	1	-1	57.189	57.189	A	adds	Montreux-Neuchatel (6-7)
7	1	1	6	59.404	60.437	B	says	oh , okay .
7	1	1	7	63.538	65.994	A	says	i do not understand .
7	1	2	-1	65.317	65.317	B	adds	Zermatt-Montreux (4-6)
7	1	2	8	66.204	67.132	B	says	i understand .
7	1	2	-1	68.004	68.004	A	presses	submit (disabled)
7	1	2	9	68.403	69.661	B	says	what do i do now ?
7	1	2	10	71.714	72.864	A	says	bob ?
7	1	2	11	73.092	73.657	B	says	yeah ?
7	1	2	-1	73.275	73.275	B	removes	Interlaken-Montreux (5-6)
7	1	3	-1	74.640	74.640	A	removes	Zermatt-Montreux (4-6)
7	1	3	-1	78.558	78.558	A	adds	Zermatt-Montreux (4-6)
7	1	4	-1	83.450	83.450	B	adds	Luzern-Zermatt (1-4)
7	1	4	12	85.498	86.802	A	says	okay .
7	1	4	-1	85.674	85.674	A	presses	submit (disabled)
7	1	4	-1	85.726	85.726	B	adds	Luzern-Bern (1-3)
7	1	5	-1	91.368	91.368	A	adds	Interlaken-Montreux (5-6)
7	1	5	13	91.377	93.268	B	says	do you see what i am doing , or not ?
7	1	5	14	92.936	93.728	A	says	yeah i do .
7	1	5	15	94.264	95.491	A	says	then you see what i did ?
7	1	5	16	95.465	96.718	B	says	i can't see yours .
7	1	5	17	98.896	101.532	B	says	sometimes my screen turns like gray .
7	1	5	-1	100.878	100.878	A	adds	Basel-Neuchatel (0-7)
7	1	6	-1	102.979	102.979	A	presses	submit (disabled)
7	1	6	18	103.210	104.198	B	says	oh , there you go .
7	1	6	19	103.240	104.558	A	says	okay .
7	1	6	-1	106.049	106.049	B	adds	Basel-Bern (0-3)
7	1	6	20	109.650	111.148	B	says	i don't want the eraser .
7	1	6	-1	111.867	111.867	A	presses	help (enabled)
7	1	6	-1	114.697	114.697	B	removes	Interlaken-Montreux (5-6)
7	1	6	21	116.339	119.005	B	says	oh my god , this is so weird .
7	1	6	22	117.477	118.226	A	says	okay .
7	1	7	-1	119.313	119.313	A	adds	Basel-Zurich (0-2)
7	1	7	-1	125.075	125.075	A	adds	Zurich-Gallen (2-8)
7	1	7	23	126.584	132.545	A	says	why does it always show me like it is so annoying .
7	1	8	-1	128.165	128.165	B	adds	Interlaken-Montreux (5-6)
7	1	8	24	130.658	132.935	B	says	why does it turn gray sometimes ?
7	1	8	25	136.032	141.394	I	says	you can check the information check the information button on your screens read that
7	1	8	-1	137.660	137.660	B	adds	Luzern-Zurich (1-2)
7	1	9	-1	142.632	142.632	B	presses	help (enabled)
7	1	9	-1	142.751	142.751	A	adds	Gallen-Davos (8-9)
7	1	9	-1	143.347	143.347	R	shows	observe gesture
7	1	9	26	143.834	148.897	R	says	guys do not hesitate to submit your solutions
7	1	9	27	149.872	153.347	A	says	do you want to submit oh no , one sec .
7	1	9	-1	150.416	150.416	B	presses	help (enabled)
7	1	9	28	152.898	157.661	B	says	no no no , don't don't submit .
7	1	9	-1	153.760	153.760	A	adds	Zermatt-Davos (4-9)
7	1	10	-1	154.200	154.200	B	presses	help (enabled)
7	1	10	29	155.234	156.434	A	says	let let's not submit.
7	1	10	30	156.710	158.260	A	says	no , don't submit .
7	1	10	-1	158.319	158.319	A	presses	help (enabled)
7	1	10	-1	158.987	158.987	R	shows	thinking gesture
7	1	10	-1	158.998	158.998	R	says	hmm, i see.
7	1	10	-1	160.115	160.115	B	adds	Interlaken-Bern (5-3)
7	1	10	31	160.926	161.586	R	says	i see .
7	1	10	-1	162.475	162.475	B	adds	Luzern-Interlaken (1-5)
7	1	10	32	164.939	166.497	B	says	okay um
