A	okay .
A	so i guess we have to connect all these with the .
B	um do we , how many .
A	oh .
B	so we have n't even done anything .
B	have you done anything ?
A	no .
B	so , how many ten circles and zero .
B	minuses .
B	i 'm just gon na .
A	uh
A	uh
B	oh there .
A	oh two three .
B	oh that 's what you 've been doing this all time .
B	uh
B	what we ca n't block the roads , right ?
A	yeah i think .
A	um
B	i 'm gon na try to do another one .
B	i do n't want to .
B	i do n't want an eraser .
B	i got one .
A	oh that 's what you 've been oh that 's why i 'm in this position .
B	okay can you tell me ?
B	so , what can i do ?
A	let me see the information box .
A	you are number two i think .
A	abstract .
B	yeah , so .
A	uh no no you are in interactive view .
B	yeah i 'm in the
A	in this view you can interact and build tracks .
A	click , drag and release to build a track .
A	a brief press on the track will remove it .
B	i 'm confused .
A	oh okay my turn .
B	okay so um .
A	oh we , oh wait oh wait .
B	let me see this .
B	we 've got
A	oh it 's your turn .
B	um that was quick .
B	oh six , you ca n't block the streets remember .
A	yeah we ca n't block them .
B	i 'm blocking a school .
A	oh
A	oh good uh .
B	mountain basel okay .
A	i 'm gon na
B	try um mount zurich from mount saint gallen .
A	okay .
A	no i think we should do this , mount bern and then go to mount saint gallen .
B	okay .
A	try to go to mount saint gallen .
B	oh i think we have to connect all of them .
A	oh .
B	okay i did some .
B	okay for me .
A	oh no .
B	i think we are doing terrible .
B	you are making me hesitate .
A	okay .
B	okay .
B	thanks , robot .
A	i guess .
B	we 've been doing this right ?
B	i do n't even think , oh , wait i 'm gon na check something .
A	wait , oh wait , i think the check is green .
B	let me see something .
B	oh wait oh no .
A	what ?
B	i know what we have to do .
A	what ?
B	we have to do like seven .
A	oh wait ca n't do fourteen .
B	oh okay , then .
A	oh .
B	how you doing ?
A	i 'm thinking .
B	okay .
A	wait uh this one is not connected .
A	and this one is not connected .
B	oh my turn yey .
B	what can we connect next ?
B	can i connect it , can i connect it .
A	oh .
B	did we do it ?
A	i do n't know .
B	i 'm so confused , let me see .
B	what , what can i do .
A	uh i do n't know .
B	oh you think we are done ?
A	uh i do n't know , i do n't think so .
A	or maybe yes , i do n't know .
B	i think probably yes .
A	so should we click the check ?
B	oh yes , click the check .
A	okay .
B	what ?
B	what
B	oh now we start again , basically .
A	oh , oh i see , compare solutions .
B	what can we do ?
A	oh okay um .
A	oh this is our previous solution price 64 .
B	so .
A	oh i get it we have to get the most price , but .
A	oh by by 40 francs so
A	oh so we need to get 24 .
B	okay .
B	i 'm just gon na
A	by 40 okay .
B	okay , tell me if this works .
A	oh wait .
A	that 's 2 .
B	that 's uh
A	that 's 2 francs .
B	i 'll try this one .
A	wait wait wait , wait , wait , wait , wait .
A	try from neuchatel to mount bern that 's 5 .
A	neuchatel to
B	neuchatel ?
A	neuchatel whatever to mount bern .
B	i 'm trying to
B	oh that 's to
A	mount bern .
B	how much do we have now ?
A	now we have um seven .
B	5 .
A	i do .
B	2 .
A	look at our previous solution .
A	top right i mean bottom right .
A	bottom right .
B	i did it .
B	i did
A	that 's i think that 's bottom left .
A	you clicked .
B	okay , here we go .
B	um
B	try um neuchatel .
A	okay .
B	the one i just did to basel .
A	how much is that ?
B	um it 's 4 francs .
B	now this makes sense .
A	there we go .
B	perfect .
A	now what else ?
B	um
A	how much is that ?
B	5 francs .
A	okay we have to get to um .
A	we , wait wait wait wait wait , do n't to anything else , we have 5 2 7 .
A	7 11 .
A	14 .
A	4 , we have 19 .
B	19 okay .
A	okay wait wait wait wait .
A	let me get um you 're in zurich okay zurich
B	mount luzern ?
A	okay go from zurich go to davos .
B	what is davos ?
A	davos i do n't know .
B	davos .
A	yeah all the way down , there , yeah .
B	how much is it ?
B	4 francs .
A	that was 4 .
B	um so we have , 4
A	what we have 23 .
B	then how can we make 24 ?
A	oh we need only one .
B	no no .
B	what now we just messed up .
B	um
A	what is the nearest number to 1 , 2 right ?
B	then
B	2 yeah let me see .
A	and where , and where is that from davos , is there a
B	we will need a 2 .
B	um mount , mountain mount mountreux to mount zermatt .
A	what ?
B	mount montreux to mount zermatt .
A	oh .
B	perfect , no that 's 2 , now we have 25 .
A	damn .
B	we mess .
A	okay .
A	um give me the lowest number .
B	64 price !
A	no that was our previous price .
B	oh .
B	um
A	from zermatt
A	or
B	um mount basel to mount bern .
A	mount basel to mount bern .
A	there you go .
A	that 's right .
B	oh it 's my turn .
A	yeah it 's your turn .
B	so mount
A	um
A	do gallen to davos .
B	gallen .
A	yeah saint gallen .
B	saint gallen yes to
A	to davos .
B	we ca n't do that .
A	yeah we can .
B	we can do davos to saint gallen .
A	yeah that 's what i mean .
B	oh okay , then what should we do next ?
A	and then
B	i have a feeling that
A	go go zermatt to interlaken .
A	okay .
B	yeah what do you see .
A	okay give a cheapest one , the cheapest one .
B	2 plus 1 , 2 plus 1 .
B	you want to know 2 ?
A	no just just just the most cheapest , the cheapest .
B	the less , zurich to luzern .
A	zurich
B	to luzern .
A	how much is that ?
B	um that 's 2 francs .
A	2 ?
A	okay .
A	and then give me another one .
B	luzern to zermatt .
A	luzern to zermatt .
B	are you gon na say anything ?
A	okay um .
B	what 's next , what can we connect .
A	wait um .
A	interlaken to neuchatel .
B	interlaken to
A	neuchatel .
B	it 's luzern .
