A	so we need to use less francs ?
B	um
A	this .
A	mount interlaken costs 4 ?
B	yeah and
A	so .
B	yeah .
B	um
B	how do you do anything right now ?
B	how do i do anything ?
A	oh .
B	oh yeah .
B	um
B	i think so .
A	this costs 4 to mount basel .
B	yeah .
A	so i think we need to erase .
A	do you think this is good ?
B	um
B	yeah .
B	um do we press the finish button ?
B	do i press this or
A	so
B	oh what do i do here ?
B	like how
B	build what ?
B	um mount montreux and mount interlaken
A	okay .
A	and what what is the next one ?
B	and then mount neuchatel .
A	like to the
A	so
B	um wait which one are you on ?
A	you need to do it like cost less , cost less .
B	um so
B	from mount bern to mount zurich , zurich .
A	mount mount
B	um mount bern ?
B	did you connect mount neuchatel to mount basel ?
A	mount basel ?
B	mount basel its um
B	the
A	davos ?
B	what ?
A	which one ?
B	mount basel .
A	to
B	um have you connected mount neuchatel to mount basel ?
A	neuchatel ?
A	um to the mount , bern ?
B	mount bern yeah , no um no erase that one .
A	okay .
B	okay um .
B	okay so
B	have you
B	wait , did you , you know did you erase the one from mount neuchatel to mount bern okay so then you go
A	yes .
B	to
B	from mount zurich to mount saint gallen .
A	mount
B	saint gallen .
A	mount
A	luzern ?
B	um
B	you can go from mount bern to mount luzern .
A	mount bern to mount luzern .
B	and then from mount zurich you go to mount saint gallen .
A	mount
B	from mount zurich
A	to
B	you go to mount saint gallen .
A	oh to
B	okay and mount saint gallen .
B	and
A	i think we should erase the one that mount montreux to the mount interlaken .
B	mount
B	mount montreux what ?
B	mount montreux to mount what ?
A	interlaken .
A	i think we
B	and to mount interlaken ?
A	yes i think we should erase
B	right yeah okay .
B	so that
B	uh
B	okay so tell me what to do .
A	and
A	um
A	mount luzern
B	mount luzern .
A	to mount zermatt .
B	okay .
B	um
B	so
B	from mount zermatt we go to mount davos davos .
A	davos ?
B	and then from mount davos you go to mount zurich .
B	and
A	and its
A	mount montreux
B	mount
B	what ?
A	mountreux .
A	montreux to mount zermatt .
B	mount zermatt
B	but um it 's only the eraser .
A	mount zermatt to the mount montreux .
B	oh here .
B	and then ?
A	and i think , we should erase the mount davos to the mount zurich .
B	mount davos
A	and
A	it 's done .
B	no um i think we should
B	um
B	connect mount montreux to mount interlaken .
A	but it 's connected to ten mountains .
B	what ?
A	it 's connected to ten mountains .
B	to ten mountains ?
A	so think it 's done .
B	um
B	um
B	can you try it ?
A	and
A	how many does it cost to mount bern to mount , luzern ?
B	for mount , bern to what ?
A	mount luzern .
B	um 3 .
B	mount luzern to
A	mount zurich .
B	what ?
A	mount zurich , zurich .
B	yeah to
A	how much it does it cost ?
B	so mount zurich to mount
A	mount luzern .
B	2 .
A	2 so i think we should erase mount bern to mount luzern .
A	can i erase ?
A	because it cost 3 ?
B	um
B	it 's 2 3 and 4 .
B	and 5 .
B	there is no one .
B	so
A	the mount zurich and mount luzern and mount bern
B	mount what ?
A	um
B	mount
A	can i erase the mount bern to the mount luzern because its cost , 3 ?
B	okay .
A	and i think we are done .
B	um
A	can i press the
B	sure
B	what ?
A	you have to press the tick thing .
A	so
B	wait so
A	we need to find a way that cost minimum .
B	oh so uh connect
A	and connec the
B	mount basel to mount neuchatel .
A	ten mountains .
A	um mount neuchatel to the
A	mount
A	where ?
B	mount neuchatel to mount montreux montreux .
A	yes .
B	and then
B	and mount
