B	okay .
A	okay .
B	ann .
A	yeah .
B	um
B	tracks , where do they go .
B	mount
A	maybe we should do mount
B	zermatt ?
A	gallen to mount davos ?
B	which one ?
A	the
B	say again ?
A	mount
A	gallen
B	okay well i 'm trying to find it .
A	mount s t
B	gallen i found it yeah .
A	to down to mount davos .
B	okay .
B	well ann how do you make the tracks again ?
A	you pull
A	i think .
B	it 's not working .
B	information here okay found it .
A	information .
B	oh .
B	good .
A	click and drag to
B	click and drag to release okay , so mount
B	click drag and release to build a track .
B	click
B	drag
A	a brief press so you need to do it hard , harder than
A	in this view you can interact and build tracks .
A	in this view you can not build tracks .
B	oh , your friend 's view your view .
A	mine is
B	okay we 've got different ones .
B	no we do n't .
B	oh yeah we do okay .
A	so
B	so mount s t gallen .
B	click drag and release to build a
B	okay .
B	it 's not working .
B	how do i go back ?
A	um
B	i need help , wait .
A	um your
A	yeah .
B	yeah i know .
A	this is my my view is the one
A	the , is the abstract view .
A	you have the interactive view .
B	i have that so it 's like yeah okay .
B	okay .
A	bob .
A	so now , you have to do .
B	oh , so
A	draw draw from a mountain that is already been
B	wait , so
B	oh this
B	oh !
B	i get it now .
B	okay .
B	here .
B	okay .
A	maybe mount zurich to mount gallen ?
B	wait yeah mount i 'm doing like mount davos to mount s t gallen and then
B	okay .
A	so should we submit ?
B	no we do n't , wait wait wait , i do n't think it is finished yet .
B	i do n't think it is finished , hold up , mount zurich to mount s t gallen .
A	that is already connected .
B	do n't press submit .
B	i pressed it .
B	try again ann .
A	maybe , we should make it shorter .
B	okay , here .
B	oh yeah .
A	so you have
B	wait , i applied it .
A	maybe
B	okay i 'm just gon na press submit and restart , wait .
B	wait ann , press submit .
B	i just did an accident ann , i 'm not doing that again .
A	no i 'll try .
B	um that 's
A	let 's start from here ,
A	to
B	nice .
B	okay .
B	um
B	should i do
B	bern , bern ?
A	what ?
B	you wanna do the mount bern ?
B	or mount interlaken to bern .
A	go
A	go to
B	to which one ?
A	zermatt .
B	luzern ?
A	zermatt .
B	okay now should we do
B	mount zermatt to
A	mount
B	luzern .
B	luzern .
A	yeah .
B	okay , your turn .
B	you wanna do mount luzern to mount bern or something ?
B	i 'm gon na try that .
B	okay nice , now ,
B	mount bern to
B	i do n't know .
A	i 'm gon na try and go to mount basel to mount zurich .
B	yeah
B	okay i do mount basel
B	basel to mount neuchatel .
A	zurich .
A	or mount zurich .
B	or zurich .
A	yeah .
B	zurich ?
A	yeah .
B	okay .
B	i i did zurich ,
B	then let 's do
A	then go to
A	mount
B	t s t gallen
A	yeah .
B	from zurich ?
A	yeah .
B	okay .
B	your turn .
B	to
A	now i think we can submit .
B	okay yeah press submit , let 's see .
B	oh we 're so close .
B	let 's try again .
A	maybe it 's from
B	mount
B	zermatt to mount luzern ?
A	or
A	here ?
B	let 's try that , okay .
B	or that , yeah .
A	then maybe
B	oh no you choose
A	to here .
B	okay i 'm going to mount
B	bern .
B	and then
A	to mount basel
B	yeah mount basel you 're right .
B	okay .
B	yeah .
B	to mount davos , so far .
B	okay .
A	i think you need to get them exactly on the tracks .
B	no .
B	i do n't think that 's how .
A	and maybe to mount
B	nice .
A	bern .
B	i think you do one more and then i , okay we can submit let 's see , you wanna submit ?
B	should we submit now ?
A	yeah submit .
B	okay , i press submit .
B	oh , it is so hard .
B	it 's hard .
B	let 's try again .
A	maybe we start from , mount zermatt ?
B	no lets do mount davos to , where do you wanna go ?
A	to , mount , s t gallen .
B	okay .
B	and then mount s t gallen to mount
B	zurich .
B	or luzern which one ?
A	no luzern .
B	though yeah , i think i 'll need zurich .
A	to maybe to mount bern ?
B	mount bern yeah try it .
B	okay , now maybe to mount basel .
B	okay .
B	let 's do ,
B	mount basel to mount neuchatel , and neuchatel to
B	mount montreux i do n't know how to pronounce it yeah .
B	okay .
B	nice .
A	to
A	maybe to mount bern .
B	to , okay , um
A	to mount
B	mount luzern to where ?
A	yeah .
A	to mount , to mount luzern .
B	i ca n't press it for some reason it 's not letting me press .
A	to mount zermatt to luzern .
B	well wait , wait wait wait .
B	wait i ca n't , it 's not working for me .
A	mount zermatt to uh mount luzern .
B	wait what mount zermatt , oh yeah it 's because i did n't do a railroad yet .
B	um mount zermatt to mount luzern ,
A	mount
A	yeah .
B	or to mount davos .
A	maybe to no um mount luzern because there 's already one over there .
B	okay .
A	and you do n't wanna lose any more money .
A	so that 's
