team_no	utterance_no	token_no	start	end	interlocutor	utterance	token
7	0	0	42.525	43.004	A	okay .	okay
7	0	1	42.525	43.004	A	okay .	.
7	1	2	47.732	48.615	A	i am doing this .	i
7	1	3	47.732	48.615	A	i am doing this .	am
7	1	4	47.732	48.615	A	i am doing this .	doing
7	1	5	47.732	48.615	A	i am doing this .	this
7	1	6	47.732	48.615	A	i am doing this .	.
7	2	7	50.372	51.540	A	can i see him playing ?	can
7	2	8	50.372	51.540	A	can i see him playing ?	i
7	2	9	50.372	51.540	A	can i see him playing ?	see
7	2	10	50.372	51.540	A	can i see him playing ?	him
7	2	11	50.372	51.540	A	can i see him playing ?	playing
7	2	12	50.372	51.540	A	can i see him playing ?	?
7	3	13	52.079	54.326	B	i do not understand how , it is not working .	i
7	3	14	52.079	54.326	B	i do not understand how , it is not working .	do
7	3	15	52.079	54.326	B	i do not understand how , it is not working .	not
7	3	16	52.079	54.326	B	i do not understand how , it is not working .	understand
7	3	17	52.079	54.326	B	i do not understand how , it is not working .	how
7	3	18	52.079	54.326	B	i do not understand how , it is not working .	,
7	3	19	52.079	54.326	B	i do not understand how , it is not working .	it
7	3	20	52.079	54.326	B	i do not understand how , it is not working .	is
7	3	21	52.079	54.326	B	i do not understand how , it is not working .	not
7	3	22	52.079	54.326	B	i do not understand how , it is not working .	working
7	3	23	52.079	54.326	B	i do not understand how , it is not working .	.
7	4	24	59.404	60.437	B	oh , okay .	oh
7	4	25	59.404	60.437	B	oh , okay .	,
7	4	26	59.404	60.437	B	oh , okay .	okay
7	4	27	59.404	60.437	B	oh , okay .	.
7	5	28	63.538	65.994	A	i do not understand .	i
7	5	29	63.538	65.994	A	i do not understand .	do
7	5	30	63.538	65.994	A	i do not understand .	not
7	5	31	63.538	65.994	A	i do not understand .	understand
7	5	32	63.538	65.994	A	i do not understand .	.
7	6	33	66.204	67.132	B	i understand .	i
7	6	34	66.204	67.132	B	i understand .	understand
7	6	35	66.204	67.132	B	i understand .	.
7	7	36	68.403	69.661	B	what do i do now ?	what
7	7	37	68.403	69.661	B	what do i do now ?	do
7	7	38	68.403	69.661	B	what do i do now ?	i
7	7	39	68.403	69.661	B	what do i do now ?	do
7	7	40	68.403	69.661	B	what do i do now ?	now
7	7	41	68.403	69.661	B	what do i do now ?	?
7	8	42	71.714	72.864	A	bob ?	bob
7	8	43	71.714	72.864	A	bob ?	?
