team_no	utterance_no	token_no	start	end	interlocutor	utterance	token
10	0	0	65.774	66.433	B	okay .	okay
10	0	1	65.774	66.433	B	okay .	.
10	1	2	65.954	66.463	A	okay .	okay
10	1	3	65.954	66.463	A	okay .	.
10	2	4	66.493	67.002	B	ann .	ann
10	2	5	66.493	67.002	B	ann .	.
10	3	6	67.332	68.021	A	yeah .	yeah
10	3	7	67.332	68.021	A	yeah .	.
10	4	8	68.620	69.548	B	um	um
10	5	9	71.735	74.821	B	tracks , where do they go .	tracks
10	5	10	71.735	74.821	B	tracks , where do they go .	,
10	5	11	71.735	74.821	B	tracks , where do they go .	where
10	5	12	71.735	74.821	B	tracks , where do they go .	do
10	5	13	71.735	74.821	B	tracks , where do they go .	they
10	5	14	71.735	74.821	B	tracks , where do they go .	go
10	5	15	71.735	74.821	B	tracks , where do they go .	.
10	6	16	78.011	78.820	B	mount	mount
10	7	17	80.048	81.786	A	maybe we should do mount	maybe
10	7	18	80.048	81.786	A	maybe we should do mount	we
10	7	19	80.048	81.786	A	maybe we should do mount	should
10	7	20	80.048	81.786	A	maybe we should do mount	do
10	7	21	80.048	81.786	A	maybe we should do mount	mount
10	8	22	82.274	83.038	B	zermatt ?	zermatt
10	8	23	82.274	83.038	B	zermatt ?	?
10	9	24	83.382	86.168	A	gallen to mount davos ?	gallen
10	9	25	83.382	86.168	A	gallen to mount davos ?	to
10	9	26	83.382	86.168	A	gallen to mount davos ?	mount
10	9	27	83.382	86.168	A	gallen to mount davos ?	davos
10	9	28	83.382	86.168	A	gallen to mount davos ?	?
10	10	29	85.854	86.752	B	which one ?	which
10	10	30	85.854	86.752	B	which one ?	one
10	10	31	85.854	86.752	B	which one ?	?
10	11	32	87.202	87.771	A	the	the
10	12	33	89.269	90.182	B	say again ?	say
10	12	34	89.269	90.182	B	say again ?	again
10	12	35	89.269	90.182	B	say again ?	?
10	13	36	89.434	90.587	A	mount	mount
10	14	37	91.197	91.886	A	gallen	gallen
10	15	38	92.680	94.282	B	okay well i 'm trying to find it .	okay
10	15	39	92.680	94.282	B	okay well i 'm trying to find it .	well
10	15	40	92.680	94.282	B	okay well i 'm trying to find it .	i
10	15	41	92.680	94.282	B	okay well i 'm trying to find it .	'm
10	15	42	92.680	94.282	B	okay well i 'm trying to find it .	trying
10	15	43	92.680	94.282	B	okay well i 'm trying to find it .	to
