team_no	utterance_no	token_no	start	end	interlocutor	utterance	token
17	0	0	48.714	51.047	A	you ca n't get past through the other mountains right ?	you
17	0	1	48.714	51.047	A	you ca n't get past through the other mountains right ?	ca
17	0	2	48.714	51.047	A	you ca n't get past through the other mountains right ?	n't
17	0	3	48.714	51.047	A	you ca n't get past through the other mountains right ?	get
17	0	4	48.714	51.047	A	you ca n't get past through the other mountains right ?	past
17	0	5	48.714	51.047	A	you ca n't get past through the other mountains right ?	through
17	0	6	48.714	51.047	A	you ca n't get past through the other mountains right ?	the
17	0	7	48.714	51.047	A	you ca n't get past through the other mountains right ?	other
17	0	8	48.714	51.047	A	you ca n't get past through the other mountains right ?	mountains
17	0	9	48.714	51.047	A	you ca n't get past through the other mountains right ?	right
17	0	10	48.714	51.047	A	you ca n't get past through the other mountains right ?	?
17	1	11	51.533	52.636	B	i do n't know .	i
17	1	12	51.533	52.636	B	i do n't know .	do
17	1	13	51.533	52.636	B	i do n't know .	n't
17	1	14	51.533	52.636	B	i do n't know .	know
17	1	15	51.533	52.636	B	i do n't know .	.
17	2	16	52.454	53.467	A	okay .	okay
17	2	17	52.454	53.467	A	okay .	.
17	3	18	69.184	69.620	B	oh .	oh
17	3	19	69.184	69.620	B	oh .	.
17	4	20	69.254	70.323	A	oh , okay .	oh
17	4	21	69.254	70.323	A	oh , okay .	,
17	4	22	69.254	70.323	A	oh , okay .	okay
17	4	23	69.254	70.323	A	oh , okay .	.
17	5	24	111.428	112.120	A	yeah .	yeah
17	5	25	111.428	112.120	A	yeah .	.
17	6	26	119.317	120.287	A	uh okay .	uh
17	6	27	119.317	120.287	A	uh okay .	okay
17	6	28	119.317	120.287	A	uh okay .	.
17	7	29	129.379	131.630	A	okay so this is my view .	okay
17	7	30	129.379	131.630	A	okay so this is my view .	so
17	7	31	129.379	131.630	A	okay so this is my view .	this
17	7	32	129.379	131.630	A	okay so this is my view .	is
17	7	33	129.379	131.630	A	okay so this is my view .	my
17	7	34	129.379	131.630	A	okay so this is my view .	view
17	7	35	129.379	131.630	A	okay so this is my view .	.
17	8	36	154.555	156.187	B	how do you go back ?	how
17	8	37	154.555	156.187	B	how do you go back ?	do
17	8	38	154.555	156.187	B	how do you go back ?	you
17	8	39	154.555	156.187	B	how do you go back ?	go
17	8	40	154.555	156.187	B	how do you go back ?	back
17	8	41	154.555	156.187	B	how do you go back ?	?
17	9	42	165.889	168.167	A	okay bob it 's your turn .	okay
17	9	43	165.889	168.167	A	okay bob it 's your turn .	bob
17	9	44	165.889	168.167	A	okay bob it 's your turn .	it
17	9	45	165.889	168.167	A	okay bob it 's your turn .	's
17	9	46	165.889	168.167	A	okay bob it 's your turn .	your
17	9	47	165.889	168.167	A	okay bob it 's your turn .	turn
17	9	48	165.889	168.167	A	okay bob it 's your turn .	.
17	10	49	201.624	203.171	A	it 's my turn again .	it
17	10	50	201.624	203.171	A	it 's my turn again .	's
17	10	51	201.624	203.171	A	it 's my turn again .	my
17	10	52	201.624	203.171	A	it 's my turn again .	turn
17	10	53	201.624	203.171	A	it 's my turn again .	again
17	10	54	201.624	203.171	A	it 's my turn again .	.
17	11	55	205.721	207.812	A	your turn .	your
17	11	56	205.721	207.812	A	your turn .	turn
17	11	57	205.721	207.812	A	your turn .	.
17	12	58	209.748	210.787	B	should we submit ?	should
17	12	59	209.748	210.787	B	should we submit ?	we
17	12	60	209.748	210.787	B	should we submit ?	submit
17	12	61	209.748	210.787	B	should we submit ?	?
17	13	62	211.365	211.984	A	what ?	what
17	13	63	211.365	211.984	A	what ?	?
17	14	64	211.913	212.912	B	should we submit ?	should
17	14	65	211.913	212.912	B	should we submit ?	we
17	14	66	211.913	212.912	B	should we submit ?	submit
17	14	67	211.913	212.912	B	should we submit ?	?
17	15	68	213.221	214.262	A	yeah i think .	yeah
17	15	69	213.221	214.262	A	yeah i think .	i
17	15	70	213.221	214.262	A	yeah i think .	think
17	15	71	213.221	214.262	A	yeah i think .	.
17	16	72	214.753	215.583	A	yeah it 's good .	yeah
17	16	73	214.753	215.583	A	yeah it 's good .	it
