team_no	utterance_no	token_no	start	end	interlocutor	utterance	token
47	0	0	40.321	42.448	B	um okay so .	um
47	0	1	40.321	42.448	B	um okay so .	okay
47	0	2	40.321	42.448	B	um okay so .	so
47	0	3	40.321	42.448	B	um okay so .	.
47	1	4	41.430	42.628	A	okay so .	okay
47	1	5	41.430	42.628	A	okay so .	so
47	1	6	41.430	42.628	A	okay so .	.
47	2	7	43.736	48.140	B	i 'm going from mount montreux to mount interlaken .	i
47	2	8	43.736	48.140	B	i 'm going from mount montreux to mount interlaken .	'm
47	2	9	43.736	48.140	B	i 'm going from mount montreux to mount interlaken .	going
47	2	10	43.736	48.140	B	i 'm going from mount montreux to mount interlaken .	from
47	2	11	43.736	48.140	B	i 'm going from mount montreux to mount interlaken .	mount
47	2	12	43.736	48.140	B	i 'm going from mount montreux to mount interlaken .	montreux
47	2	13	43.736	48.140	B	i 'm going from mount montreux to mount interlaken .	to
47	2	14	43.736	48.140	B	i 'm going from mount montreux to mount interlaken .	mount
47	2	15	43.736	48.140	B	i 'm going from mount montreux to mount interlaken .	interlaken
47	2	16	43.736	48.140	B	i 'm going from mount montreux to mount interlaken .	.
47	3	17	48.709	50.836	A	to mount what , what wait mount ?	to
47	3	18	48.709	50.836	A	to mount what , what wait mount ?	mount
47	3	19	48.709	50.836	A	to mount what , what wait mount ?	what
47	3	20	48.709	50.836	A	to mount what , what wait mount ?	,
47	3	21	48.709	50.836	A	to mount what , what wait mount ?	what
47	3	22	48.709	50.836	A	to mount what , what wait mount ?	wait
47	3	23	48.709	50.836	A	to mount what , what wait mount ?	mount
47	3	24	48.709	50.836	A	to mount what , what wait mount ?	?
47	4	25	57.071	58.090	A	um	um
47	5	26	64.419	65.648	B	oh that 's cool .	oh
47	5	27	64.419	65.648	B	oh that 's cool .	that
47	5	28	64.419	65.648	B	oh that 's cool .	's
47	5	29	64.419	65.648	B	oh that 's cool .	cool
47	5	30	64.419	65.648	B	oh that 's cool .	.
47	6	31	77.378	78.546	A	uh	uh
47	7	32	82.725	83.804	A	okay .	okay
47	7	33	82.725	83.804	A	okay .	.
47	8	34	85.062	87.638	A	i kind of get it if i have question can i ask you ?	i
47	8	35	85.062	87.638	A	i kind of get it if i have question can i ask you ?	kind
47	8	36	85.062	87.638	A	i kind of get it if i have question can i ask you ?	of
47	8	37	85.062	87.638	A	i kind of get it if i have question can i ask you ?	get
47	8	38	85.062	87.638	A	i kind of get it if i have question can i ask you ?	it
47	8	39	85.062	87.638	A	i kind of get it if i have question can i ask you ?	if
47	8	40	85.062	87.638	A	i kind of get it if i have question can i ask you ?	i
47	8	41	85.062	87.638	A	i kind of get it if i have question can i ask you ?	have
47	8	42	85.062	87.638	A	i kind of get it if i have question can i ask you ?	question
47	8	43	85.062	87.638	A	i kind of get it if i have question can i ask you ?	can
47	8	44	85.062	87.638	A	i kind of get it if i have question can i ask you ?	i
47	8	45	85.062	87.638	A	i kind of get it if i have question can i ask you ?	ask
47	8	46	85.062	87.638	A	i kind of get it if i have question can i ask you ?	you
47	8	47	85.062	87.638	A	i kind of get it if i have question can i ask you ?	?
47	9	48	94.867	95.556	A	okay .	okay
47	9	49	94.867	95.556	A	okay .	.
47	10	50	97.344	98.123	A	okay .	okay
47	10	51	97.344	98.123	A	okay .	.
47	11	52	106.359	108.217	A	so where are you building ?	so
47	11	53	106.359	108.217	A	so where are you building ?	where
47	11	54	106.359	108.217	A	so where are you building ?	are
47	11	55	106.359	108.217	A	so where are you building ?	you
47	11	56	106.359	108.217	A	so where are you building ?	building
47	11	57	106.359	108.217	A	so where are you building ?	?
47	12	58	113.288	113.857	A	um	um
47	13	59	119.526	123.001	A	i go from mount zermatt to mount davos .	i
47	13	60	119.526	123.001	A	i go from mount zermatt to mount davos .	go
47	13	61	119.526	123.001	A	i go from mount zermatt to mount davos .	from
47	13	62	119.526	123.001	A	i go from mount zermatt to mount davos .	mount
47	13	63	119.526	123.001	A	i go from mount zermatt to mount davos .	zermatt
47	13	64	119.526	123.001	A	i go from mount zermatt to mount davos .	to
47	13	65	119.526	123.001	A	i go from mount zermatt to mount davos .	mount
47	13	66	119.526	123.001	A	i go from mount zermatt to mount davos .	davos
47	13	67	119.526	123.001	A	i go from mount zermatt to mount davos .	.
47	14	68	120.724	123.600	B	oh okay it 's your turn then .	oh
47	14	69	120.724	123.600	B	oh okay it 's your turn then .	okay
47	14	70	120.724	123.600	B	oh okay it 's your turn then .	it
47	14	71	120.724	123.600	B	oh okay it 's your turn then .	's
47	14	72	120.724	123.600	B	oh okay it 's your turn then .	your
47	14	73	120.724	123.600	B	oh okay it 's your turn then .	turn
47	14	74	120.724	123.600	B	oh okay it 's your turn then .	then
47	14	75	120.724	123.600	B	oh okay it 's your turn then .	.
47	15	76	123.600	126.416	A	and now your turn you can .	and
47	15	77	123.600	126.416	A	and now your turn you can .	now
47	15	78	123.600	126.416	A	and now your turn you can .	your
47	15	79	123.600	126.416	A	and now your turn you can .	turn
47	15	80	123.600	126.416	A	and now your turn you can .	you
47	15	81	123.600	126.416	A	and now your turn you can .	can
47	15	82	123.600	126.416	A	and now your turn you can .	.
47	16	83	128.526	130.653	A	oh , um	oh
47	16	84	128.526	130.653	A	oh , um	,
47	16	85	128.526	130.653	A	oh , um	um
47	17	86	133.139	135.625	A	um just	um
47	17	87	133.139	135.625	A	um just	just
47	18	88	136.374	141.095	A	so we need to collect connect all of them together using the less the least money ?	so
47	18	89	136.374	141.095	A	so we need to collect connect all of them together using the less the least money ?	we
47	18	90	136.374	141.095	A	so we need to collect connect all of them together using the less the least money ?	need
47	18	91	136.374	141.095	A	so we need to collect connect all of them together using the less the least money ?	to
47	18	92	136.374	141.095	A	so we need to collect connect all of them together using the less the least money ?	collect
47	18	93	136.374	141.095	A	so we need to collect connect all of them together using the less the least money ?	connect
47	18	94	136.374	141.095	A	so we need to collect connect all of them together using the less the least money ?	all
47	18	95	136.374	141.095	A	so we need to collect connect all of them together using the less the least money ?	of
47	18	96	136.374	141.095	A	so we need to collect connect all of them together using the less the least money ?	them
47	18	97	136.374	141.095	A	so we need to collect connect all of them together using the less the least money ?	together
47	18	98	136.374	141.095	A	so we need to collect connect all of them together using the less the least money ?	using
47	18	99	136.374	141.095	A	so we need to collect connect all of them together using the less the least money ?	the
47	18	100	136.374	141.095	A	so we need to collect connect all of them together using the less the least money ?	less
47	18	101	136.374	141.095	A	so we need to collect connect all of them together using the less the least money ?	the
47	18	102	136.374	141.095	A	so we need to collect connect all of them together using the less the least money ?	least
47	18	103	136.374	141.095	A	so we need to collect connect all of them together using the less the least money ?	money
47	18	104	136.374	141.095	A	so we need to collect connect all of them together using the less the least money ?	?
47	19	105	142.113	142.862	A	okay .	okay
47	19	106	142.113	142.862	A	okay .	.
47	20	107	150.529	151.518	A	okay .	okay
47	20	108	150.529	151.518	A	okay .	.
47	21	109	186.563	187.285	B	three	three
47	22	110	187.799	188.255	B	two	two
47	23	111	188.750	189.263	A	one .	one
47	23	112	188.750	189.263	A	one .	.
47	24	113	188.750	189.206	B	one .	one
47	24	114	188.750	189.206	B	one .	.
47	25	115	191.429	194.016	A	oh green , green check oh wait .	oh
47	25	116	191.429	194.016	A	oh green , green check oh wait .	green
47	25	117	191.429	194.016	A	oh green , green check oh wait .	,
47	25	118	191.429	194.016	A	oh green , green check oh wait .	green
47	25	119	191.429	194.016	A	oh green , green check oh wait .	check
47	25	120	191.429	194.016	A	oh green , green check oh wait .	oh
47	25	121	191.429	194.016	A	oh green , green check oh wait .	wait
47	25	122	191.429	194.016	A	oh green , green check oh wait .	.
47	26	123	216.135	216.990	A	okay .	okay
47	26	124	216.135	216.990	A	okay .	.
47	27	125	220.357	221.289	B	oh okay .	oh
47	27	126	220.357	221.289	B	oh okay .	okay
47	27	127	220.357	221.289	B	oh okay .	.
