Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	6	, i do n't know .	212	A	94, 305
2	6	go to mount saint gallen .	3	A	52, 54
2	6	this one is not connected .	2	A	81, 82
5	5	how much is that ?	205	A	144, 151, 227, 289, 348
5	5	i do n't know .	218	A	88, 91, 94, 164, 305
2	5	it 's your turn .	162	A	41, 202
2	5	saint gallen saint gallen .	227	A	249, 475
2	5	uh i do n't know	3	A	91, 93
3	4	, i do n't	213	A	93, 94, 305
3	4	neuchatel to montreux .	110	A	309, 312, 418
3	4	there you go .	286	A	199, 442, 484
3	4	zurich to luzern .	16	A	421, 428, 436
2	4	give me another 3	11	A	478, 488
2	4	oh so we need	171	A	109, 279
2	4	oh that 's why	345	A	23, 367
2	4	okay wait wait wait	126	A	159, 284
2	4	that 's 2 ?	3	A	402, 404
2	4	there we go .	323	A	147, 469
2	4	to mount bern .	76	A	123, 198
2	4	wait wait wait ,	36	A	119, 154
2	4	wait wait wait wait	6	A	154, 159
2	4	we click the check	168	A	96, 263
2	4	we have to get	47	A	107, 153
2	4	we need to get	215	A	109, 323
2	4	yeah we can .	97	A	211, 307
7	3	how much is	205	A	144, 151, 227, 257, 289, 326, 348
7	3	i do n't	334	A	88, 91, 93, 94, 164, 305, 421
6	3	saint gallen .	424	A	52, 54, 207, 249, 253, 475
4	3	oh okay .	190	A	274, 279, 416, 463
4	3	that 's 2	290	A	115, 117, 402, 404
4	3	to luzern .	16	A	421, 423, 428, 436
4	3	to montreux .	117	A	302, 309, 312, 418
4	3	we need to	260	A	109, 323, 360, 368
3	3	, oh wait	244	A	38, 68, 281
3	3	give me another	258	A	231, 478, 488
3	3	mount bern .	76	A	123, 126, 198
3	3	oh wait .	244	A	38, 114, 281
3	3	to davos .	48	A	162, 205, 209
3	3	to get to	188	A	153, 323, 340
3	3	to mount bern	79	A	120, 123, 198
3	3	we have to	153	A	1, 107, 153
3	3	yes you can	5	A	432, 434, 436
2	3	, is there	310	A	180, 489
2	3	, the cheapest	4	A	220, 223
2	3	, we have	4	A	154, 157
2	3	, we need	21	A	323, 343
2	3	a 2 .	56	A	341, 396
2	3	all the way	86	A	166, 251
2	3	and then we	23	A	351, 373
2	3	and where is	153	A	180, 332
2	3	bottom right .	2	A	133, 134
2	3	connect them all	14	A	360, 373
2	3	how much was	63	A	275, 337
2	3	i think .	11	A	17, 27
2	3	i think we	309	A	52, 360
2	3	oh no .	297	A	59, 355
2	3	oh that 's	345	A	23, 367
2	3	okay um .	132	A	104, 235
2	3	okay we have	135	A	153, 287
2	3	our previous solution	28	A	105, 132
2	3	that 's what	191	A	23, 213
2	3	the top .	175	A	251, 425
2	3	to 22 .	3	A	323, 325
2	3	to saint gallen	5	A	249, 253
2	3	to zermatt .	168	A	233, 400
2	3	um give me	289	A	190, 478
2	3	we ca n't	416	A	44, 459
2	3	you can .	6	A	427, 432
2	3	zermatt to davos	213	A	257, 469
