Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	7	how much do we have now ?	193	B	127, 319
2	6	i 've got an idea .	61	B	282, 342
2	6	we ca n't do that .	97	B	210, 306
2	5	, what can i do	66	B	25, 90
2	5	, zurich to luzern .	237	B	224, 460
2	5	i 'm just gon na	103	B	9, 111
2	5	what can we do ?	229	B	103, 331
3	4	how much do we	193	B	127, 272, 319
3	4	we have to do	246	B	72, 74, 317
3	4	what can we do	385	B	103, 331, 487
2	4	've been doing this	53	B	14, 66
2	4	, what can we	96	B	236, 331
2	4	been doing this right	412	B	66, 477
2	4	ca n't block the	28	B	16, 43
2	4	i 'm gon na	49	B	19, 67
2	4	i ca n't do	6	B	426, 431
2	4	i do n't want	2	B	20, 21
2	4	i have a feeling	262	B	216, 477
2	4	interlaken to zermatt .	5	B	399, 403
2	4	let me see .	91	B	89, 179
2	4	oh okay , then	139	B	76, 214
2	4	so , what can	307	B	25, 331
2	4	to mount zermatt .	3	B	182, 184
2	4	we do next ?	274	B	214, 487
2	4	what can we connect	153	B	84, 236
5	3	to luzern .	237	B	224, 226, 346, 349, 460
5	3	we have to	263	B	55, 72, 74, 273, 317
4	3	i do n't	401	B	20, 21, 67, 420
4	3	let me see	141	B	39, 69, 89, 179
4	3	we 've got	453	B	40, 470, 485, 492
4	3	we ca n't	293	B	16, 210, 306, 308
3	3	i ca n't	8	B	426, 431, 433
3	3	i think we	212	B	55, 60, 266
3	3	to davos .	133	B	335, 336, 467
3	3	to zermatt .	172	B	232, 399, 403
2	3	, how many	6	B	2, 7
2	3	4 francs .	24	B	145, 168
2	3	a 2 .	237	B	181, 417
2	3	and then we	154	B	317, 470
2	3	another 2 .	17	B	454, 470
2	3	ca n't .	126	B	308, 433
2	3	did it .	225	B	135, 359
2	3	do it .	28	B	431, 458
2	3	i just did	237	B	143, 379
2	3	let 's see	11	B	455, 465
2	3	mount basel to	118	B	197, 314
2	3	my turn .	215	B	201, 415
2	3	no no .	213	B	174, 386
2	3	oh that 's	112	B	14, 125
2	3	press check .	3	B	354, 356
2	3	saint gallen .	163	B	50, 212
2	3	so we have	167	B	4, 170
2	3	that 's 2	43	B	186, 228
2	3	think we are	33	B	60, 92
2	3	to bern .	186	B	295, 480
2	3	to montreux .	9	B	411, 419
2	3	to zurich .	169	B	288, 456
2	3	what we have	394	B	72, 465
2	3	where next ?	56	B	245, 300
2	3	you see .	36	B	219, 254
2	3	zermatt to davos	208	B	260, 467
13	2	we have	474	B	4, 55, 72, 74, 127, 170, 186, 273, 278, 317, 319, 465, 477
10	2	i 'm	305	B	9, 19, 31, 35, 45, 67, 89, 111, 124, 313
8	2	luzern .	237	B	224, 226, 241, 264, 346, 349, 426, 460
8	2	okay .	415	B	48, 53, 63, 80, 110, 158, 374, 462
6	2	can we	404	B	84, 103, 172, 236, 331, 487
6	2	have to	263	B	55, 72, 74, 269, 273, 317
6	2	how much	364	B	127, 167, 272, 278, 319, 490
6	2	that 's	326	B	14, 116, 125, 186, 228, 339
6	2	we do	401	B	87, 103, 214, 331, 467, 487
6	2	zurich to	257	B	224, 252, 336, 460, 474, 480
5	2	, what	307	B	25, 90, 236, 243, 331
5	2	do n't	448	B	20, 21, 67, 420, 467
5	2	gon na	226	B	9, 19, 67, 111, 234
5	2	i think	333	B	55, 60, 95, 266, 387
5	2	it .	374	B	85, 135, 359, 431, 458
5	2	let me	242	B	39, 69, 89, 179, 280
5	2	next ?	404	B	84, 214, 245, 300, 487
5	2	now we	385	B	101, 175, 186, 339, 485
5	2	okay ,	170	B	76, 113, 139, 214, 245
5	2	see .	367	B	89, 179, 219, 254, 455
5	2	to do	343	B	19, 72, 74, 317, 361
5	2	we 've	453	B	40, 66, 470, 485, 492
5	2	we are	312	B	60, 92, 299, 363, 371
5	2	what ?	342	B	99, 243, 358, 381, 440
4	2	basel to	118	B	197, 288, 295, 314
4	2	davos .	303	B	165, 335, 336, 467
4	2	do it	372	B	87, 317, 431, 458
4	2	do we	318	B	2, 127, 272, 319
4	2	francs .	84	B	145, 152, 168, 228
4	2	it 's	116	B	145, 201, 241, 260
4	2	it ?	303	B	87, 167, 278, 389
