Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	13	neuchatel to mount basel to mount zurich to mount gallen to mount davos	58	B	450, 507
2	7	i know what we are doing .	2	B	445, 446
2	6	how do you do it ?	6	B	7, 12
3	5	mount basel to mount zurich	180	B	328, 450, 507
3	5	mount zurich to mount gallen	307	B	201, 450, 507
2	5	i 'm gon na do	397	B	5, 401
2	5	i 'm gon na erase	2	B	137, 138
2	5	i do n't know .	349	B	125, 473
2	5	mount davos to mount zermatt	224	B	210, 433
2	5	on the other side .	11	B	493, 503
2	5	where do i go ?	3	B	421, 423
5	4	i 'm gon na	469	B	5, 137, 138, 401, 473
4	4	i do n't know	491	B	125, 155, 473, 615
4	4	mount zurich to mount	322	B	186, 201, 450, 507
3	4	just do it .	236	B	291, 432, 526
3	4	mount bern to mount	299	B	157, 254, 455
3	4	okay let 's do	115	B	481, 507, 595
3	4	the other side .	94	B	493, 503, 586
3	4	to mount bern .	258	B	313, 475, 570
2	4	, just do it	324	B	291, 614
2	4	erase mount bern .	15	B	138, 152
2	4	go to mount ,	45	B	523, 567
2	4	go to mount davos	2	B	551, 552
2	4	have the black .	3	B	95, 97
2	4	i 'm going to	148	B	313, 460
2	4	i 'm sorry .	556	B	68, 623
2	4	i ca n't erase	58	B	142, 199
2	4	i do n't get	3	B	358, 360
2	4	not working for me	107	B	11, 117
2	4	okay do it .	131	B	109, 239
2	4	to mount davos .	45	B	507, 551
2	4	to mount gallen .	331	B	201, 531
2	4	to mount luzern .	47	B	107, 153
2	4	to mount zurich .	172	B	157, 328
2	4	wait i ca n't	118	B	82, 199
2	4	we need mount bern	5	B	254, 258
2	4	what we did .	422	B	194, 615
2	4	yeah do that .	21	B	161, 181
2	4	you have the black	490	B	95, 584
9	3	do it .	472	B	109, 129, 239, 291, 347, 349, 432, 526, 580
8	3	i do n't	491	B	125, 137, 155, 158, 358, 360, 473, 615
7	3	mount bern .	433	B	138, 152, 258, 293, 313, 475, 570
6	3	go to mount	48	B	523, 524, 551, 552, 567, 570
