Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	7	from mount montreux to mount interlaken .	337	336	1	B	2, 337
2	2	7	you go from mount neuchatel to mount	300	44	1	B	257, 300
3	1	6	mount montreux to mount interlaken .	338	337	1	B	2, 337, 338
3	3	6	mount neuchatel to mount interlaken .	300	55	1	B	295, 300, 349
2	2	6	mount basel to mount neuchatel ,	349	117	1	A	233, 349
2	2	6	three , two , one .	320	2	1	A	319, 320
4	4	5	mount bern to mount basel	202	87	2	A	117, 160, 202, 203
4	4	5	mount davos to mount zermatt	101	7	2	B	98, 99, 101, 104
3	3	5	let 's start from mount	96	284	1	A	45, 96, 328
3	1	5	mount basel to mount neuchatel	233	232	1	B	118, 233, 349
3	3	5	then to mount zermatt .	86	192	1	B	85, 86, 276
2	2	5	bern to mount basel and	316	157	1	A	160, 316
2	2	5	mount basel to neuchatel .	316	154	1	A	163, 316
2	2	5	mount luzern to mount davos	266	48	1	B	219, 266
2	2	5	okay three two one .	125	57	1	B	69, 125
11	9	4	mount luzern to mount	115	268	1	B	78, 115, 146, 182, 183, 216, 219, 221, 224, 266, 345
10	10	4	mount zurich to mount	261	266	5	A	79, 158, 184, 194, 225, 261, 311, 331, 332, 344
8	8	4	mount zermatt to mount	347	335	7	A	13, 45, 141, 151, 239, 240, 314, 347
8	2	4	to mount interlaken .	300	348	3	B	2, 51, 295, 300, 314, 337, 338, 349
7	4	4	to mount zermatt .	86	268	2	B	78, 85, 86, 98, 99, 276, 345
6	2	4	mount bern to mount	227	172	2	A	117, 160, 202, 203, 227, 288
6	2	4	mount neuchatel to mount	300	155	3	B	195, 257, 295, 300, 318, 349
6	4	4	two , one .	210	112	1	B	209, 210, 243, 244, 319, 320
5	2	4	mount basel to mount	160	232	1	B	118, 160, 233, 255, 349
5	1	4	mount davos to mount	152	55	2	B	98, 99, 101, 104, 152
5	5	4	to mount davos .	219	227	3	A	13, 45, 218, 219, 239
4	1	4	neuchatel to mount interlaken	295	267	1	A	83, 295, 300, 349
3	3	4	and then to mount	122	17	2	B	106, 121, 122
3	3	4	i 'm gon na	250	22	1	A	240, 250, 261
3	1	4	three two one .	126	58	1	B	69, 125, 126
3	1	4	to mount basel and	316	157	2	A	160, 184, 316
3	3	4	to mount bern .	261	202	1	A	146, 261, 347
