Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	8	go mount saint gallen to mount zurich .	505	401	1	A	105, 505
4	2	6	mount saint gallen to mount zurich	429	401	1	A	105, 429, 468, 505
2	2	6	from mount luzern to mount davos	398	345	1	B	54, 398
2	2	6	mount basel to mount zurich .	385	64	1	A	322, 385
2	2	6	try mount luzern to mount bern	431	390	1	B	42, 431
10	10	5	how much is that ?	483	721	6	B	32, 37, 59, 392, 401, 444, 483, 638, 641, 752
7	3	5	mount saint gallen to mount	400	588	1	A	105, 400, 429, 468, 505, 681, 692
6	6	5	mount neuchatel to mount interlaken	516	294	3	B	288, 333, 429, 516, 542, 581
5	5	5	mount neuchatel to mount bern	108	147	1	B	78, 108, 192, 209, 224
4	4	5	i think we should go	134	132	2	A	99, 122, 134, 230
4	4	5	mount interlaken to mount bern	539	386	2	B	368, 371, 539, 753
4	4	5	no that wo n't work	384	330	1	B	201, 384, 488, 530
3	3	5	if you go to mount	654	180	2	A	475, 476, 654
3	3	5	mount interlaken to mount luzern	556	55	1	B	555, 556, 609
3	1	5	mount luzern to mount bern	431	390	2	B	42, 429, 431
3	3	5	to mount basel to mount	110	322	1	A	108, 110, 429
3	3	5	to mount neuchatel to mount	110	322	1	A	108, 110, 429
3	3	5	we should go to mount	146	48	2	A	99, 122, 146
2	2	5	and then mount basel .	124	27	1	B	98, 124
2	2	5	ca n't do that .	673	18	1	A	656, 673
2	2	5	mount bern to mount zermatt	655	2	1	B	654, 655
2	2	5	mount luzern to mount zermatt	427	3	1	B	425, 427
2	2	5	mount montreux to mount neuchatel	295	2	1	B	294, 295
2	2	5	then to mount montreux .	765	289	1	A	477, 765
16	4	4	mount neuchatel to mount	317	588	1	B	78, 108, 110, 192, 209, 224, 288, 317, 333, 349, 429, 494, 516, 542, 581, 665
10	3	4	mount interlaken to mount	539	620	4	B	141, 368, 371, 429, 539, 555, 556, 609, 753, 760
9	7	4	mount bern to mount	655	594	7	B	68, 78, 110, 425, 429, 458, 654, 655, 661
8	4	4	i think we should	99	190	1	B	48, 99, 122, 128, 134, 156, 230, 237
7	7	4	i 'm not sure	347	439	5	B	56, 111, 148, 179, 182, 347, 494
7	3	4	to mount zurich .	137	410	2	A	99, 105, 137, 322, 385, 505, 508
6	4	4	mount montreux to mount	429	467	1	B	294, 295, 429, 468, 489, 760
5	5	4	to mount luzern .	661	136	2	A	556, 609, 661, 681, 691
5	3	4	to mount montreux .	477	413	1	B	355, 477, 498, 765, 767
5	5	4	to mount neuchatel .	295	485	1	B	278, 295, 297, 760, 762
5	2	4	you go to mount	475	635	2	B	20, 203, 475, 476, 654
4	4	4	go to mount zurich	101	277	1	A	99, 101, 122, 375
4	1	4	luzern to mount bern	43	390	1	B	42, 43, 429, 431
4	4	4	mount bern and then	539	536	2	B	98, 123, 539, 633
4	4	4	that 's 4 .	443	500	1	B	24, 443, 522, 523
4	2	4	then mount basel .	146	106	1	B	98, 124, 146, 203
3	1	4	and then mount basel	633	536	1	B	98, 124, 633
3	3	4	erase this one .	669	216	1	B	553, 669, 768
3	1	4	montreux to mount neuchatel	297	4	1	B	294, 295, 297
3	1	4	n't do that .	656	130	1	B	544, 656, 673
3	3	4	so should i do	210	414	1	B	66, 210, 479
3	3	4	the most expensive track	746	8	2	B	739, 743, 746
3	3	4	to mount bern ?	521	711	1	A	43, 521, 753
3	3	4	to mount bern then	146	96	1	A	108, 146, 203
2	2	4	finish at interlaken .	161	2	1	B	160, 161
2	2	4	finish at mount interlaken	128	81	1	B	48, 128
2	2	4	first idea was good	80	2	1	A	79, 80
2	2	4	neuchatel to bern .	324	113	1	A	212, 324
2	2	4	neuchatel to mount montreux	766	273	1	B	494, 766
2	2	4	one we just did	629	436	1	A	194, 629
2	2	4	so should i go	153	7	1	A	147, 153
2	2	4	so we erase the	285	31	1	B	255, 285
2	2	4	so we have to	249	5	1	A	245, 249
2	2	4	the one that we	601	75	1	A	527, 601
2	2	4	then mount bern .	185	14	1	B	172, 185
2	2	4	to go to mount	375	98	1	B	278, 375
2	2	4	to mount montreux ?	766	321	1	B	446, 766
2	2	4	to mount zermatt ?	654	228	1	A	427, 654
2	2	4	to mount zurich ?	375	267	1	B	109, 375
2	2	4	uh mount montreux .	366	238	1	A	129, 366
2	2	4	we should go mount	134	30	1	A	105, 134
21	5	3	to mount bern	340	712	1	B	42, 43, 78, 108, 146, 192, 203, 209, 224, 340, 368, 371, 425, 429, 431, 461, 463, 521, 539, 654, 753
19	8	3	go to mount	52	635	1	B	20, 52, 73, 99, 101, 122, 146, 153, 172, 192, 203, 209, 276, 278, 368, 375, 475, 476, 654
17	1	3	mount neuchatel to	357	588	1	B	78, 108, 110, 192, 209, 224, 288, 317, 333, 349, 357, 429, 494, 516, 542, 581, 665
16	6	3	how much is	215	721	5	B	32, 37, 59, 166, 169, 215, 357, 390, 392, 401, 444, 483, 638, 641, 735, 752
16	9	3	mount saint gallen	105	627	3	B	66, 67, 84, 105, 125, 135, 368, 400, 429, 468, 505, 506, 630, 632, 681, 692
15	9	3	to mount interlaken	516	690	9	B	71, 78, 192, 276, 288, 317, 333, 368, 429, 516, 542, 551, 581, 590, 760
15	7	3	to mount montreux	477	763	8	B	5, 20, 48, 141, 355, 429, 446, 458, 477, 489, 494, 498, 765, 766, 767
14	4	3	interlaken to mount	539	627	6	B	141, 304, 368, 371, 429, 446, 539, 555, 556, 609, 753, 760, 762, 767
14	1	3	to mount zurich	368	410	1	A	99, 101, 105, 109, 122, 137, 322, 368, 375, 385, 429, 468, 505, 508
11	1	3	is that ?	483	721	7	B	32, 37, 59, 230, 392, 401, 444, 483, 638, 641, 752
11	8	3	to mount basel	108	601	1	B	68, 108, 110, 153, 209, 317, 368, 373, 429, 665, 668
11	2	3	to mount neuchatel	172	655	1	A	108, 110, 172, 278, 294, 295, 297, 429, 489, 760, 762
10	4	3	to mount luzern	507	265	1	A	427, 507, 544, 555, 556, 609, 661, 681, 686, 691
10	6	3	to mount zermatt	427	352	3	B	304, 349, 425, 427, 429, 468, 476, 489, 654, 655
9	2	3	mount montreux .	255	639	1	A	129, 255, 355, 366, 416, 477, 498, 765, 767
9	3	3	mount montreux to	329	467	1	B	294, 295, 329, 330, 429, 468, 489, 501, 760
9	6	3	this one .	482	500	1	B	269, 482, 553, 650, 669, 721, 725, 728, 768
8	5	3	and then mount	124	614	5	B	20, 68, 73, 98, 110, 124, 185, 633
8	1	3	montreux to mount	294	496	1	A	265, 294, 295, 297, 429, 468, 489, 760
8	4	3	mount basel .	209	571	1	B	98, 124, 146, 203, 209, 373, 439, 668
8	3	3	mount neuchatel .	289	511	2	B	252, 278, 289, 295, 297, 497, 760, 762
8	1	3	mount zurich .	99	413	1	B	96, 99, 105, 137, 322, 385, 505, 508
7	5	3	mount bern .	185	330	2	B	42, 172, 185, 192, 204, 224, 371
7	2	3	then mount basel	124	561	3	B	73, 98, 123, 124, 146, 203, 633
7	5	3	to mount davos	400	639	1	B	54, 398, 400, 429, 468, 503, 692
7	5	3	we have to	245	547	2	B	130, 201, 245, 249, 316, 385, 676
7	1	3	we should go	134	132	4	A	99, 105, 120, 122, 134, 146, 230
6	1	3	mount luzern .	556	273	1	B	419, 556, 609, 661, 681, 691
6	1	3	so should i	194	414	1	B	66, 147, 153, 194, 210, 479
6	2	3	that 's 4	447	630	1	B	24, 443, 447, 522, 523, 653
6	4	3	the one that	527	338	2	B	264, 324, 527, 551, 585, 601
6	6	3	which one ?	263	452	1	A	258, 263, 493, 660, 698, 709
5	1	3	's 4 .	450	500	1	B	24, 443, 450, 522, 523
5	1	3	bern and then	100	536	1	B	98, 100, 123, 539, 633
5	2	3	if you go	475	306	1	B	349, 475, 476, 602, 654
5	1	3	mount bern and	539	580	3	B	54, 98, 123, 539, 633
5	2	3	mount bern then	123	96	1	A	108, 123, 125, 146, 203
5	2	3	should i do	279	414	1	B	66, 210, 279, 358, 479
