Freq.	Size	Surface Form	Spanning	First Speaker	Turns
4	7	mount saint gallen to mount davos .	95	A	492, 535, 556, 586
3	7	mount davos to mount saint gallen .	59	A	258, 287, 316
2	7	go from mount bern to mount interlaken	74	A	473, 546
5	6	mount saint gallen to mount davos	95	A	492, 535, 556, 585, 586
3	6	go from mount bern to mount	74	A	473, 500, 546
3	6	mount basel to mount neuchatel .	135	A	346, 387, 480
2	6	go directly to the middle .	5	A	216, 220
2	6	go to mount saint gallen .	32	A	364, 395
2	6	how do you erase things ?	4	A	166, 169
2	6	mount bern to mount interlaken .	75	A	473, 547
2	6	mount davos to mount zermatt .	29	A	559, 587
2	5	go , go to mount	92	A	400, 491
2	5	how do you erase ?	4	A	191, 194
2	5	just the outside and after	2	A	206, 207
2	5	mount bern to mount basel	3	A	411, 413
2	5	when you erase you still	4	A	252, 255
2	5	why did you do this	415	A	150, 564
6	4	mount bern to mount	137	A	411, 413, 473, 500, 546, 547
5	4	to mount davos .	170	A	417, 492, 535, 556, 586
5	4	to mount interlaken .	370	A	232, 427, 473, 547, 601
4	4	mount basel to mount	253	A	346, 387, 480, 598
4	4	to mount neuchatel .	222	A	346, 387, 480, 567
3	4	, go to mount	92	A	400, 413, 491
3	4	go to mount davos	234	A	258, 417, 491
3	4	to mount zermatt .	188	A	400, 559, 587
3	4	to mount zurich .	238	A	263, 343, 500
2	4	, mount montreux .	113	A	267, 379
2	4	, one sec .	62	A	23, 84
2	4	a lot of money	6	A	105, 110
2	4	and go from mount	23	A	480, 502
2	4	and go to mount	37	A	381, 417
2	4	go to mount bern	33	A	381, 413
2	4	i 'm gon na	14	A	225, 238
2	4	just press check .	93	A	489, 581
2	4	let me count .	3	A	509, 511
2	4	mount montreux to mount	36	A	532, 567
2	4	need to connect all	61	A	41, 101
2	4	oh my god .	242	A	93, 334
2	4	to mount basel .	178	A	413, 590
2	4	to mount bern .	218	A	381, 598
2	4	to mount luzern .	92	A	411, 502
2	4	we need to connect	8	A	34, 41
2	4	you just need to	251	A	101, 351
12	3	go to mount	234	A	258, 263, 308, 309, 364, 381, 387, 395, 400, 413, 417, 491
11	3	mount saint gallen	329	A	258, 287, 316, 364, 366, 395, 492, 535, 556, 585, 586
10	3	mount interlaken .	372	A	230, 232, 274, 331, 355, 427, 473, 477, 547, 601
8	3	go from mount	175	A	427, 473, 480, 496, 500, 502, 546, 601
7	3	saint gallen .	138	A	258, 261, 287, 316, 364, 366, 395
7	3	to mount interlaken	370	A	232, 427, 473, 532, 546, 547, 601
6	3	mount davos .	170	A	417, 492, 506, 535, 556, 586
6	3	mount davos to	330	A	258, 287, 289, 316, 559, 587
6	3	mount neuchatel .	224	A	346, 387, 480, 497, 567, 569
6	3	mount zermatt .	317	A	271, 326, 400, 505, 559, 587
6	3	mount zurich .	322	A	263, 318, 343, 393, 500, 584
6	3	we are at	145	A	433, 435, 436, 460, 575, 577
5	3	basel to mount	256	A	343, 346, 387, 480, 598
5	3	mount basel .	204	A	389, 390, 413, 590, 592
4	3	mount bern .	218	A	381, 382, 472, 598
4	3	mount montreux .	230	A	267, 379, 476, 496
4	3	to mount basel	204	A	387, 411, 413, 590
3	3	let 's do	29	A	179, 206, 207
3	3	my turn .	313	A	74, 224, 386
3	3	need to do	215	A	340, 351, 554
3	3	press check .	136	A	446, 489, 581
3	3	the middle .	85	A	136, 216, 220
3	3	to connect all	61	A	41, 76, 101
3	3	we need to	521	A	34, 41, 554
3	3	why did you	415	A	150, 281, 564
2	3	're gon na	121	A	175, 295
2	3	, my turn	163	A	224, 386
2	3	, no mount	8	A	267, 274
2	3	, to mount	168	A	260, 427
2	3	big ones .	5	A	534, 538
2	3	do a lot	5	A	101, 105
2	3	do the outside	30	A	179, 208
2	3	do this .	430	A	135, 564
2	3	erase it !	147	A	145, 291
2	3	erase it .	16	A	223, 238
2	3	from mount interlaken	101	A	377, 477
2	3	i ca n't	63	A	29, 91
2	3	in the middle	7	A	130, 136
2	3	it 's not	40	A	175, 214
2	3	just do the	83	A	126, 208
2	3	let 's go	57	A	68, 124
2	3	let 's not	7	A	25, 31
2	3	listen to me	92	A	494, 585
2	3	mount interlaken mount	2	A	496, 497
2	3	mount montreux ,	161	A	267, 427
2	3	no , do	266	A	26, 291
2	3	no , no	211	A	274, 484
2	3	no do n't	428	A	145, 572
2	3	oh yeah .	302	A	185, 486
2	3	okay let 's	32	A	68, 99
2	3	this time .	54	A	377, 430
2	3	told you .	312	A	176, 487
2	3	you go to	2	A	394, 395
39	2	to mount	370	A	232, 258, 260, 263, 287, 308, 309, 316, 343, 346, 364, 381, 387, 395, 400, 411, 413, 417, 427, 473, 476, 480, 491, 492, 500, 502, 532, 535, 546, 547, 556, 559, 567, 585, 586, 587, 590, 598, 601
16	2	mount davos	330	A	258, 287, 289, 316, 364, 417, 491, 492, 506, 531, 535, 556, 559, 585, 586, 587
15	2	go to	263	A	229, 258, 263, 308, 309, 341, 364, 381, 387, 394, 395, 400, 413, 417, 491
15	2	okay .	459	A	0, 10, 17, 20, 52, 179, 265, 322, 372, 374, 424, 426, 429, 444, 458
12	2	from mount	225	A	377, 427, 473, 477, 480, 492, 496, 500, 502, 546, 559, 601
11	2	mount basel	256	A	343, 346, 387, 389, 390, 411, 413, 480, 590, 592, 598
11	2	no ,	462	A	23, 26, 36, 150, 163, 260, 274, 291, 386, 413, 484
9	2	check .	487	A	95, 249, 276, 311, 401, 446, 451, 489, 581
9	2	let 's	183	A	25, 31, 68, 99, 124, 133, 179, 206, 207
9	2	no !	422	A	182, 222, 234, 236, 278, 337, 406, 485, 603
8	2	it 's	503	A	28, 56, 74, 175, 214, 386, 527, 530
8	2	money .	426	A	105, 152, 155, 252, 255, 293, 298, 530
8	2	mount montreux	301	A	267, 324, 379, 427, 476, 496, 532, 567
8	2	neuchatel .	225	A	346, 387, 480, 481, 497, 567, 569, 570
8	2	we are	521	A	57, 152, 433, 435, 436, 460, 575, 577
8	2	yeah .	361	A	126, 132, 185, 248, 305, 320, 441, 486
7	2	, mount	269	A	267, 379, 389, 393, 411, 531, 535
7	2	mount neuchatel	245	A	346, 387, 480, 497, 567, 569, 590
