Freq.	Size	Surface Form	Spanning	First Speaker	Turns
3	6	you ca n't do that .	88	B	177, 240, 264
2	6	how do you erase this ?	4	B	81, 84
4	5	ca n't do that .	110	B	155, 177, 240, 264
4	5	how much is that ?	107	B	164, 189, 234, 270
2	5	i do n't know .	115	B	1, 115
2	5	mount bern to mount basel	112	B	143, 254
4	4	that 's 3 .	98	B	123, 146, 198, 220
3	4	i do n't know	202	B	1, 115, 202
3	4	mount bern to mount	112	B	143, 243, 254
2	4	mount , neuchatel ?	21	B	150, 170
2	4	mount montreux to mount	107	B	170, 276
2	4	mount zermatt to mount	36	B	126, 161
2	4	should we submit ?	3	B	12, 14
2	4	that 's 2 .	108	B	120, 227
2	4	that 's 4 .	125	B	159, 283
2	4	to mount interlaken ?	150	B	94, 243
3	3	how do you	77	B	8, 81, 84
2	3	erase it .	146	B	47, 192
2	3	go from mount	58	B	93, 150
2	3	mount bern .	194	B	39, 232
2	3	to mount ,	45	B	126, 170
11	2	to mount	183	B	94, 126, 143, 161, 170, 202, 207, 232, 243, 254, 276
10	2	that 's	164	B	120, 123, 146, 159, 172, 198, 220, 227, 272, 283
9	2	okay .	171	B	87, 106, 113, 141, 188, 196, 218, 249, 257
9	2	yeah .	210	B	85, 102, 136, 179, 182, 206, 229, 289, 294
6	2	mount bern	218	B	37, 39, 143, 232, 243, 254
5	2	is that	107	B	164, 189, 234, 247, 270
5	2	that .	110	B	155, 177, 240, 250, 264
4	2	go from	91	B	60, 93, 125, 150
4	2	i do	276	B	1, 115, 202, 276
3	2	from mount	140	B	93, 150, 232
3	2	i 'll	173	B	60, 192, 232
3	2	mount basel	112	B	143, 150, 254
3	2	mount montreux	116	B	161, 170, 276
3	2	mount zermatt	77	B	126, 161, 202
3	2	neuchatel ?	127	B	150, 170, 276
3	2	should we	82	B	12, 14, 93
2	2	, mount	53	B	150, 202
2	2	interlaken .	215	B	72, 286
2	2	let 's	263	B	29, 291
2	2	mount davos	6	B	202, 207
2	2	should erase	204	B	47, 250
2	2	should i	127	B	150, 276
2	2	so should	184	B	93, 276
2	2	what ?	203	B	79, 281
15	1	mount	240	B	37, 39, 93, 94, 126, 143, 150, 161, 170, 202, 207, 232, 243, 254, 276
13	1	's	263	B	29, 120, 123, 146, 159, 172, 194, 198, 220, 227, 272, 283, 291
13	1	to	183	B	94, 125, 126, 143, 150, 161, 170, 202, 207, 232, 243, 254, 276
12	1	do	276	B	1, 8, 81, 84, 115, 155, 177, 202, 232, 240, 264, 276
11	1	yeah	266	B	29, 85, 102, 136, 179, 182, 192, 206, 229, 289, 294
10	1	i	276	B	1, 60, 68, 115, 125, 150, 192, 202, 232, 276
10	1	okay	186	B	87, 106, 113, 141, 188, 196, 218, 249, 257, 272
7	1	um	259	B	20, 29, 34, 68, 237, 257, 278
6	1	erase	204	B	47, 79, 81, 84, 192, 250
6	1	is	107	B	164, 189, 234, 247, 254, 270
5	1	go	143	B	8, 60, 93, 125, 150
5	1	we	144	B	12, 14, 47, 93, 155
4	1	montreux	209	B	68, 161, 170, 276
4	1	neuchatel	183	B	94, 150, 170, 276
3	1	it	148	B	47, 192, 194
3	1	maybe	156	B	37, 170, 192
3	1	so	198	B	79, 93, 276
3	1	submit	18	B	12, 14, 29
3	1	what	203	B	79, 183, 281
2	1	luzern	82	B	126, 207
2	1	then	19	B	125, 143
2	1	try	33	B	170, 202
2	1	uh	14	B	148, 161

