Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
4	4	5	i do n't know .	347	511	1	B	8, 347, 350, 518
3	3	5	i 'm gon na go	359	408	1	B	37, 359, 444
3	3	5	i 'm just gon na	138	348	1	B	44, 138, 391
3	3	5	right now we 're at	446	137	1	B	362, 446, 498
3	3	5	zurich to saint gallen .	213	4	2	B	210, 212, 213
2	2	5	, i 'm gon na	168	143	1	B	26, 168
2	2	5	do the same thing .	224	112	1	B	113, 224
2	2	5	oh no you ca n't	279	232	1	A	48, 279
2	2	5	saint gallen to luzern .	276	2	1	B	275, 276
8	3	4	i 'm gon na	81	458	2	B	26, 37, 81, 168, 284, 359, 444, 483
5	1	4	i do n't know	347	511	2	B	8, 49, 347, 350, 518
4	4	4	i ca n't .	162	325	1	A	21, 162, 343, 345
4	4	4	saint gallen to davos	179	333	2	B	174, 176, 179, 506
4	1	4	zurich to saint gallen	449	240	2	B	210, 212, 213, 449
3	3	4	've got it ,	130	60	1	B	120, 130, 179
3	3	4	bern to basel .	323	312	2	B	12, 322, 323
3	3	4	go to bern .	144	5	2	B	140, 142, 144
3	3	4	i 'm going to	476	423	2	A	54, 60, 476
3	1	4	no you ca n't	325	278	1	A	48, 279, 325
3	3	4	so we 're at	427	69	1	B	360, 427, 428
3	3	4	try to submit .	108	419	1	B	107, 108, 525
3	3	4	we 're at 17	367	10	1	B	362, 367, 371
2	2	4	best was 24 .	316	27	1	A	290, 316
2	2	4	it 's my turn	411	185	1	B	227, 411
2	2	4	it cost 4 .	425	113	1	A	313, 425
2	2	4	neuchatel to interlaken .	415	384	1	A	32, 415
2	2	4	ten out of ten	204	46	1	B	159, 204
2	2	4	wait wait wait ,	168	106	1	B	63, 168
2	2	4	yeah , and then	403	248	1	B	156, 403
2	2	4	you do that ?	489	162	1	B	328, 489
22	14	3	we 're at	320	319	1	A	214, 320, 353, 355, 360, 362, 367, 371, 398, 400, 427, 428, 446, 457, 461, 471, 498, 505, 511, 518, 526, 532
12	10	3	to luzern .	188	471	1	B	31, 188, 258, 275, 276, 278, 332, 334, 336, 460, 499, 501
11	7	3	i ca n't	21	512	1	B	9, 21, 55, 79, 162, 278, 293, 343, 345, 504, 520
8	3	3	i do n't	106	511	2	B	8, 49, 106, 144, 337, 347, 350, 518
8	5	3	to bern .	126	312	1	B	125, 126, 140, 142, 143, 144, 308, 436
7	1	3	saint gallen to	177	333	2	B	174, 176, 177, 179, 275, 276, 506
