Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	6	2 , it 's 2 .	295	2	1	B	294, 295
2	2	6	that 's 2 that 's 2	269	85	1	B	185, 269
7	7	4	that 's 4 .	260	219	3	B	104, 106, 259, 260, 261, 267, 322
5	3	4	it 's 2 .	302	32	1	B	294, 295, 302, 304, 325
4	4	4	bern to interlaken .	118	204	1	A	117, 118, 310, 320
4	4	4	to mount bern .	217	210	1	A	19, 217, 226, 228
3	3	4	basel to neuchatel .	103	68	1	B	49, 103, 116
3	3	4	to saint gallen .	288	277	2	A	12, 16, 288
2	2	4	bern to basel .	329	167	1	B	163, 329
2	2	4	bern to mount interlaken	168	111	1	B	58, 168
2	2	4	that 's 5 .	157	2	1	B	156, 157
2	2	4	to mount basel .	154	134	1	A	21, 154
2	2	4	zurich to bern .	308	76	1	A	233, 308
9	2	3	that 's 4	265	219	3	B	104, 106, 259, 260, 261, 265, 267, 319, 322
8	3	3	's 2 .	295	155	4	B	171, 198, 245, 294, 295, 302, 304, 325
8	1	3	's 4 .	317	219	3	B	104, 106, 259, 260, 261, 267, 317, 322
8	8	3	i think we	46	181	1	A	16, 46, 53, 86, 87, 133, 192, 196
8	4	3	to interlaken .	211	204	1	A	117, 118, 211, 310, 312, 313, 314, 320
8	5	3	to neuchatel .	114	216	1	B	49, 103, 114, 116, 123, 203, 263, 264
7	7	3	mount bern to	34	148	2	A	21, 28, 34, 35, 87, 99, 168
6	3	3	it 's 2	302	32	1	B	294, 295, 302, 304, 305, 325
6	4	3	that 's 2	269	99	5	B	171, 185, 198, 205, 245, 269
6	6	3	the same .	107	130	1	B	57, 107, 120, 183, 184, 186
6	3	3	to saint gallen	288	280	4	A	12, 16, 134, 136, 288, 291
5	3	3	, it 's	294	170	3	A	126, 131, 286, 294, 295
5	5	3	how much that	242	74	1	B	192, 242, 244, 253, 265
5	1	3	to mount bern	224	210	1	A	19, 217, 224, 226, 228
4	2	3	bern to basel	100	231	1	B	99, 100, 163, 329
4	4	3	okay , so	9	74	1	A	0, 9, 40, 73
4	1	3	saint gallen .	290	279	2	A	12, 16, 288, 290
4	2	3	to basel .	163	308	1	A	24, 163, 329, 331
4	4	3	to mount davos	62	96	2	A	44, 45, 62, 139
3	3	3	and then ,	72	20	2	B	53, 62, 72
3	1	3	bern to mount	58	148	1	A	21, 58, 168
3	3	3	do that .	176	111	2	B	66, 140, 176
3	3	3	go to mount	76	213	1	A	16, 76, 228
3	3	3	interlaken , to	123	75	1	B	119, 123, 193
3	3	3	no no no	330	31	1	B	301, 330, 331
3	3	3	this is the	124	79	1	A	120, 124, 198
3	1	3	to bern .	308	76	2	A	233, 298, 308
2	2	3	and then to	272	108	1	B	165, 272
2	2	3	and then you	99	79	1	A	21, 99
2	2	3	i know ,	221	105	1	A	117, 221
2	2	3	luzern to davos	283	2	1	B	282, 283
2	2	3	mount luzern to	282	241	1	A	42, 282
2	2	3	no , no	301	124	1	A	178, 301
2	2	3	no no ,	331	154	1	A	178, 331
2	2	3	submit submit .	143	2	1	A	142, 143
2	2	3	the same thing	109	2	1	B	108, 109
2	2	3	to luzern .	192	165	1	A	28, 192
2	1	3	to mount basel	154	134	1	A	21, 154
2	2	3	yeah i think	137	73	1	A	65, 137
2	2	3	zermatt to davos	286	2	1	B	285, 286
2	2	3	zurich to mount	154	136	1	A	19, 154
24	16	2	it 's	294	265	15	A	61, 107, 113, 126, 131, 141, 183, 186, 201, 212, 214, 220, 237, 286, 293, 294, 295, 302, 304, 305, 314, 315, 317, 325
24	24	2	okay .	51	322	2	B	6, 37, 51, 52, 74, 79, 80, 81, 84, 92, 130, 145, 152, 214, 221, 235, 246, 255, 276, 280, 286, 295, 315, 327
23	16	2	and then	53	312	3	A	17, 21, 28, 53, 58, 62, 72, 99, 103, 118, 119, 132, 161, 164, 165, 173, 177, 217, 272, 287, 296, 308, 328
20	11	2	i think	46	311	3	A	4, 12, 16, 46, 50, 53, 54, 57, 64, 65, 66, 86, 87, 133, 137, 192, 196, 231, 313, 314
20	4	2	that 's	213	219	3	B	104, 106, 156, 157, 171, 185, 198, 205, 213, 218, 228, 245, 259, 260, 261, 265, 267, 269, 319, 322
17	4	2	to mount	47	224	6	A	5, 16, 19, 21, 44, 45, 47, 58, 62, 76, 139, 154, 168, 217, 224, 226, 228
16	1	2	bern to	311	309	2	A	21, 28, 34, 35, 58, 87, 99, 100, 117, 118, 163, 168, 310, 311, 320, 329
16	11	2	how much	242	294	8	B	25, 104, 179, 192, 209, 225, 230, 240, 242, 244, 253, 265, 278, 281, 316, 318
12	9	2	go to	114	316	1	A	16, 76, 114, 115, 170, 203, 228, 229, 278, 288, 308, 331
11	1	2	's 4	201	219	2	B	104, 106, 201, 259, 260, 261, 265, 267, 317, 319, 322
11	8	2	luzern to	282	273	5	A	42, 45, 131, 174, 226, 282, 283, 298, 300, 312, 314
11	8	2	that .	176	197	5	B	66, 122, 137, 140, 158, 176, 177, 225, 227, 238, 262
10	2	2	neuchatel .	103	218	2	B	47, 49, 103, 114, 116, 123, 203, 204, 263, 264
10	3	2	saint gallen	139	287	6	A	5, 12, 16, 43, 134, 136, 139, 288, 290, 291
10	10	2	that ?	242	140	3	B	179, 207, 209, 242, 244, 253, 278, 281, 316, 318
10	2	2	to interlaken	118	223	2	A	98, 117, 118, 211, 257, 310, 312, 313, 314, 320
10	2	2	to neuchatel	115	216	1	B	49, 103, 114, 115, 116, 123, 165, 203, 263, 264
