Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	7	um mount montreux to mount zermatt .	31	B	198, 228
2	7	you go to mount saint gallen .	5	B	66, 70
2	6	mount neuchatel to mount basel ?	10	B	38, 47
3	5	to mount saint gallen .	13	B	58, 66, 70
2	5	from mount bern to mount	30	B	35, 64
2	5	montreux to mount interlaken .	58	B	115, 172
2	5	mount bern to mount basel	6	B	317, 322
2	5	mount bern to mount zurich	283	B	35, 317
2	5	mount zurich to mount basel	55	B	258, 312
2	5	mount zurich to mount bern	2	B	304, 305
7	4	mount zurich to mount	255	B	58, 135, 258, 289, 304, 305, 312
5	4	mount bern to mount	288	B	35, 64, 272, 317, 322
5	4	mount montreux to mount	157	B	77, 115, 198, 228, 233
4	4	mount neuchatel to mount	131	B	38, 47, 55, 168
4	4	mount saint gallen .	15	B	58, 66, 70, 72
3	4	to mount zurich .	222	B	96, 187, 317
3	4	you go to mount	31	B	66, 70, 96
2	4	and then from mount	31	B	66, 96
2	4	i ca n't see	109	B	189, 297
2	4	mount basel to mount	25	B	163, 187
2	4	to mount basel .	65	B	258, 322
2	4	to mount basel and	6	B	312, 317
2	4	we have n't connected	4	B	291, 294
2	4	zurich to luzern .	2	B	213, 214
8	3	zurich to mount	255	B	58, 135, 258, 289, 304, 305, 310, 312
5	3	saint gallen .	15	B	58, 60, 66, 70, 72
4	3	go to mount	31	B	66, 70, 94, 96
3	3	from mount zurich	11	B	58, 66, 68
3	3	like this ?	80	B	183, 210, 262
3	3	mount basel .	278	B	45, 258, 322
3	3	mount interlaken .	65	B	115, 172, 179
3	3	mount what ?	141	B	77, 147, 217
3	3	to mount bern	251	B	55, 304, 305
3	3	to mount interlaken	93	B	80, 115, 172
3	3	um mount montreux	203	B	26, 198, 228
2	3	and then mount	294	B	29, 322
2	3	do i do	15	B	9, 23
2	3	how do i	200	B	9, 208
2	3	let 's see	2	B	283, 284
2	3	like this .	4	B	278, 281
2	3	luzern to zermatt	4	B	291, 294
2	3	mount luzern .	26	B	64, 89
2	3	mount neuchatel .	135	B	29, 163
2	3	to mount davos	107	B	94, 200
2	3	to mount gallen	85	B	205, 289
2	3	to the mount	61	B	217, 277
2	3	um 3 .	92	B	128, 219
2	3	yeah sure .	47	B	223, 269
14	2	and then	294	B	29, 66, 96, 108, 170, 185, 211, 232, 252, 262, 266, 277, 312, 322
14	2	mount zurich	283	B	35, 58, 66, 68, 96, 135, 187, 207, 258, 289, 304, 305, 312, 317
11	2	mount basel	285	B	38, 40, 45, 47, 163, 187, 258, 273, 312, 317, 322
11	2	what ?	193	B	25, 43, 76, 77, 101, 117, 126, 131, 147, 156, 217
10	2	mount bern	288	B	35, 37, 50, 55, 64, 272, 304, 305, 317, 322
8	2	from mount	62	B	35, 55, 58, 64, 66, 68, 94, 96
8	2	mount montreux	208	B	26, 76, 77, 115, 168, 198, 228, 233
7	2	saint gallen	199	B	58, 60, 66, 70, 72, 248, 256
7	2	yeah .	315	B	6, 11, 15, 19, 231, 307, 320
6	2	bern to	288	B	35, 64, 126, 272, 317, 322
6	2	gallen .	188	B	58, 60, 66, 70, 72, 245
6	2	okay .	173	B	82, 91, 151, 195, 239, 254
5	2	and mount	292	B	26, 72, 171, 258, 317
5	2	luzern .	230	B	64, 89, 213, 214, 293
5	2	mount interlaken	154	B	26, 80, 115, 172, 179
5	2	mount zermatt	135	B	94, 104, 198, 200, 228
5	2	okay so	173	B	53, 55, 85, 177, 225
5	2	um mount	203	B	26, 37, 198, 200, 228
5	2	zurich .	283	B	35, 96, 187, 256, 317
4	2	do i	200	B	9, 21, 23, 208
4	2	interlaken .	65	B	115, 172, 174, 179
4	2	let 's	23	B	262, 278, 283, 284
4	2	mount davos	107	B	94, 96, 110, 200
4	2	you go	42	B	55, 66, 70, 96
3	2	how do	201	B	8, 9, 208
3	2	i think	275	B	13, 113, 287
3	2	luzern to	166	B	129, 291, 294
3	2	mount gallen	85	B	205, 245, 289
3	2	mount luzern	66	B	64, 89, 129
3	2	one .	226	B	50, 144, 275
3	2	zermatt .	97	B	198, 228, 294
2	2	, and	50	B	203, 252
2	2	, i	64	B	252, 315
2	2	are you	255	B	32, 286
2	2	but i	19	B	297, 315
2	2	but um	221	B	105, 325
2	2	connect mount	78	B	38, 115
2	2	connected ?	58	B	248, 305
2	2	davos .	107	B	94, 200
2	2	did you	18	B	38, 55
2	2	do anything	2	B	8, 9
2	2	do it	40	B	209, 248
2	2	go from	164	B	64, 227
2	2	have you	8	B	47, 54
2	2	here .	146	B	107, 252
2	2	how much	34	B	250, 283
2	2	it 's	38	B	105, 142
2	2	it ?	87	B	123, 209
2	2	no um	64	B	50, 113
2	2	oh wait	42	B	207, 248
2	2	okay and	206	B	72, 277
2	2	right now	182	B	8, 189
2	2	um i	77	B	113, 189
2	2	um okay	53	B	225, 277
2	2	wait ,	257	B	55, 311
2	2	wait uh	17	B	294, 310
