Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
3	3	6	mount bern to mount luzern .	65	75	1	B	64, 65, 138
2	2	6	mount zurich to mount bern .	304	2	1	A	303, 304
3	3	5	montreux to mount zermatt .	198	126	1	A	103, 198, 228
3	1	5	mount zurich to mount bern	305	3	1	A	303, 304, 305
2	2	5	mount zurich , zurich .	132	98	1	B	35, 132
8	5	4	mount bern to mount	65	288	2	B	35, 64, 65, 125, 138, 272, 317, 322
8	5	4	mount zurich to mount	303	255	4	B	58, 135, 258, 289, 303, 304, 305, 312
5	5	4	i think we should	113	108	2	A	74, 81, 113, 138, 181
4	1	4	to mount zermatt .	198	139	2	A	90, 103, 198, 228
3	3	4	to mount basel .	258	309	1	A	14, 258, 322
12	12	3	to the mount	217	242	5	A	49, 74, 106, 109, 150, 217, 243, 246, 267, 277, 288, 290
10	5	3	i think we	113	286	4	A	16, 74, 79, 81, 113, 138, 152, 181, 222, 301
10	2	3	mount zurich to	267	255	3	B	58, 135, 258, 267, 288, 289, 303, 304, 305, 312
9	1	3	mount bern to	150	288	2	B	35, 64, 65, 125, 138, 150, 272, 317, 322
9	1	3	zurich to mount	310	255	4	B	58, 135, 258, 289, 303, 304, 305, 310, 312
8	8	3	how much does	250	112	3	A	188, 215, 218, 250, 259, 288, 290, 299
7	4	3	montreux to mount	103	157	1	B	77, 103, 115, 172, 198, 228, 233
7	4	3	to mount basel	38	309	1	A	14, 38, 47, 258, 312, 317, 322
6	3	3	mount luzern .	89	75	1	B	64, 65, 89, 127, 136, 138
6	6	3	mount montreux to	77	160	1	A	74, 77, 115, 198, 228, 233
5	5	3	mount neuchatel to	165	131	3	B	38, 47, 55, 165, 168
5	5	3	mount zurich .	109	222	1	B	96, 109, 130, 187, 317
5	2	3	to mount bern	125	251	1	B	55, 125, 303, 304, 305
5	5	3	to mount zurich	206	283	3	B	35, 96, 187, 206, 317
4	1	3	mount basel .	45	309	1	A	14, 45, 258, 322
4	4	3	mount interlaken .	115	106	1	A	74, 115, 172, 179
3	3	3	mount basel ?	39	10	1	B	38, 39, 47
3	3	3	mount basel to	265	103	2	B	163, 187, 265
3	1	3	mount bern .	323	21	1	A	303, 304, 323
3	3	3	mount luzern to	206	162	1	B	129, 206, 290
3	3	3	to ten mountains	119	4	2	A	116, 118, 119
2	2	3	and mount bern	317	172	1	A	146, 317
2	2	3	erase the one	74	20	1	B	55, 74
2	2	3	it costs 5	268	7	1	B	262, 268
2	2	3	mount , bern	126	78	1	A	49, 126
2	2	3	mount zermatt to	200	95	1	A	106, 200
2	2	3	we press the	292	273	1	B	20, 292
2	2	3	you erase the	327	273	1	B	55, 327
40	8	2	to mount	66	309	1	A	14, 35, 38, 47, 55, 58, 64, 65, 66, 70, 77, 80, 90, 94, 96, 103, 115, 125, 135, 138, 163, 168, 172, 187, 198, 200, 205, 206, 228, 233, 258, 272, 289, 303, 304, 305, 310, 312, 317, 322
22	4	2	mount zurich	109	283	5	B	35, 58, 66, 68, 96, 109, 130, 132, 135, 146, 187, 206, 207, 258, 267, 288, 289, 303, 304, 305, 312, 317
17	2	2	mount bern	65	289	5	B	35, 37, 50, 55, 64, 65, 125, 138, 146, 150, 272, 303, 304, 305, 317, 322, 323
