Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	7	it 's 2 it 's 2 .	24	A	302, 325
2	6	mount zurich to saint gallen .	5	A	12, 16
3	5	i do n't know .	195	A	56, 63, 250
2	5	it 's the same .	4	A	183, 186
4	4	it 's 2 .	31	A	295, 302, 304, 325
4	4	zurich to saint gallen	125	A	12, 16, 134, 136
3	4	how much that ?	12	A	242, 244, 253
3	4	it 's okay .	102	A	214, 286, 315
2	4	it 's 3 .	57	A	237, 293
2	4	mount bern to luzern	8	A	28, 35
2	4	mount bern to mount	148	A	21, 168
2	4	to mount bern .	208	A	19, 226
2	4	to saint gallen ?	156	A	136, 291
2	4	uh mount bern to	8	A	21, 28
5	3	the same .	80	A	107, 120, 183, 184, 186
4	3	, it 's	170	A	126, 131, 286, 295
4	3	to neuchatel .	162	A	103, 123, 263, 264
4	3	yeah it 's	185	A	141, 183, 315, 325
3	3	it 's 3	82	A	212, 237, 293
3	3	it 's the	56	A	131, 183, 186
3	3	luzern to zermatt	133	A	42, 131, 174
3	3	mount zurich to	8	A	12, 16, 19
3	3	to mount bern	208	A	19, 224, 226
2	3	's 4 .	58	A	260, 317
2	3	, from mount	8	A	5, 12
2	3	and then uh	76	A	28, 103
2	3	bern to basel	230	A	100, 329
2	3	erase this .	2	A	180, 181
2	3	interlaken , to	71	A	123, 193
2	3	it 's 4	117	A	201, 317
2	3	it the same	80	A	105, 184
2	3	luzern to mount	182	A	45, 226
2	3	no it 's	76	A	126, 201
2	3	oh yeah .	94	A	82, 175
2	3	okay , so	74	A	0, 73
2	3	that 's 4	60	A	260, 319
2	3	to basel .	306	A	24, 329
2	3	to basel ?	63	A	100, 162
2	3	to bern .	66	A	233, 298
2	3	to interlaken .	197	A	117, 313
2	3	to mount davos	2	A	44, 45
2	3	to mount zurich	12	A	5, 16
2	3	to zermatt .	210	A	42, 251
2	3	to zurich .	72	A	229, 300
21	2	it 's	265	A	61, 107, 113, 126, 131, 141, 183, 186, 201, 212, 214, 220, 237, 286, 293, 295, 302, 304, 315, 317, 325
17	2	okay .	277	A	51, 74, 79, 80, 92, 130, 145, 152, 214, 235, 246, 255, 280, 286, 295, 315, 327
8	2	bern to	309	A	21, 28, 35, 100, 117, 168, 311, 329
8	2	luzern to	259	A	42, 45, 131, 174, 226, 283, 298, 300
7	2	and then	256	A	17, 21, 28, 72, 103, 164, 272
7	2	saint gallen	287	A	5, 12, 16, 43, 134, 136, 291
7	2	the same	82	A	105, 107, 109, 120, 183, 184, 186
6	2	basel ?	175	A	48, 88, 97, 100, 162, 222
6	2	i think	310	A	4, 12, 16, 65, 231, 313
6	2	same .	80	A	107, 120, 126, 183, 184, 186
6	2	yeah .	125	A	82, 102, 149, 175, 199, 206
6	2	zurich to	222	A	12, 16, 19, 134, 136, 233
5	2	's 2	57	A	269, 295, 302, 304, 325
5	2	neuchatel .	162	A	103, 123, 204, 263, 264
5	2	oh yeah	234	A	82, 141, 157, 175, 315
5	2	to basel	306	A	24, 100, 162, 272, 329
4	2	i 'll	242	A	42, 74, 229, 283
4	2	know .	195	A	56, 63, 131, 250
4	2	no no	157	A	174, 178, 180, 330
4	2	submit .	265	A	68, 142, 189, 332
4	2	that 's	163	A	157, 260, 269, 319
4	2	to interlaken	216	A	98, 117, 257, 313
3	2	, to	189	A	5, 123, 193
3	2	basel .	309	A	21, 24, 329
3	2	montreux to	63	A	251, 264, 313
3	2	no .	138	A	174, 178, 311
3	2	okay so	260	A	3, 226, 262
3	2	to luzern	166	A	28, 35, 193
3	2	uh mount	101	A	21, 28, 121
3	2	zurich .	296	A	5, 229, 300
2	2	, no	134	A	178, 311
2	2	, uh	97	A	21, 117
2	2	, we	215	A	72, 286
2	2	basel to	122	A	103, 224
2	2	from uh	11	A	18, 28
2	2	go to	214	A	16, 229
2	2	i know	57	A	61, 117
2	2	is it	62	A	105, 166
2	2	it the	80	A	105, 184
2	2	just go	211	A	5, 215
2	2	luzern .	3	A	28, 30
2	2	luzern ?	87	A	193, 279
2	2	mount basel	13	A	21, 33
2	2	mount interlaken	46	A	123, 168
2	2	okay and	28	A	43, 70
2	2	that .	87	A	176, 262
2	2	the ,	27	A	105, 131
2	2	to davos	4	A	283, 286
2	2	turn .	183	A	38, 220
2	2	we can	5	A	68, 72
2	2	what ?	197	A	14, 210
2	2	yeah ,	18	A	21, 38
2	2	yeah i	5	A	61, 65
2	2	yeah you	196	A	111, 306
2	2	you can	66	A	111, 176
42	1	to	325	A	5, 12, 16, 19, 21, 24, 28, 35, 42, 44, 45, 98, 100, 103, 117, 123, 131, 134, 136, 162, 168, 169, 174, 193, 215, 224, 226, 229, 233, 251, 257, 263, 264, 272, 283, 286, 291, 298, 300, 311, 313, 329
25	1	it	265	A	61, 105, 107, 113, 126, 131, 141, 166, 183, 184, 186, 201, 208, 212, 214, 220, 237, 286, 293, 295, 302, 304, 315, 317, 325
25	1	okay	328	A	0, 3, 43, 51, 70, 73, 74, 77, 79, 80, 92, 130, 145, 152, 214, 226, 235, 246, 255, 262, 280, 286, 295, 315, 327
21	1	yeah	316	A	10, 21, 38, 61, 65, 72, 82, 102, 109, 111, 125, 141, 149, 157, 175, 183, 199, 206, 306, 315, 325
17	1	i	310	A	4, 12, 16, 42, 56, 61, 63, 65, 74, 117, 229, 231, 250, 269, 270, 283, 313
17	1	mount	247	A	5, 12, 16, 19, 21, 28, 33, 35, 42, 44, 45, 121, 123, 168, 224, 226, 251
14	1	and	256	A	17, 21, 28, 43, 70, 72, 103, 120, 162, 164, 168, 172, 174, 272
14	1	bern	311	A	19, 21, 28, 35, 100, 113, 117, 168, 224, 226, 233, 298, 311, 329
14	1	luzern	273	A	28, 30, 35, 42, 45, 131, 174, 193, 226, 279, 283, 284, 298, 300
13	1	oh	241	A	75, 77, 82, 141, 155, 157, 175, 237, 247, 260, 286, 298, 315
13	1	uh	300	A	12, 18, 21, 28, 70, 94, 103, 117, 121, 134, 283, 284, 311
10	1	the	166	A	105, 107, 109, 120, 131, 162, 183, 184, 186, 270
9	1	that	163	A	157, 176, 242, 244, 253, 260, 262, 269, 319
8	1	no	205	A	126, 174, 178, 180, 201, 269, 311, 330
8	1	same	82	A	105, 107, 109, 120, 126, 183, 184, 186
8	1	then	256	A	17, 21, 28, 38, 72, 103, 164, 272
8	1	you	286	A	21, 75, 111, 128, 131, 168, 176, 306
6	1	from	109	A	5, 12, 18, 28, 85, 113
6	1	is	180	A	105, 120, 166, 242, 280, 284
6	1	neuchatel	162	A	103, 123, 204, 215, 263, 264
6	1	we	271	A	16, 68, 72, 74, 109, 286
5	1	can	202	A	68, 72, 111, 176, 269
5	1	davos	248	A	44, 45, 283, 286, 291
5	1	do	195	A	56, 63, 72, 176, 250
5	1	erase	110	A	72, 74, 159, 180, 181
5	1	go	225	A	5, 16, 28, 215, 229
5	1	montreux	255	A	59, 169, 251, 264, 313
5	1	this	218	A	41, 120, 180, 181, 258
5	1	zermatt	245	A	42, 131, 174, 251, 286
4	1	have	159	A	128, 208, 270, 286
4	1	just	211	A	5, 12, 74, 215
4	1	n't	195	A	56, 63, 208, 250
4	1	submit	265	A	68, 142, 189, 332
3	1	or	229	A	44, 45, 272
3	1	um	155	A	97, 180, 251
2	1	build	22	A	21, 42
2	1	like	102	A	107, 208
2	1	not	147	A	126, 272
2	1	one	32	A	258, 289
2	1	too	34	A	286, 319

