start	end	interlocutor	utterance	utterance_no
40.321	42.448	B	um okay so .	0
41.430	42.628	A	okay so .	1
43.736	48.140	B	i'm going from mount montreux to mount interlaken .	2
48.709	50.836	A	to mount what , what wait mount ?	3
57.071	58.090	A	um	4
64.419	65.648	B	oh that's cool .	5
77.378	78.546	A	uh	6
82.725	83.804	A	okay .	7
85.062	87.638	A	i kind of get it if i have question can i ask you ?	8
94.867	95.556	A	okay .	9
97.344	98.123	A	okay .	10
106.359	108.217	A	so where are you building ?	11
113.288	113.857	A	um	12
119.526	123.001	A	i go from mount zermatt to mount davos .	13
120.724	123.600	B	oh okay it's your turn then .	14
123.600	126.416	A	and now your turn you can .	15
128.526	130.653	A	oh , um	16
133.139	135.625	A	um just	17
136.374	141.095	A	so we need to collect connect all of them together using the less the least money ?	18
142.113	142.862	A	okay .	19
150.529	151.518	A	okay .	20
186.563	187.285	B	three	21
187.799	188.255	B	two	22
188.750	189.263	A	one .	23
188.750	189.206	B	one .	24
191.429	194.016	A	oh green , green check oh wait .	25
216.135	216.990	A	okay .	26
220.357	221.289	B	oh okay .	27
221.479	222.164	A	okay .	28
223.628	225.188	A	i'll build first .	29
228.708	230.591	A	why are we 5 francs away ?	30
233.216	234.167	A	um	31
237.020	239.606	A	i think short distances will make less money .	32
281.203	283.257	A	okay , let's click it .	33
284.094	286.718	A	go , oh oh gosh , waiting for .	34
293.818	295.986	A	hello robot .	35
306.670	308.458	A	okay come on let's press it together .	36
308.192	309.447	B	i do that i already pressed it .	37
309.599	310.094	A	three .	38
310.094	310.855	B	two .	39
310.969	311.539	A	one .	40
311.692	312.300	A	go .	41
317.397	320.821	A	16 oh gosh let's let's just start .	42
321.277	322.825	A	let's just do our you know .	43
321.836	324.384	B	i know how we should start , let's so	44
323.833	326.838	A	let's start from mount zermatt to mount davos .	45
331.927	333.639	A	wait mount what ?	46
333.430	334.704	B	mount montreux .	47
335.207	338.231	A	oh mount mount montreux , to	48
337.717	339.790	B	to mount neuchatel .	49
339.600	340.152	A	okay .	50
342.377	344.470	B	and then go to mount interlaken .	51
342.511	342.986	A	and	52
345.268	346.257	A	you sure because	53
345.953	346.543	B	yeah .	54
346.257	346.809	A	okay .	55
347.551	350.309	A	i see oh 3 and 2 , we've got 5 francs .	56
351.944	353.371	A	um i'll go from	57
352.325	354.816	B	go to mount zurich .	58
354.784	357.582	A	go to mount zurich , and then from mount zurich	59
358.058	359.123	B	to mount luzern .	60
359.503	361.082	A	luzern , you go .	61
362.144	362.924	A	okay .	62
366.462	368.421	A	mount s t gallen .	63
370.025	371.128	A	which mountain ?	64
371.147	371.566	B	mount	65
371.870	373.126	B	mount zurich .	66
371.927	372.517	A	okay .	67
373.594	376.999	A	now we already collected , okay we're ready two one go .	68
374.793	376.771	B	okay three two one .	69
382.557	384.763	A	3 francs okay how can we	70
383.032	384.953	B	oh okay we're close .	71
386.006	387.604	A	okay um	72
387.337	388.821	B	okay you should take the lead now .	73
388.745	389.392	A	okay .	74
390.533	391.997	A	let's go from mount	75
393.376	395.960	A	davos to mount s t gallen .	76
396.762	399.063	A	and from mount s t gallen to mount zurich .	77
400.433	404.370	B	uh then where should i go , from mount mount luzern to mount zermatt .	78
404.712	408.642	A	yeah , no go from mount zurich to mount um bern .	79
409.073	413.296	A	because uh like , and now go from mount bern go to mount basel .	80
417.385	417.879	A	okay .	81
420.929	425.038	A	i'll go from mount , this to that mountain , and that to that mountain .	82
428.871	435.543	A	go from um go from mount you would never neuchatel to mount interlaken because we need to collect interlaken .	83
437.655	438.377	A	okay .	84
