start	end	interlocutor	utterance	utterance_no
65.774	66.433	B	okay .	0
65.954	66.463	A	okay .	1
66.493	67.002	B	ann .	2
67.332	68.021	A	yeah .	3
68.620	69.548	B	um	4
71.735	74.821	B	tracks , where do they go .	5
78.011	78.820	B	mount	6
80.048	81.786	A	maybe we should do mount	7
82.274	83.038	B	zermatt ?	8
83.382	86.168	A	gallen to mount davos ?	9
85.854	86.752	B	which one ?	10
87.202	87.771	A	the	11
89.269	90.182	B	say again ?	12
89.434	90.587	A	mount	13
91.197	91.886	A	gallen	14
92.680	94.282	B	okay well i 'm trying to find it .	15
94.365	96.372	A	mount s t	16
96.840	98.427	B	gallen i found it yeah .	17
98.277	100.569	A	to down to mount davos .	18
100.636	101.205	B	okay .	19
101.385	103.302	B	well ann how do you make the tracks again ?	20
103.047	103.796	A	you pull	21
105.062	106.330	A	i think .	22
107.737	109.116	B	it 's not working .	23
116.187	117.834	B	information here okay found it .	24
116.816	117.969	A	information .	25
136.643	137.407	B	oh .	26
137.617	138.665	B	good .	27
138.188	140.420	A	click and drag to	28
139.836	142.848	B	click and drag to release okay , so mount	29
158.789	161.875	B	click drag and release to build a track .	30
164.979	165.668	B	click	31
165.923	166.657	B	drag	32
169.976	174.349	A	a brief press so you need to do it hard , harder than	33
182.091	184.808	A	in this view you can interact and build tracks .	34
184.808	186.935	A	in this view you can not build tracks .	35
193.915	196.210	B	oh , your friend 's view your view .	36
194.337	195.229	A	mine is	37
199.032	200.725	B	okay we 've got different ones .	38
201.144	202.402	B	no we do n't .	39
204.579	206.646	B	oh yeah we do okay .	40
207.874	208.593	A	so	41
212.295	214.452	B	so mount s t gallen .	42
217.449	219.906	B	click drag and release to build a	43
221.605	222.354	B	okay .	44
241.840	244.042	B	it 's not working .	45
250.660	251.948	B	how do i go back ?	46
254.019	254.857	A	um	47
255.668	257.601	B	i need help , wait .	48
259.527	260.455	A	um your	49
263.549	264.044	A	yeah .	50
264.089	264.868	B	yeah i know .	51
264.763	266.860	A	this is my my view is the one	52
267.594	269.691	A	the , is the abstract view .	53
270.053	271.881	A	you have the interactive view .	54
271.356	274.951	B	i have that so it 's like yeah okay .	55
281.259	282.607	B	okay .	56
290.931	291.695	A	bob .	57
292.923	295.245	A	so now , you have to do .	58
303.893	304.934	B	oh , so	59
304.013	306.559	A	draw draw from a mountain that is already been	60
308.808	309.692	B	wait , so	61
314.388	315.122	B	oh this	62
316.535	317.973	B	oh !	63
319.103	320.017	B	i get it now .	64
323.267	323.941	B	okay .	65
360.415	360.984	B	here .	66
363.441	363.980	B	okay .	67
382.659	384.891	A	maybe mount zurich to mount gallen ?	68
384.696	389.225	B	wait yeah mount i 'm doing like mount davos to mount s t gallen and then	69
406.235	407.133	B	okay .	70
409.718	410.901	A	so should we submit ?	71
411.575	414.167	B	no we do n't , wait wait wait , i do n't think it is finished yet .	72
416.127	419.407	B	i do n't think it is finished , hold up , mount zurich to mount s t gallen .	73
421.312	423.109	A	that is already connected .	74
424.739	426.326	B	do n't press submit .	75
428.054	429.372	B	i pressed it .	76
451.840	453.053	B	try again ann .	77
454.192	456.798	A	maybe , we should make it shorter .	78
463.597	464.706	B	okay , here .	79
473.783	474.741	B	oh yeah .	80
474.457	475.790	A	so you have	81
475.161	477.318	B	wait , i applied it .	82
476.808	478.296	A	maybe	83
484.822	486.979	B	okay i 'm just gon na press submit and restart , wait .	84
487.475	489.153	B	wait ann , press submit .	85
497.858	500.539	B	i just did an accident ann , i 'm not doing that again .	86
499.326	500.763	A	no i 'll try .	87
501.846	503.239	B	um that 's	88
501.876	504.288	A	let 's start from here ,	89
505.201	505.816	A	to	90
511.475	512.119	B	nice .	91
519.383	520.087	B	okay .	92
521.121	521.854	B	um	93
523.853	524.437	B	should i do	94
525.051	526.369	B	bern , bern ?	95
526.504	526.969	A	what ?	96
526.969	528.077	B	you wanna do the mount bern ?	97
528.757	530.660	B	or mount interlaken to bern .	98
529.402	530.031	A	go	99
531.049	531.978	A	go to	100
532.262	533.101	B	to which one ?	101
532.802	533.655	A	zermatt .	102
534.624	535.418	B	luzern ?	103
536.047	537.185	A	zermatt .	104
541.794	542.783	B	okay now should we do	105
543.427	544.940	B	mount zermatt to	106
545.374	545.943	A	mount	107
546.228	547.067	B	luzern .	108
548.363	548.888	B	luzern .	109
548.843	549.367	A	yeah .	110
550.945	552.068	B	okay , your turn .	111
553.177	556.412	B	you wanna do mount luzern to mount bern or something ?	112
556.862	557.700	B	i 'm gon na try that .	113
563.041	564.464	B	okay nice , now ,	114
565.109	566.831	B	mount bern to	115
567.595	569.587	B	i do n't know .	116
569.842	573.392	A	i 'm gon na try and go to mount basel to mount zurich .	117
569.976	570.261	B	yeah	118
570.516	573.481	B	okay i do mount basel	119
574.371	576.393	B	basel to mount neuchatel .	120
575.509	576.482	A	zurich .	121
577.104	578.048	A	or mount zurich .	122
577.164	578.138	B	or zurich .	123
578.542	579.081	A	yeah .	124
579.246	579.710	B	zurich ?	125
579.830	580.265	A	yeah .	126
580.220	580.969	B	okay .	127
582.937	584.600	B	i i did zurich ,	128
584.600	585.229	B	then let 's do	129
584.600	585.394	A	then go to	130
585.394	586.083	A	mount	131
585.529	587.056	B	t s t gallen	132
587.230	587.709	A	yeah .	133
587.275	588.009	B	from zurich ?	134
588.653	589.207	A	yeah .	135
589.267	589.956	B	okay .	136
591.274	592.262	B	your turn .	137
598.250	598.789	B	to	138
598.789	600.466	A	now i think we can submit .	139
600.332	602.090	B	okay yeah press submit , let 's see .	140
607.755	609.319	B	oh we 're so close .	141
611.993	613.071	B	let 's try again .	142
612.921	614.809	A	maybe it 's from	143
614.809	615.333	B	mount	144
615.548	617.240	B	zermatt to mount luzern ?	145
618.130	618.609	A	or	146
619.717	620.421	A	here ?	147
620.751	622.204	B	let 's try that , okay .	148
622.668	623.881	B	or that , yeah .	149
624.996	625.970	A	then maybe	150
627.636	629.073	B	oh no you choose	151
629.223	630.137	A	to here .	152
630.667	633.453	B	okay i 'm going to mount	153
634.957	635.601	B	bern .	154
637.788	638.716	B	and then	155
639.019	641.056	A	to mount basel	156
640.175	641.703	B	yeah mount basel you 're right .	157
641.852	642.392	B	okay .	158
648.683	649.551	B	yeah .	159
650.974	654.078	B	to mount davos , so far .	160
657.535	657.969	B	okay .	161
658.629	660.935	A	i think you need to get them exactly on the tracks .	162
661.834	662.358	B	no .	163
663.118	664.346	B	i do n't think that 's how .	164
666.338	667.402	A	and maybe to mount	165
674.995	676.103	B	nice .	166
677.032	677.781	A	bern .	167
678.410	682.296	B	i think you do one more and then i , okay we can submit let 's see , you wanna submit ?	168
683.458	684.506	B	should we submit now ?	169
683.907	685.045	A	yeah submit .	170
684.731	686.154	B	okay , i press submit .	171
688.049	689.606	B	oh , it is so hard .	172
691.748	693.156	B	it 's hard .	173
694.055	695.014	B	let 's try again .	174
696.502	700.157	A	maybe we start from , mount zermatt ?	175
700.103	704.387	B	no lets do mount davos to , where do you wanna go ?	176
703.973	707.059	A	to , mount , s t gallen .	177
707.163	707.733	B	okay .	178
709.252	711.064	B	and then mount s t gallen to mount	179
711.738	712.337	B	zurich .	180
713.391	714.889	B	or luzern which one ?	181
714.320	715.069	A	no luzern .	182
715.279	717.361	B	though yeah , i think i 'll need zurich .	183
719.947	722.119	A	to maybe to mount bern ?	184
722.463	723.631	B	mount bern yeah try it .	185
725.257	727.803	B	okay , now maybe to mount basel .	186
733.777	734.556	B	okay .	187
735.155	736.069	B	let 's do ,	188
737.467	740.837	B	mount basel to mount neuchatel , and neuchatel to	189
741.863	745.382	B	mount montreux i do n't know how to pronounce it yeah .	190
749.479	750.318	B	okay .	191
752.077	752.736	B	nice .	192
753.125	753.620	A	to	193
763.421	765.338	A	maybe to mount bern .	194
763.556	765.473	B	to , okay , um	195
765.668	766.402	A	to mount	196
766.477	768.649	B	mount luzern to where ?	197
768.094	768.649	A	yeah .	198
769.248	773.733	A	to mount , to mount luzern .	199
772.714	776.151	B	i ca n't press it for some reason it 's not letting me press .	200
776.702	779.263	A	to mount zermatt to luzern .	201
778.244	779.248	B	well wait , wait wait wait .	202
780.870	783.940	B	wait i ca n't , it 's not working for me .	203
783.243	786.119	A	mount zermatt to uh mount luzern .	204
785.265	789.324	B	wait what mount zermatt , oh yeah it 's because i did n't do a railroad yet .	205
789.987	791.683	B	um mount zermatt to mount luzern ,	206
790.221	790.760	A	mount	207
791.809	792.258	A	yeah .	208
792.558	794.220	B	or to mount davos .	209
794.220	797.740	A	maybe to no um mount luzern because there 's already one over there .	210
797.856	798.575	B	okay .	211
797.931	799.458	A	and you do n't wanna lose any more money .	212
800.821	801.945	A	so that 's	213
802.125	802.769	B	submit ?	214
803.038	803.398	A	yeah .	215
805.778	806.572	B	no !	216
809.688	813.462	B	so close , we 've got five more minutes we can do it come on .	217
824.214	828.258	B	okay , let 's go , mount luzern to mount zurich .	218
828.273	829.037	A	or maybe	219
829.715	830.075	B	okay ?	220
830.704	831.992	B	no , i did n't	221
833.280	834.403	B	mount luzern to mount	222
834.613	835.167	A	bern	223
835.392	836.755	A	to mount bern .	224
835.692	836.755	B	bern bern okay	225
837.645	838.304	B	your turn	226
838.784	845.802	B	now go for , things that , like maybe mount zermatt or mount interlaken or mount basel somewhere or mount bern	227
844.790	845.434	A	or	228
846.891	851.385	B	try it , yeah , and then mount basel to , i do n't know , neuchatel .	229
854.604	855.548	B	okay .	230
856.312	862.468	B	um let 's do this , mount neuchatel here and then	231
863.012	864.794	B	there , okay .	232
866.853	867.976	B	your turn .	233
869.903	870.862	B	mount zermatt	234
871.296	874.801	B	nice , to no no mount davos mount davos mount davos	235
873.752	875.460	A	yeah , and then to mount	236
875.670	877.437	B	s t gallen and i think we did it .	237
877.985	878.434	A	yeah	238
878.269	879.273	B	okay let me try .	239
882.588	885.538	B	okay submit submit three two one submit .	240
887.482	888.860	B	seriously ?	241
892.650	896.474	B	oh we did too much on mount luzern , we 've got two on mount luzern .	242
896.961	897.455	A	maybe	243
897.066	897.350	B	here	244
897.755	902.173	A	do from , mount luzern to , mount zermatt .	245
899.807	903.611	B	okay yeah so mount luzern to zurich and then	246
904.097	905.040	B	to bern .	247
907.820	909.078	A	then to	248
910.426	911.070	A	mount	249
911.717	913.364	B	mount basel mount basel .	250
913.364	913.933	A	yeah .	251
915.585	916.559	A	then to	252
917.008	917.518	B	mount	253
918.074	918.913	A	neuchatel .	254
919.182	920.672	B	yeah good neuchatel .	255
921.091	922.904	B	okay now here	256
922.364	923.637	A	maybe to interlaken	257
923.911	924.421	B	here	258
924.091	925.080	A	yeah	259
925.005	925.529	B	now	260
926.098	929.941	B	now go to uh mount interlaken to mount zermatt .	261
929.237	929.881	A	zermatt .	262
930.780	931.289	B	zermatt .	263
932.023	932.682	B	nice .	264
932.278	934.180	A	then to mount davos	265
933.524	935.786	B	now mount zermatt to mount davos .	266
935.806	938.251	A	then to mount then mount	267
938.251	940.917	A	s t gallen and i think we 're done .	268
939.195	940.288	B	s t gallen yeah .	269
941.908	942.522	B	let 's try it .	270
946.440	948.732	B	oh my god , got again .	271
946.545	947.564	A	again ?	272
950.552	951.466	B	okay um	273
951.286	953.548	A	wait go from mount zermatt	274
952.394	959.141	B	s t gallen to mount davos okay and then , mount s t gallen to mount zurich let 's try that .	275
959.627	960.720	A	then to	276
961.304	963.461	A	maybe to mount basel ?	277
962.314	973.330	B	oh i get it now because , i think it is because of the mountains because mount zurich had had um three mountains that was like cost 3 and basel is a big mountain so it costs 5 .	278
977.051	980.548	B	maybe it 's because of that , here let 's go to a low mountain like here	279
981.495	984.925	B	then no now we 're not going to mount zermatt that 's for sure .	280
981.569	982.588	A	then to mount zermatt ?	281
984.959	985.603	A	oh .	282
988.725	989.684	A	maybe , here ?	283
991.531	992.715	B	okay .	284
993.089	993.793	B	now .	285
993.697	995.929	A	then to , now to mount , neuchatel .	286
995.899	998.864	B	no why did you , did you that 's fine okay .	287
999.154	1001.102	A	to mount neuchatel now ?	288
1003.229	1003.947	B	um	289
1004.341	1005.150	A	neuchatel .	290
1005.105	1006.094	B	yeah okay .	291
1006.363	1007.037	A	then	292
1007.643	1008.721	B	and then we have to go	293
1009.096	1010.040	B	mount davos	294
1010.549	1011.567	B	mount davos	295
1011.689	1012.962	A	we 've done mount davos .	296
1013.042	1016.427	B	yeah but , yeah but do they get mount davos to mount zermatt .	297
1014.315	1015.049	A	no but .	298
1015.693	1016.292	A	no .	299
1016.672	1021.813	A	no , because , no but it 's it 's but then it then would cost more money .	300
1018.005	1018.529	B	fine then .	301
1020.240	1021.169	B	okay so then	302
1021.723	1022.472	B	where	303
1021.813	1023.131	A	we could have to do the least money .	304
1023.465	1025.157	A	so now let 's submit .	305
1025.973	1026.781	B	oh yeah okay .	306
1026.991	1027.590	B	submit .	307
1032.917	1034.190	B	we 're so close we 've got	308
1035.215	1037.582	B	okay , here let 's	309
1038.067	1041.342	A	mount let 's go to mount neuchatel to mount interlaken .	310
1041.481	1047.401	B	mount neuchatel to mount interlaken okay got it , now let 's go here .	311
1046.563	1048.315	A	to mount montreux ?	312
1047.962	1048.636	B	yeah .	313
1050.438	1052.460	A	that 's that 's	314
1052.897	1053.855	B	um go to mount	315
1055.518	1056.866	B	oh that 's gon na cost a lot .	316
1057.802	1059.300	B	it cost 2 good it cost 2 .	317
1059.480	1060.004	A	how much ?	318
1060.427	1063.902	B	2 only okay , go to mount luzern , mount luzern maybe .	319
1066.595	1068.811	B	okay now i 'm gon na go to mount davos	320
1069.366	1070.818	B	to mount s t gallen .	321
1075.216	1075.860	B	okay .	322
1076.174	1076.594	B	yes .	323
1076.938	1077.358	A	maybe	324
1077.028	1079.365	B	to mount bern bern bern mount bern .	325
1078.062	1078.676	A	yeah .	326
1079.103	1081.095	A	then to mount basel then we 're done .	327
1082.271	1084.263	B	basel , and then press submit	328
1086.922	1088.644	B	oh my god we 're so close .	329
1092.468	1093.187	B	um	330
1093.097	1095.119	A	maybe from , mount	331
1094.325	1095.014	B	here .	332
1096.203	1096.697	B	here .	333
1096.353	1098.600	A	i think the further they are the better .	334
1100.102	1102.378	B	now go to mount luzern , luzern .	335
1102.573	1103.427	A	yeah .	336
1107.269	1107.898	A	to	337
1108.532	1111.079	B	to um zermatt zermatt zermatt .	338
1111.109	1111.633	A	i know .	339
1112.352	1113.191	A	then to	340
1112.427	1113.086	B	okay good .	341
1113.841	1114.530	A	mount	342
1115.010	1115.953	B	bern no	343
1115.654	1116.882	A	no mount montreux .	344
1117.511	1117.975	B	yeah .	345
1120.246	1121.867	B	and , to mount interlaken ?	346
1120.396	1121.938	A	to , mount	347
1122.195	1122.644	A	yeah .	348
1122.764	1123.693	B	no no wait .	349
1123.468	1124.232	A	interlaken .	350
1124.142	1125.041	B	we go here .	351
1126.881	1127.301	B	okay .	352
1127.600	1128.155	B	your turn .	353
1132.024	1132.848	B	to mount basel .	354
1133.208	1135.200	A	yeah , then to mount bern and then	355
1135.350	1136.413	B	okay mount no .	356
1135.904	1137.177	A	please say we 're done .	357
1136.713	1138.001	B	yeah mount bern mount bern .	358
1138.515	1140.058	A	then , submit	359
1139.414	1139.908	B	submit .	360
1140.273	1141.157	B	please .	361
1146.751	1147.276	A	wait .	362
1155.931	1156.980	B	okay , here	363
1157.354	1158.448	B	i 'm gon na go look at	364
1158.807	1161.898	B	here go to your previous solutions	365
1162.458	1164.644	B	are we done , okay wait	366
1164.974	1165.633	B	um	367
1165.813	1166.816	A	we 'll try .	368
1166.975	1168.233	B	to zermatt .	369
1169.761	1173.955	B	yeah 2 2 , go to very long ones go to long range .	370
1174.879	1177.905	B	go to long range , now go to , s t gallen .	371
1179.902	1182.074	B	nice now i 'm gon na go to mount zurich .	372
1182.778	1184.366	B	all the way to mount	373
1184.471	1185.467	A	basel .	374
1185.841	1186.261	B	mount	375
1186.590	1187.489	B	basel yeah .	376
1190.237	1194.625	B	no that costs 5 , no , we were really good that costs 5 .	377
1202.116	1202.865	A	mount	378
1205.382	1205.817	B	to mount	379
1206.296	1207.120	B	neuchatel	380
1212.377	1213.785	B	where are you gon na go ?	381
1215.619	1216.203	B	s t	382
1218.525	1219.304	A	gallen .	383
1220.038	1221.056	A	interlaken .	384
1220.987	1221.975	B	okay press submit	385
1225.353	1225.757	B	nope .	386
1225.697	1226.701	A	uh	387
1227.824	1229.097	B	is n't it break time ?	388
1236.739	1238.956	B	we have n't finished yet it 's so hard .	389
1241.240	1242.079	A	no .	390
1241.809	1242.453	B	uh	391
1242.962	1243.502	B	we 're	392
1245.052	1248.347	B	yeah , no 3 francs we 've got minimum , yeah .	393
1245.816	1247.598	A	we were 3 francs .	394
1249.625	1250.643	B	okay one more minute .	395
1252.491	1253.000	B	okay .	396
1254.258	1254.992	B	let 's go .	397
1255.606	1256.071	B	mount .	398
1256.505	1257.763	A	maybe from mount	399
1257.868	1260.100	B	zurich to mount davos .	400
1262.343	1264.200	B	no , that 's not the one i wanted .	401
1265.823	1266.347	A	wait .	402
1267.006	1268.115	A	i 'll erase that .	403
1268.459	1271.367	B	yeah and erase mount basel to mount zurich it 's 5 .	404
1272.045	1272.390	B	nice .	405
1273.037	1276.273	B	okay , now , let 's try this .	406
1276.902	1278.070	B	to that how much is that ?	407
1279.005	1279.889	B	3 and 4 .	408
1280.593	1281.462	A	that 's	409
1281.677	1283.279	B	no just do it just do it it 's fine .	410
1284.822	1285.916	A	let 's try .	411
1287.662	1288.890	A	mount	412
1289.268	1290.990	B	neuchatel to mount	413
1290.391	1291.964	A	to mount zurich .	414
1291.964	1292.608	B	okay .	415
1302.862	1303.746	A	ca n't .	416
1313.072	1315.783	B	mount zermatt to	417
1319.518	1321.256	B	mount okay .	418
1323.862	1325.495	A	you ca n't cross trees .	419
1334.673	1336.246	A	maybe we shoul	420
1338.034	1339.127	B	what was our lowest one ?	421
1340.343	1341.451	A	it was 3 .	422
1342.339	1342.938	B	yeah .	423
1343.839	1346.550	B	price was	424
1347.644	1349.666	B	yeah i think it 's 25 that 's price .	425
1357.327	1358.406	B	it 's my turn .	426
1357.807	1363.678	A	so , no , we want to , maybe from mount basel to mount zurich .	427
1364.195	1365.214	B	okay .	428
1373.374	1374.317	B	press submit .	429
1376.031	1377.170	B	i just press submit .	430
