start	end	interlocutor	utterance	utterance_no
48.714	51.047	A	you ca n't get past through the other mountains right ?	0
51.533	52.636	B	i do n't know .	1
52.454	53.467	A	okay .	2
69.184	69.620	B	oh .	3
69.254	70.323	A	oh , okay .	4
111.428	112.120	A	yeah .	5
119.317	120.287	A	uh okay .	6
129.379	131.630	A	okay so this is my view .	7
154.555	156.187	B	how do you go back ?	8
165.889	168.167	A	okay bob it 's your turn .	9
201.624	203.171	A	it 's my turn again .	10
205.721	207.812	A	your turn .	11
209.748	210.787	B	should we submit ?	12
211.365	211.984	A	what ?	13
211.913	212.912	B	should we submit ?	14
213.221	214.262	A	yeah i think .	15
214.753	215.583	A	yeah it 's good .	16
216.652	217.103	A	yeah .	17
238.134	238.852	A	okay .	18
246.319	247.009	A	okay .	19
247.515	248.190	B	um	20
250.679	252.470	A	okay your turn , bob .	21
255.242	256.621	A	that 's 3 .	22
261.993	263.484	A	yeah okay .	23
281.368	282.282	A	okay .	24
292.988	294.634	A	yeah okay .	25
311.630	319.037	A	it 's better to go from mount basel to mount interlaken because that costs less money , i think .	26
328.561	330.179	A	okay , uh .	27
339.136	342.456	A	i think that cost less , then last time .	28
342.821	344.143	B	um yeah , let 's submit .	29
344.354	345.254	A	yeah .	30
355.362	358.597	A	oh so what 's the minimum is 9 i think , wait .	31
359.332	362.358	A	we had the price which is 29 , so	32
363.230	365.521	A	i think we used to do it one more time .	33
366.213	366.767	B	um	34
367.416	368.779	A	okay your turn first .	35
369.303	371.565	A	why do n't you go from a different mountain this time ?	36
372.829	374.402	B	maybe mount bern ?	37
376.700	377.329	A	where ?	38
377.449	378.452	B	mount bern .	39
378.559	379.877	A	okay start from there .	40
381.694	383.476	A	maybe go to mount basel after .	41
384.588	386.490	A	that might cost less .	42
388.442	390.799	A	yeah , and then go to mount zurich .	43
394.146	394.805	A	yeah .	44
395.044	397.471	A	oh no that costs more .	45
397.775	398.688	A	uh	46
398.179	399.707	B	we should erase it .	47
