start	end	interlocutor	utterance	utterance_no
40.591	41.040	B	uh	0
41.489	42.268	B	ann ?	1
42.268	42.897	A	yeah .	2
43.411	45.792	B	if you did from mount montreux	3
47.170	49.717	B	to interlaken , mount interlaken .	4
50.388	54.633	B	that would make it less expensive than if you went to mount montreux then to zermatt .	5
111.002	111.601	B	um	6
114.747	119.615	B	i 've read the instructions and it says you could see the cost of it .	7
120.004	123.794	B	in swiss francs but how would you find that out ?	8
135.734	138.700	B	if she does it i see the cost .	9
140.048	142.145	B	oh , okay .	10
140.240	140.602	A	oh .	11
144.276	145.834	B	so , ann .	12
146.313	149.069	B	you are the interactive that 's right .	13
150.494	152.394	B	or do you have the dark screen .	14
152.566	153.921	A	no i have the	15
154.744	155.556	A	interactive .	16
155.660	157.158	B	so .	17
157.262	159.000	A	you have the abstract .	18
158.392	158.985	B	yes .	19
162.387	167.016	B	um could you go to mount montreux and then mount interlaken .	20
167.540	168.349	B	to see	21
170.056	170.595	A	mount	22
171.332	173.549	A	montreux to interlaken .	23
177.443	178.971	B	that 's 4 .	24
179.255	180.109	B	okay .	25
180.454	181.787	B	then , can you erase that ?	26
185.489	186.822	B	oh , okay .	27
186.372	187.571	A	now we 've swapped .	28
187.571	188.335	B	okay .	29
188.529	191.195	A	i think every time we erase something then we swap .	30
191.300	191.929	B	okay .	31
192.214	193.247	B	how much is that ?	32
193.502	194.116	A	2 .	33
195.616	198.867	B	okay , 2 franc , 2 francs .	34
198.971	199.870	A	it says 2 .	35
201.188	201.832	B	hmm	36
203.106	204.289	B	how much is that ?	37
205.202	205.757	A	3 .	38
207.107	209.668	B	so we have 4 2 3 .	39
207.347	208.515	A	we 've swapped again .	40
210.088	211.121	A	yes so	41
210.477	213.428	B	try mount luzern to mount bern .	42
213.263	215.210	A	luzern to mount bern ?	43
215.315	216.094	B	yeah .	44
217.757	220.183	B	i think you have to touch east so that 's 3 francs .	45
221.233	222.803	B	oh , okay .	46
223.131	223.596	B	um	47
223.786	229.599	B	i think we should start to mount montreux , and then finish at mount interlaken .	48
229.978	230.444	B	you ?	49
229.978	230.392	A	yeah .	50
230.962	235.257	B	so kind of like go around in a snake instead of having to stop .	51
234.670	236.932	A	so should we , go to mount	52
239.306	239.727	A	basel .	53
240.020	245.678	B	you should erase the mount bern and do it from mount luzern to mount davos i think .	54
246.367	249.024	A	okay but you would have to do it because	55
248.282	250.674	B	yeah , i think though i 'm not sure though .	56
251.329	251.967	A	okay .	57
251.502	252.657	B	yes i will .	58
252.864	255.676	B	so how about this how much is that ?	59
255.124	255.727	A	3 .	60
256.883	259.919	B	we 've got 3 uh 2 3 2 .	61
260.178	262.558	A	yeah so 4 2 3 2 .	62
262.576	264.059	B	it 's 6 8 .	63
264.559	265.163	A	wait .	64
265.767	268.009	A	3 3 6 yeah at 8 .	65
267.552	269.398	B	so should i do mount saint gallen ?	66
269.863	272.968	B	so we would have to go mount davos and mount saint gallen .	67
273.399	278.277	B	and then mount zurich then mount bern to mount basel then mount interlaken .	68
278.442	279.291	B	oh no then	69
279.964	280.430	B	um	70
280.723	284.303	B	mount neuchatel and then back to mount interlaken right ?	71
286.589	287.115	B	right ?	72
291.399	296.986	B	so we go around and like we go to mount saint , gallen and then mount zurich then mount basel then mount bern	73
297.202	297.849	B	then mount	74
297.202	297.978	A	so from	75
297.909	300.151	B	neuchatel , then interlaken	76
300.436	301.048	B	or	77
301.366	305.385	B	you go from mount neuchatel to mount bern to mount interlaken .	78
310.478	312.841	A	no i think the first idea was good .	79
316.945	320.981	B	first idea was good okay i 'm gon na go track this way , but	80
321.491	322.440	B	no .	81
323.734	325.976	B	no because i 'll go twice on it .	82
327.597	333.954	B	oh if i go here , no i wanna i wanna draw i wanna draw i wanna draw .	83
337.982	343.053	B	okay you try mount davos to mount saint gallen .	84
344.571	345.606	B	so that 's	85
346.192	346.813	A	2 .	86
346.347	348.452	B	2 3 3 2 .	87
348.435	350.108	A	2 3 3 2 .	88
349.349	358.197	B	wait there is uh so each track was 2 then you go 3 3 and then you go 2 then you 3 3 and then you go 2 then you 3 3 and then you go 2 that looks like it .	89
358.129	358.681	A	probably .	90
359.233	360.526	A	so how it 's going so far ?	91
360.664	361.061	A	wait .	92
361.268	363.767	A	so , so from , mount saint	93
363.510	364.528	B	saint gallen .	94
364.718	365.011	A	yeah .	95
364.890	366.512	B	try mount zurich .	96
366.460	366.874	A	okay .	97
367.046	370.703	B	or you can go mount bern and then come back and then mount basel .	98
369.461	371.221	A	i think we should go to mount zurich .	99
371.721	373.670	A	and then go to bern and then go to basel .	100
373.998	379.820	B	or we can go to mount zurich mount basel mount bern mount neuchatel mount interlaken .	101
380.044	386.497	A	no i think it would be better if we go to , mount zurich , and then bern .	102
387.116	388.224	B	i do n't know .	103
387.169	387.669	A	we	104
388.467	395.331	A	or we should go mount saint gallen to mount zurich .	105
397.076	398.229	A	to mount	106
398.933	400.030	A	bern .	107
400.030	407.346	A	wait no to mount basel to mount to mount neuchatel to mount bern then interlaken .	108
407.965	409.850	B	to mount zurich ?	109
410.272	415.420	B	mount bern to mount neuchatel to mount basel to mount and then mount interlaken ?	110
415.983	418.459	B	you kind of like go there i 'm not sure that could happen though .	111
418.965	420.942	B	because i ca n't cross over .	112
420.560	421.712	A	oh yeah true .	113
420.942	421.891	B	i 've tried that .	114
422.337	422.988	A	true .	115
423.720	426.195	A	so , yeah okay .	116
424.987	426.591	B	so it has to be a straight line .	117
426.985	429.876	B	or it can have zigzags but never overlap .	118
427.452	428.245	A	yeah	119
430.307	432.668	A	yeah so we should go	120
433.118	434.075	A	i do n't mind	121
434.497	437.172	A	uh i think we should go to mount zurich though .	122
437.564	442.346	B	and then go mount bern then mount basel or mount basel and then bern mount bern and then neuchatel .	123
440.996	445.582	A	i think and then mount basel .	124
442.740	449.155	B	i think what we should do is mount saint gallen mount zurich mount basel mount neuchatel mount bern then mount interlaken .	125
449.606	453.208	A	i do n't think i 've got anything you 've just said bob .	126
459.876	461.952	B	or finish out mount bern	127
462.422	466.318	A	i think we should finish at mount interlaken because we started we started	128
466.684	468.569	A	uh mount montreux .	129
467.134	473.295	B	no we have to finish at mount um montreux because she wants all of them , there .	130
472.001	473.914	A	yeah because we 've started there as well .	131
475.189	475.773	A	okay .	132
476.167	477.208	A	so where should	133
477.011	479.121	B	i think we should go mount zurich first .	134
479.036	481.343	A	okay so from mount saint gallen	135
481.495	482.440	A	to zurich .	136
481.514	482.426	B	to mount zurich .	137
485.985	487.111	A	how much was it ?	138
487.702	488.377	B	3 .	139
488.405	489.361	A	okay .	140
488.911	495.129	B	so it 's 2 3 3 oh but mount interlaken to mount montreux is 4 .	141
495.488	495.847	A	yeah .	142
497.413	498.597	B	that is weird .	143
