start	end	interlocutor	utterance	utterance_no
42.525	43.004	A	okay .	0
47.732	48.615	A	i am doing this .	1
50.372	51.540	A	can i see him playing ?	2
52.079	54.326	B	i do not understand how , it is not working .	3
59.404	60.437	B	oh , okay .	4
63.538	65.994	A	i do not understand .	5
66.204	67.132	B	i understand .	6
68.403	69.661	B	what do i do now ?	7
71.714	72.864	A	bob ?	8
73.092	73.657	B	yeah ?	9
85.498	86.802	A	okay .	10
91.377	93.268	B	do you see what i am doing , or not ?	11
92.936	93.728	A	yeah i do .	12
94.264	95.491	A	then you see what i did ?	13
95.465	96.718	B	i ca n't see yours .	14
98.896	101.532	B	sometimes my screen turns like gray .	15
103.210	104.198	B	oh , there you go .	16
103.240	104.558	A	okay .	17
109.650	111.148	B	i do n't want the eraser .	18
116.339	119.005	B	oh my god , this is so weird .	19
117.477	118.226	A	okay .	20
126.584	132.545	A	why does it always show me like it is so annoying .	21
130.658	132.935	B	why does it turn gray sometimes ?	22
149.872	153.347	A	do you want to submit oh no , one sec .	23
152.898	157.661	B	no no no , do n't do n't submit .	24
155.234	156.434	A	let let 's not submit .	25
156.710	158.260	A	no , do n't submit .	26
164.939	166.497	B	okay um	27
165.250	166.013	A	it 's	28
174.723	176.790	A	no i ca n't have it , not yet .	29
176.910	177.539	B	what ?	30
177.779	179.457	A	let 's not do it , yet .	31
180.056	180.865	B	i think	32
181.224	183.351	B	do we need to connect it , to all places ?	33
183.021	184.669	A	we need to connect everything .	34
184.939	186.646	B	even to like the big buildings ?	35
187.425	190.750	A	no , you ca n't connect to the big buildings .	36
187.515	188.264	B	like the	37
189.822	193.866	B	oh we need to connect yeah we need to connect everything okay yeah i understand .	38
193.297	196.652	A	uh we did n't connect everything yet .	39
195.309	197.166	B	yeah we definitely did n't .	40
198.394	201.390	A	no we need to connect all the mountains .	41
200.671	202.199	B	how do i go back to do it ?	42
203.277	205.194	A	go back to do what ?	43
205.224	210.886	B	like to do it , to the trace , because right now my screen is like gray and it is not working .	44
209.538	211.126	A	okay so click two times .	45
211.216	211.875	B	what ?	46
211.815	213.942	A	click two ties on the board .	47
215.795	217.412	B	it 's not working man .	48
217.742	220.348	A	i think we can , finish .	49
219.359	221.187	B	i do n't understand .	50
223.344	225.620	A	just wait a moment .	51
227.538	228.316	A	okay .	52
228.954	230.872	B	yeah but for me it is not working .	53
231.532	233.118	A	it did so , look !	54
231.591	233.418	B	oh , oh yeah now it 's working .	55
233.688	235.425	A	we do it now oh it 's the uh yours .	56
236.234	238.541	A	okay oh we are doing one turn each .	57
238.960	240.937	B	yeah that is why i think we are doing but uh .	58
242.342	243.236	A	so	59
242.450	243.978	B	oh we connected everything !	60
244.188	244.776	A	no .	61
244.776	245.565	A	uh	62
244.846	245.356	B	yeah .	63
247.033	247.396	A	sure ?	64
248.291	249.699	B	yeah we connected everything .	65
249.610	251.347	A	i do n't what uh let me see .	66
252.006	253.923	B	yeah exactly we connected everything .	67
254.642	257.818	A	uh okay let 's go , three , two , one .	68
256.559	257.758	B	two , one .	69
262.200	264.058	B	that is not a lot .	70
276.879	278.766	B	alright .	71
277.628	279.605	A	alright .	72
280.126	281.834	B	now it 's your turn .	73
282.253	283.421	A	it 's my turn .	74
284.590	288.574	B	so we have to connect them in a way or we have to connect two of them together ?	75
288.394	289.802	A	we have to connect all .	76
289.173	289.742	B	so .	77
291.300	292.349	B	wait what the heck ?	78
293.667	294.865	B	wait what ?	79
295.194	298.948	A	oh here okay four , five , three two four .	80
299.008	300.895	B	okay neither just all connected .	81
301.734	302.356	A	what ?	82
303.352	306.707	B	i do n't know what just happened , neither just all connected now .	83
307.036	309.403	A	yeah , one sec .	84
309.695	311.372	A	they did n't all .	85
312.271	314.488	A	what , a heck .	86
312.331	314.488	B	this is all weird there 's a	87
315.626	316.705	B	it 's glitching .	88
317.903	320.210	A	everything connected .	89
318.981	320.479	B	is it glitching or something ?	90
321.496	323.324	A	i ca n't do anything .	91
323.354	325.570	B	they are all connected like that uh .	92
331.532	332.281	A	oh my god .	93
332.970	334.797	B	you need to do all connected .	94
334.827	336.684	A	yeah did all i 'll still check .	95
336.535	339.440	B	okay there is the check i do n't know three two one .	96
339.231	340.728	A	waiting for your friend .	97
344.222	345.960	B	that 's weird .	98
346.379	347.697	A	okay let 's erase everything .	99
347.577	348.955	B	okay yeah let 's just	100
349.075	353.599	A	you are going to do a lot , you just need to connect all of them .	101
354.317	355.935	B	yeah exacly , so	102
356.864	358.481	A	so	103
357.433	358.631	B	oh i understand .	104
359.086	362.591	A	you do n't do a lot of money .	105
360.673	362.572	B	i know i know i understand i understand .	106
362.920	363.759	B	so do n't	107
364.688	368.548	B	exact exact , you go like that yeah , and then , yeah .	108
364.897	365.706	A	use	109
366.156	368.582	A	a lot of money	110
369.244	369.900	B	okay yeah .	111
369.810	371.188	A	okay your turn .	112
372.476	373.345	A	now go over there .	113
373.555	374.933	B	yeah here ?	114
374.124	376.491	A	go go	115
375.232	376.356	B	can not you go down ?	116
377.000	380.597	B	go , from uh where i did yeah and then uh on the left .	117
380.597	381.663	B	yeah there we go .	118
382.328	382.916	B	okay now .	119
382.456	383.094	A	finished .	120
383.146	383.657	B	check .	121
384.577	386.647	A	waiting for	122
390.353	390.762	B	oh .	123
394.411	395.740	A	okay , let 's go .	124
394.973	396.711	B	let 's try again , i 'll try .	125
396.046	398.807	A	okay um just do the contour , yeah .	126
399.497	401.030	B	yeah okay .	127
401.797	403.381	A	i know , why .	128
407.156	408.258	B	yeah but	129
409.600	412.163	A	do n't go in the middle just go outside .	130
414.619	416.248	B	okay .	131
416.559	417.997	A	yeah .	132
418.787	419.842	A	now let 's	133
418.931	420.992	B	but how do we connect the middles now ?	134
421.351	422.860	A	now , we , do this .	135
423.411	425.394	A	do the line in the middle .	136
425.376	428.011	B	i ca n't do a line now i just have the eraser .	137
428.299	428.754	B	tap tap )	138
429.562	431.072	B	how do i take off the eraser ?	139
431.838	432.701	A	just do	140
433.156	433.755	A	track .	141
436.007	437.133	B	i ca n't do a track .	142
437.372	437.875	B	i ca n't .	143
438.091	438.882	B	the eraser	144
439.385	440.822	A	no do n't erase it !	145
440.660	443.224	B	i , i did n't , the eraser , i ca n't .	146
443.368	444.607	B	ca n't the track thingy .	147
444.691	445.242	B	oh there we go .	148
446.692	447.159	B	alright .	149
446.996	448.284	A	no , why did you do this !	150
448.429	449.135	B	because	151
449.830	451.740	A	we are wasting money .	152
450.609	453.076	B	this is fine , no we are not wasting money .	153
453.800	454.207	A	we did .	154
455.489	456.363	A	waste money .	155
457.425	458.491	B	wasting money .	156
459.078	460.671	B	why do you connect , oh my god !	157
461.234	461.737	B	ann .	158
462.643	463.601	A	connect	159
462.645	463.855	B	erase that .	160
464.358	465.496	B	and then do this .	161
466.143	466.622	B	really ?	162
467.164	468.721	A	no , look look .	163
467.523	472.530	B	there we go , yes , because that 's would have just added one when you can just go like that .	164
472.854	474.012	B	okay press submit now .	165
473.908	475.333	A	how do you erase things ?	166
475.597	476.280	B	alright just put .	167
476.531	477.202	B	just check .	168
477.732	480.175	A	but just how do you erase things ?	169
479.852	480.822	B	just check .	170
481.157	483.230	A	no i want to erase .	171
482.679	483.338	B	just check .	172
483.565	484.416	A	something	173
484.116	484.991	B	just check .	174
487.528	490.235	A	you , okay , you 're gon na see it 's not correct .	175
490.954	491.541	A	told you .	176
494.104	495.204	B	oh that was more .	177
496.546	497.791	B	it was a bad idea .	178
498.613	500.123	A	let 's do the outside okay .	179
500.099	501.800	B	okay no that 's better because	180
504.020	506.092	B	we got 1 franc less this time that was good .	181
507.844	508.156	A	no !	182
508.684	510.684	B	yes , okay i am telling you it is gon na work .	183
510.899	512.636	B	okay , i am telling you .	184
513.642	514.277	A	oh yeah .	185
515.451	516.157	B	you 're gon na see .	186
528.481	529.488	B	you 're gon na see why .	187
531.057	531.428	B	yeah .	188
531.596	532.123	B	i do n't know .	189
532.446	532.746	B	no !	190
540.415	541.361	A	how do you erase ?	191
542.487	544.296	B	because you can just go like that .	192
546.588	548.985	B	check	193
551.824	552.914	A	how do you erase ?	194
552.676	553.404	B	oh you go .	195
553.980	554.836	B	on it and you go .	196
555.602	557.842	B	and you just like , press like that you just .	197
558.141	560.309	A	and the mountain or the track .	198
559.564	562.828	B	i do n't know you just come straight on it because when you do long	199
563.374	565.985	B	i ca n't do something until i erase it .	200
566.440	567.626	B	so just press check .	201
570.964	572.130	B	that 's bad , that 's good .	202
573.963	575.245	B	i do n't know .	203
578.836	579.399	A	oh .	204
581.723	582.890	A	i have an idea .	205
583.752	585.837	A	let 's do just the outside and after .	206
586.675	589.238	A	just just the outside and after let 's do .	207
589.962	591.867	A	just do the outside please .	208
591.855	592.765	B	this is hard .	209
593.136	594.011	B	i do n't like the	210
598.228	599.732	B	oh yeah i know how we can do this .	211
602.557	603.048	A	no .	212
605.032	605.475	A	no .	213
606.050	606.697	A	it 's not .	214
607.835	609.512	B	it is , it 's right .	215
613.419	615.300	A	to , go directly to the middle .	216
616.522	617.061	A	from	217
616.570	617.097	B	here ?	218
617.442	619.334	A	from uh the one this way .	219
619.790	621.335	A	go directly to the middle .	220
619.861	621.275	B	this way this way this way ?	221
622.004	622.832	A	no !	222
623.108	623.647	A	erase it .	223
626.117	626.896	A	here , my turn .	224
627.243	628.153	A	i 'm gon na show you .	225
629.351	630.345	A	like this .	226
635.355	635.858	B	this one ?	227
636.685	637.092	B	here ?	228
637.391	638.266	A	go to .	229
638.637	641.428	A	mount mount interlaken .	230
643.251	645.647	B	to mount zermatt or mount interlaken ?	231
645.851	646.941	A	to mount interlaken .	232
647.566	648.740	B	alright now you	233
648.124	648.788	A	no !	234
649.028	649.926	B	and now go to mount .	235
650.556	651.092	A	no !	236
651.531	652.396	B	i do n't know !	237
652.164	653.005	A	i 'm gon na erase it .	238
652.825	653.124	B	just	239
653.568	655.352	B	okay erase it if you want .	240
658.247	658.534	A	here .	241
659.756	660.714	B	okay .	242
661.205	662.463	B	yes , wait , yes , put .	243
663.074	664.931	B	yes this is right , i think .	244
665.298	665.568	A	go	245
666.047	666.532	A	you	246
666.908	667.957	B	what do i do , here ?	247
668.246	668.473	A	yeah .	248
668.934	669.893	A	check , to check .	249
670.919	671.526	A	try it .	250
671.369	672.494	B	oh check check check okay .	251
679.543	681.221	A	when you erase you still do money .	252
682.165	682.500	A	look .	253
682.296	683.542	B	oh .	254
682.907	685.255	A	when you erase you still have been used the money .	255
684.680	687.771	B	okay so tell me where i have to go tell me the mount where .	256
687.423	687.843	A	uh	257
688.082	691.173	A	go to mount davos to mount saint gallen .	258
691.940	693.786	B	mount davos to mount zermatt ?	259
693.870	694.972	A	no , to mount	260
695.428	696.649	A	saint saint gallen .	261
697.011	698.161	B	ahh okay , okay .	262
698.568	700.138	A	and now go to mount zurich .	263
702.018	702.486	B	alright .	264
702.581	703.144	A	okay .	265
706.932	708.394	B	now you go to mount neuchatel yeah .	266
708.561	712.095	A	mount mount , no mount montreux , mount montreux .	267
709.232	710.095	B	so we have	268
712.562	713.688	B	yeah that 's what i was going to .	269
713.760	714.682	B	and then mount	270
714.084	715.060	A	and then mount zermatt .	271
715.358	716.328	B	mount zermatt okay .	272
721.168	722.761	B	no no mount davos .	273
723.022	724.520	A	no , no mount interlaken .	274
724.987	727.035	B	mount interlaken ?	275
728.140	729.026	A	go check .	276
729.206	729.673	B	check .	277
733.513	734.424	A	no !	278
737.383	737.982	B	oh yes .	279
739.000	742.426	B	oh yes , oh yes , okay okay okay okay sorry sorry sorry .	280
739.036	740.245	A	why did you connect it ?	281
744.699	745.370	A	go .	282
744.903	746.748	B	sorry sorry sorry , alright .	283
747.586	748.904	B	do i go to mount davos or not ?	284
749.084	749.395	A	nope .	285
749.575	750.677	B	i go to mount luzern ?	286
750.808	752.804	A	no mount davos to mount saint gallen .	287
754.338	755.092	A	like last time .	288
755.811	757.009	A	mount davos to	289
756.266	757.608	B	oh i have to erase something .	290
757.524	759.069	A	no , do not erase it !	291
758.686	760.399	B	well it 's not letting me , well it 's not .	292
760.725	761.959	A	okay we still used money .	293
762.977	764.642	B	okay we have to do it again just	294
765.253	768.798	A	my god we used money we 're gon na do it again .	295
765.289	765.684	B	weird .	296
771.712	772.790	B	no wait , no .	297
773.413	775.557	A	no you are just still using money .	298
774.671	778.108	B	okay we must stop this one just put check and then we can redo it .	299
777.354	779.402	A	yeah just do check and after we just restart .	300
779.390	780.995	B	just put check so we can restart .	301
783.259	783.762	B	wait what ?	302
784.151	785.588	B	oh we ca n't put check we have to .	303
787.462	788.660	B	just do , what	304
788.827	790.097	A	whatever you want yeah .	305
788.911	789.414	B	do	306
789.762	792.672	B	do whatever and then just press check so we can restart .	307
792.481	793.798	A	go to mount .	308
796.195	797.081	A	go to mount !	309
797.213	797.668	B	yeah .	310
797.333	798.543	A	yeah just check .	311
798.387	799.177	B	okay just check .	312
804.319	806.235	B	oh we did better .	313
808.332	808.871	B	thank you .	314
809.075	809.316	B	alright .	315
809.087	810.772	A	mount davos to mount saint gallen .	316
810.788	812.333	B	okay mount davos to mount okay .	317
812.992	813.854	A	mount zurich .	318
814.513	815.962	B	okay so i go to mount zurich .	319
816.549	816.969	A	yeah .	320
817.359	817.742	B	okay .	321
817.934	818.605	A	okay .	322
823.765	825.023	B	to um mount	323
823.825	825.251	A	mount montreux ?	324
825.790	826.664	B	montreux and then	325
827.048	827.802	A	mount zermatt .	326
828.138	829.228	B	mount zermatt okay .	327
829.312	831.482	B	mount davos mount zermatt .	328
832.033	832.716	A	luzern .	329
833.219	834.261	B	mount luzern .	330
835.303	836.549	A	mount interlaken .	331
836.839	837.582	B	from mount bern ?	332
838.265	839.307	B	okay press check .	333
