start	end	interlocutor	utterance	utterance_no
41.587	42.194	A	okay .	0
43.838	47.343	A	so i guess we have to connect all these with the .	1
47.774	49.958	B	um do we, how many .	2
51.957	52.982	A	oh .	3
57.510	59.302	B	so we haven't even done anything .	4
60.152	61.230	B	have you done anything ?	5
61.756	62.201	A	no .	6
63.162	67.225	B	so , how many ten circles and zero .	7
67.832	68.856	B	minuses .	8
77.274	78.056	B	i'm just gonna .	9
79.054	79.472	A	uh	10
80.065	80.402	A	uh	11
80.590	81.332	B	oh there .	12
81.143	82.410	A	oh two three .	13
82.505	84.857	B	oh that's what you've been doing this all time .	14
85.708	86.746	B	uh	15
87.072	89.525	B	what we can't block the roads , right ?	16
90.124	90.974	A	yeah i think .	17
94.117	94.967	A	um	18
95.522	96.924	B	i'm gonna try to do another one .	19
99.437	100.381	B	i don't want to .	20
101.500	102.781	B	i don't want an eraser .	21
106.536	107.501	B	i got one .	22
109.953	114.393	A	oh that's what you've been oh that's why i'm in this position .	23
115.450	116.744	B	okay can you tell me ?	24
118.227	119.898	B	so , what can i do ?	25
121.915	123.950	A	let me see the information box .	26
124.642	126.637	A	you are number two i think .	27
127.603	128.506	A	abstract .	28
128.452	129.449	B	yeah , so .	29
129.665	131.741	A	uh no no you are in interactive view .	30
131.768	132.563	B	yeah i'm in the	31
132.038	134.923	A	in this view you can interact and build tracks .	32
135.131	137.409	A	click , drag and release to build a track .	33
137.698	140.030	A	a brief press on the track will remove it .	34
144.175	145.186	B	i'm confused .	35
148.104	149.331	A	oh okay my turn .	36
152.250	153.908	B	okay so um .	37
157.218	159.402	A	oh we , oh wait oh wait .	38
159.361	160.480	B	let me see this .	39
160.901	161.400	B	we've got	40
161.899	163.611	A	oh it's your turn .	41
163.467	164.613	B	um that was quick .	42
165.439	169.119	B	oh six , you can't block the streets remember.	43
169.017	170.419	A	yeah we can't block them .	44
170.271	172.077	B	i'm blocking a school .	45
172.486	173.254	A	oh	46
173.780	175.451	A	oh good uh .	47
176.374	177.816	B	mountain basel okay .	48
178.504	180.162	A	i'm gonna	49
179.164	183.266	B	try um mount zurich from mount saint gallen .	50
183.554	184.040	A	okay .	51
184.673	189.545	A	no i think we should do this , mount bern and then go to mount saint gallen .	52
191.469	192.251	B	okay .	53
192.790	195.298	A	try to go to mount saint gallen .	54
194.543	196.592	B	oh i think we have to connect all of them .	55
196.730	197.269	A	oh .	56
197.916	199.551	B	okay i did some .	57
200.239	201.182	B	okay for me .	58
203.466	204.086	A	oh no .	59
204.656	206.112	B	i think we are doing terrible .	60
214.069	215.484	B	you are making me hesitate .	61
217.958	218.659	A	okay .	62
218.673	219.535	B	okay .	63
220.348	221.993	B	thanks , robot .	64
221.386	222.249	A	i guess .	65
224.277	225.679	B	we've been doing this right ?	66
226.649	230.653	B	i don't even think , oh , wait i'm gonna check something .	67
231.185	234.986	A	wait , oh wait , i think the check is green .	68
235.613	237.015	B	let me see something .	69
239.785	240.891	B	oh wait oh no .	70
241.052	241.457	A	what ?	71
241.767	243.506	B	i know what we have to do .	72
243.412	243.843	A	what ?	73
243.955	245.815	B	we have to do like seven .	74
246.624	248.259	A	oh wait can't do fourteen .	75
250.395	252.390	B	oh okay , then .	76
250.988	251.460	A	oh .	77
255.525	256.550	B	how you doing ?	78
257.306	258.452	A	i'm thinking .	79
259.321	259.968	B	okay .	80
259.523	261.289	A	wait uh this one is not connected .	81
262.017	263.608	A	and this one is not connected .	82
264.531	265.777	B	oh my turn yey .	83
269.134	270.644	B	what can we connect next ?	84
271.214	273.371	B	can i connect it , can i connect it .	85
272.508	272.872	A	oh .	86
278.140	279.070	B	did we do it ?	87
280.719	281.447	A	i don't know .	88
281.716	284.062	B	i'm so confused , let me see .	89
285.712	287.438	B	what , what can i do .	90
288.233	289.244	A	uh i don't know .	91
290.369	291.906	B	oh you think we are done ?	92
292.795	295.208	A	uh i don't know , i don't think so .	93
296.333	297.546	A	or maybe yes , i don't know .	94
298.076	299.707	B	i think probably yes .	95
299.928	301.680	A	so should we click the check ?	96
302.435	304.309	B	oh yes , click the check .	97
303.904	304.471	A	okay .	98
312.736	313.248	B	what ?	99
320.287	320.813	B	what	100
327.921	330.361	B	oh now we start again , basically .	101
328.932	331.884	A	oh , oh i see , compare solutions .	102
332.900	333.992	B	what can we do ?	103
334.262	335.434	A	oh okay um .	104
337.408	341.281	A	oh this is our previous solution price 64 .	105
342.187	342.781	B	so .	106
342.888	346.937	A	oh i get it we have to get the most price , but .	107
353.681	357.206	A	oh by by 40 francs so	108
358.718	360.686	A	oh so we need to get 24 .	109
362.322	363.401	B	okay .	110
365.278	366.289	B	i'm just gonna	111
365.494	366.977	A	by 40 okay .	112
367.004	369.269	B	okay , tell me if this works .	113
372.908	373.407	A	oh wait .	114
373.771	374.594	A	that's 2 .	115
375.160	375.726	B	that's uh	116
375.861	377.128	A	that's 2 francs .	117
378.385	379.343	B	i'll try this one .	118
380.924	382.892	A	wait wait wait , wait , wait , wait , wait .	119
383.275	388.223	A	try from neuchatel to mount bern that's 5 .	120
392.015	393.268	A	neuchatel to	121
393.524	394.846	B	neuchatel ?	122
395.385	398.512	A	neuchatel whatever to mount bern .	123
398.193	400.821	B	i'm trying to	124
402.592	404.735	B	oh that's to	125
404.911	405.760	A	mount bern .	126
407.951	409.056	B	how much do we have now ?	127
409.043	410.957	A	now we have um seven .	128
411.097	411.811	B	5 .	129
