start	end	interlocutor	utterance	utterance_no
40.000	41.161	A	okay , so	0
40.580	45.036	B	so we have to connect all the places with tracks , with the least amount of money wasted .	1
45.752	46.342	B	okay	2
48.027	48.897	A	okay so	3
49.136	49.894	A	i think	4
51.312	55.941	A	just go , from mount saint gallen , to mount zurich .	5
57.159	57.968	B	okay .	6
58.431	59.750	B	how do i get off this screen ?	7
69.405	70.078	B	oh	8
74.081	75.612	B	okay , so i have to tell him .	9
76.686	77.360	A	yeah tell me .	10
77.767	78.399	B	um	11
78.581	82.365	A	i think uh just , from mount zurich to saint gallen .	12
83.362	84.457	B	i can't see anything .	13
84.970	85.587	A	what ?	14
85.812	87.076	B	let me just check .	15
89.325	91.627	A	i think we go to mount zurich to saint gallen .	16
93.448	94.178	A	and then	17
94.711	95.975	A	from uh	18
97.632	99.303	A	mount zurich to mount bern .	19
101.085	102.447	B	uh now i'm on this screen .	20
102.723	107.721	A	yeah , and then you you build , uh mount bern to mount basel .	21
103.312	103.832	B	oh	22
108.042	110.045	B	okay mount , bern	23
110.494	111.196	A	to basel .	24
112.352	113.686	B	how much how much did that cost ?	25
113.812	114.135	A	3 .	26
114.571	115.048	B	3 ?	27
114.866	119.003	A	and then uh go from uh mount bern to luzern .	28
121.020	121.750	B	to what ?	29
121.834	122.663	A	luzern .	30
122.873	123.168	B	that	31
126.517	127.710	B	mount basel	32
129.577	130.349	A	mount basel	33
129.815	132.132	B	to uh mount luzern mount bern to	34
131.486	133.185	A	mount bern to luzern	35
132.368	132.789	B	yeah	36
133.155	134.053	B	i did that okay .	37
133.778	135.078	A	yeah , then my turn .	38
135.200	135.761	B	yeah .	39
137.222	138.373	B	okay , so	40
138.950	139.455	A	this	41
140.157	142.320	A	i'll build mount luzern to zermatt .	42
145.307	146.626	A	okay and saint gallen	43
147.144	148.323	A	to mount davos or	44
148.756	151.690	A	or luzern to mount davos	45
148.826	150.469	B	i think i think we should go um	46
151.217	154.095	B	mount basel to mount neuchatel .	47
154.393	154.955	A	basel ?	48
155.236	156.750	B	mount basel to neuchatel .	49
157.447	159.188	B	because i think that cheapest one is it .	50
158.739	159.329	A	okay .	51
160.014	160.871	B	okay .	52
161.582	164.123	B	and then , i think we should go mount neuchatel	53
168.332	169.497	B	no but i think just go .	54
170.185	171.477	B	which is more expensive ?	55
172.287	172.947	A	i don't know .	56
172.525	174.112	B	i think they are both the same .	57
174.936	178.438	B	yeah go bern to mount interlaken and then mount interlaken to mount montreux .	58
179.279	180.107	A	montreux	59
180.346	181.273	B	oh 4 4	60
181.315	182.382	A	yeah i know it's a 4	61
