Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	6	okay i 'm gon na do	383	379	1	B	5, 383
5	5	5	it 's your turn .	150	200	1	A	133, 150, 207, 307, 332
4	2	5	i 'm gon na do	118	397	1	B	5, 118, 383, 401
4	4	5	i do n't know .	125	402	1	A	72, 125, 424, 473
3	3	5	do n't know how to	621	501	2	A	121, 221, 621
3	3	5	mount bern to mount interlaken	455	296	2	A	160, 241, 455
3	3	5	mount bern to mount luzern	326	74	1	B	254, 326, 327
3	3	5	mount gallen to mount davos	450	305	1	A	203, 450, 507
3	3	5	mount neuchatel to mount basel	507	213	2	A	295, 417, 507
2	2	5	, i do n't know	473	353	1	A	121, 473
2	2	5	gallen to mount davos .	507	312	1	A	196, 507
2	2	5	i 'm going to do	461	2	1	B	460, 461
2	2	5	mount zermatt to mount luzern	457	3	1	B	455, 457
2	2	5	waiting for your friend .	619	44	1	A	576, 619
9	5	4	i 'm gon na	101	509	1	B	5, 101, 118, 137, 138, 383, 401, 473, 513
9	4	4	i do n't know	155	544	2	A	72, 121, 125, 155, 221, 424, 473, 522, 615
8	2	4	mount bern to mount	160	299	1	B	157, 160, 241, 254, 326, 327, 402, 455
7	7	4	mount zurich to mount	186	390	1	A	118, 186, 201, 329, 394, 450, 507
5	3	4	to mount davos .	507	434	3	A	118, 130, 196, 507, 551
4	1	4	do n't know how	621	501	3	A	121, 221, 522, 621
4	4	4	mount basel to mount	328	268	1	A	240, 328, 450, 507
4	4	4	mount davos to mount	210	259	1	A	175, 210, 348, 433
4	2	4	mount zermatt to mount	455	239	2	A	219, 387, 455, 457
4	1	4	neuchatel to mount basel	450	213	2	A	295, 417, 450, 507
4	4	4	to mount bern .	313	331	1	A	240, 313, 475, 570
4	4	4	to mount gallen .	201	352	1	A	180, 201, 348, 531
4	4	4	to mount luzern .	327	223	2	B	107, 153, 327, 329
3	1	4	i 'm going to	461	149	2	B	313, 460, 461
3	3	4	i go to mount	567	278	2	A	290, 348, 567
3	3	4	set , go .	275	301	1	A	274, 275, 574
2	2	4	, mount zermatt to	455	355	1	A	101, 455
2	2	4	go to mount bern	570	257	1	A	314, 570
2	2	4	i 'm doing mount	304	95	1	B	210, 304
2	2	4	i ca n't .	195	34	1	A	162, 195
2	2	4	i ca n't go	230	182	1	B	49, 230
2	2	4	i think we are	618	598	1	B	21, 618
2	2	4	now i get it	311	248	1	B	64, 311
2	2	4	so i 'm doing	595	292	1	A	304, 595
2	2	4	to mount bern ?	567	174	1	A	394, 567
2	2	4	we have to spend	545	173	1	A	373, 545
2	2	4	which one should we	282	281	1	B	2, 282
13	4	3	i do n't	137	544	2	A	72, 121, 125, 137, 155, 158, 221, 358, 360, 424, 473, 522, 615
11	3	3	to mount luzern	326	351	4	B	107, 153, 254, 259, 326, 327, 329, 394, 434, 455, 457
10	5	3	go to mount	523	281	3	A	290, 314, 348, 523, 524, 551, 552, 563, 567, 570
10	5	3	your turn .	223	206	1	A	133, 150, 207, 223, 247, 249, 307, 324, 332, 338
9	5	3	i ca n't	162	480	3	B	49, 82, 142, 162, 170, 195, 199, 230, 528
9	5	3	mount bern .	240	433	2	B	138, 152, 240, 258, 293, 313, 475, 565, 570
