Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	7	s t gallen and i think we	268	32	1	B	237, 268
3	3	5	mount basel to mount zurich	404	311	1	A	117, 404, 427
2	2	5	, s t gallen .	371	195	1	A	177, 371
2	2	5	i 'm gon na try	117	5	1	B	113, 117
2	2	5	mount neuchatel to mount interlaken	311	2	1	A	310, 311
5	3	4	i 'm gon na	320	260	1	B	113, 117, 320, 364, 372
5	3	4	s t gallen .	177	330	2	B	42, 73, 177, 321, 371
5	5	4	to mount zurich .	218	311	1	A	117, 218, 372, 414, 427
4	1	4	mount basel to mount	189	311	1	A	117, 189, 404, 427
4	4	4	to mount davos .	209	383	1	A	18, 209, 266, 400
3	1	4	s t gallen and	268	200	2	B	69, 237, 268
2	2	4	, mount luzern to	245	28	1	B	218, 245
2	2	4	, no , we	427	51	1	B	377, 427
2	2	4	click and drag to	29	2	1	A	28, 29
2	2	4	gallen to mount davos	275	267	1	A	9, 275
2	2	4	let 's go to	310	32	1	B	279, 310
2	2	4	maybe to mount basel	277	92	1	B	186, 277
2	2	4	mount zurich to mount	73	6	1	A	68, 73
2	2	4	yeah , and then	236	8	1	B	229, 236
12	4	3	s t gallen	177	330	4	B	42, 69, 73, 132, 177, 179, 237, 268, 269, 275, 321, 371
9	3	3	to mount davos	160	392	2	A	9, 18, 160, 209, 265, 266, 275, 320, 400
7	7	3	go to mount	315	256	2	A	117, 310, 315, 319, 320, 335, 372
7	7	3	let 's try	411	270	6	B	142, 148, 174, 270, 275, 406, 411
7	7	3	mount s t	42	306	1	A	16, 42, 69, 73, 179, 275, 321
7	1	3	to mount zurich	275	311	1	A	117, 218, 275, 372, 404, 414, 427
6	4	3	mount luzern to	245	135	4	B	112, 197, 218, 222, 245, 246
6	6	3	mount zermatt to	201	312	1	B	106, 201, 204, 206, 266, 417
6	1	3	mount zurich .	218	311	2	A	117, 122, 218, 372, 414, 427
6	4	3	to mount basel	186	238	2	A	117, 156, 186, 277, 327, 354
6	6	3	to mount bern	184	244	1	B	112, 184, 194, 224, 325, 355
5	1	3	basel to mount	120	311	1	A	117, 120, 189, 404, 427
5	3	3	let 's go	310	180	2	B	218, 279, 310, 311, 397
5	3	3	maybe to mount	186	113	2	A	165, 184, 186, 194, 277
5	1	3	mount basel to	229	311	1	A	117, 189, 229, 404, 427
5	1	3	mount davos .	296	383	1	A	18, 209, 266, 296, 400
5	5	3	to mount luzern	199	191	1	B	145, 199, 206, 319, 335
5	5	3	to mount zermatt	261	97	1	A	201, 261, 280, 281, 297
4	4	3	mount bern .	325	165	2	A	194, 224, 325, 358
4	4	3	to mount neuchatel	288	191	2	B	120, 189, 288, 310
3	1	3	, and then	328	100	1	B	229, 236, 328
3	1	3	, mount luzern	319	102	1	B	218, 245, 319
3	2	3	gallen to mount	179	267	1	A	9, 179, 275
3	1	3	i think we	237	130	1	A	139, 237, 268
3	3	3	mount luzern .	242	44	2	A	199, 204, 242
3	3	3	mount zermatt .	261	53	1	A	245, 261, 297
3	1	3	neuchatel to mount	413	104	1	A	310, 311, 413
3	1	3	to mount interlaken	346	37	1	A	310, 311, 346
3	1	3	zurich to mount	400	333	1	A	68, 73, 400
2	2	3	, neuchatel .	286	58	1	B	229, 286
