Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	7	oh that 's what you 've been	23	10	1	B	14, 23
2	2	6	mount basel to mount bern .	198	2	1	B	197, 198
3	3	5	, zurich to luzern .	421	237	1	B	224, 421, 460
2	2	5	give me a 2 .	417	22	1	A	396, 417
2	2	5	that 's 2 francs .	228	112	1	A	117, 228
2	2	5	we 've got a check	492	2	1	A	491, 492
2	2	5	we have to connect all	55	55	1	A	1, 55
2	2	5	we have to get to	273	121	1	A	153, 273
5	2	4	zurich to luzern .	428	237	1	B	224, 421, 428, 436, 460
4	4	4	neuchatel to montreux .	419	111	3	A	309, 312, 418, 419
3	3	4	i 'm gon na	49	49	1	B	19, 49, 67
3	3	4	interlaken to zermatt .	400	5	1	B	399, 400, 403
3	3	4	mount saint gallen .	52	5	1	B	50, 52, 54
3	1	4	to mount bern .	197	76	1	A	123, 197, 198
3	1	4	we have to get	273	167	2	A	107, 153, 273
2	2	4	5 and a 4	329	2	1	B	328, 329
2	2	4	luzern to zermatt .	233	2	1	B	232, 233
2	2	4	need a 2 .	341	161	1	B	181, 341
2	2	4	okay my turn .	415	380	1	A	36, 415
2	2	4	to saint gallen .	253	42	1	B	212, 253
2	2	4	wait , what ?	447	205	1	B	243, 447
2	2	4	we ca n't block	44	29	1	B	16, 44
2	2	4	we submit it ?	493	105	1	B	389, 493
2	2	4	zurich to bern .	481	2	1	B	480, 481
11	11	3	i do n't	88	402	3	B	20, 21, 67, 88, 91, 93, 94, 164, 305, 420, 421
9	4	3	to luzern .	421	237	4	B	224, 226, 346, 349, 421, 423, 428, 436, 460
8	8	3	how much is	167	205	2	A	144, 151, 167, 227, 257, 289, 326, 348
8	3	3	saint gallen .	207	426	1	B	50, 52, 54, 207, 212, 249, 253, 475
8	3	3	we have to	72	317	1	A	1, 55, 72, 74, 107, 153, 273, 317
6	4	3	that 's 2	186	290	2	A	115, 117, 186, 228, 402, 404
6	6	3	to davos .	335	306	3	A	162, 205, 209, 335, 336, 467
6	2	3	to montreux .	411	118	3	A	302, 309, 312, 411, 418, 419
6	4	3	we ca n't	210	444	1	B	16, 44, 210, 306, 308, 459
5	5	3	ca n't do	210	357	1	A	75, 210, 306, 426, 431
5	5	3	i think we	55	309	1	A	52, 55, 60, 266, 360
5	5	3	let me see	39	154	1	A	26, 39, 69, 89, 179
5	3	3	we 've got	491	453	3	B	40, 470, 485, 491, 492
4	4	3	and then we	351	154	1	B	317, 351, 373, 470
4	1	3	mount bern .	197	76	2	A	123, 126, 197, 198
4	3	3	oh that 's	23	354	1	B	14, 23, 125, 367
4	2	3	to get to	323	188	1	A	153, 273, 323, 340
4	1	3	to mount bern	197	79	2	A	120, 123, 197, 198
4	4	3	zermatt to davos	260	213	1	A	257, 260, 467, 469
3	3	3	another 2 .	454	18	1	A	453, 454, 470
3	1	3	ca n't block	44	29	2	B	16, 43, 44
3	3	3	click the check	97	168	1	A	96, 97, 263
3	3	3	did it .	457	323	2	B	135, 359, 457
3	1	3	mount basel to	314	118	1	B	197, 198, 314
3	1	3	my turn .	201	380	1	A	36, 201, 415
3	3	3	oh no .	70	297	1	A	59, 70, 355
3	1	3	that 's what	213	200	1	B	14, 23, 213
3	1	3	to bern .	481	187	2	B	295, 480, 481
3	1	3	to saint gallen	249	42	1	B	212, 249, 253
3	3	3	we go .	147	331	1	B	139, 147, 469
3	3	3	what we have	171	394	1	B	72, 171, 465
2	2	3	's 3 .	260	19	1	A	242, 260
2	2	3	2 , now	453	268	1	B	186, 453
2	2	3	another 3 .	479	2	1	A	478, 479
2	2	3	another one .	231	213	1	B	19, 231
2	2	3	i 'm in	31	9	1	A	23, 31
2	2	3	i do .	130	41	1	B	90, 130
2	2	3	now we have	186	59	1	A	128, 186
2	2	3	oh it 's	201	161	1	A	41, 201
2	2	3	oh there .	291	280	1	B	12, 291
2	2	3	oh wait oh	70	33	1	A	38, 70
2	2	3	to do .	373	302	1	B	72, 373
30	30	2	okay .	48	487	1	A	0, 48, 51, 53, 62, 63, 80, 98, 110, 112, 142, 158, 189, 218, 230, 262, 265, 274, 279, 287, 329, 372, 374, 416, 451, 462, 463, 468, 471, 486
22	10	2	we have	4	477	1	A	1, 4, 55, 72, 74, 107, 127, 128, 153, 154, 157, 170, 171, 186, 273, 278, 287, 317, 319, 323, 465, 477
17	6	2	that 's	116	391	1	B	14, 23, 115, 116, 117, 120, 125, 137, 186, 200, 213, 228, 242, 339, 367, 402, 404
16	9	2	how much	144	364	1	B	127, 144, 151, 167, 227, 257, 272, 275, 278, 289, 296, 319, 326, 337, 348, 490
14	1	2	i do	88	402	4	B	20, 21, 25, 67, 88, 90, 91, 93, 94, 130, 164, 305, 420, 421
13	2	2	do n't	154	448	3	B	20, 21, 67, 88, 91, 93, 94, 154, 164, 305, 420, 421, 467
13	8	2	i 'm	23	305	2	B	9, 19, 23, 31, 35, 45, 49, 67, 79, 89, 111, 124, 313
13	13	2	oh .	193	448	5	A	3, 56, 77, 86, 185, 193, 385, 388, 394, 406, 438, 449, 450
12	3	2	luzern .	421	237	6	B	224, 226, 241, 264, 346, 349, 421, 423, 426, 428, 436, 460
12	5	2	zurich to	248	258	1	B	224, 248, 252, 336, 421, 428, 436, 460, 473, 474, 480, 481
11	7	2	and then	317	431	4	A	52, 215, 231, 246, 317, 351, 373, 410, 457, 470, 482
11	1	2	ca n't	433	444	2	B	16, 43, 44, 75, 210, 306, 308, 426, 431, 433, 459
11	6	2	i think	55	371	3	A	17, 27, 52, 55, 60, 68, 95, 137, 266, 360, 387
11	11	2	we need	272	260	2	A	109, 173, 272, 279, 323, 327, 339, 343, 351, 360, 368
10	2	2	gallen .	206	426	1	B	50, 52, 54, 206, 207, 212, 249, 253, 473, 475
9	1	2	have to	269	317	1	A	1, 55, 72, 74, 107, 153, 269, 273, 317
9	3	2	montreux .	411	118	4	A	302, 304, 309, 312, 411, 412, 413, 418, 419
9	2	2	saint gallen	208	426	1	B	50, 52, 54, 207, 208, 212, 249, 253, 475
9	5	2	to mount	182	384	4	A	52, 54, 120, 123, 182, 184, 197, 198, 435
9	7	2	what ?	99	377	2	A	71, 73, 99, 183, 243, 358, 381, 440, 447
8	5	2	go .	199	346	1	B	139, 147, 199, 280, 353, 442, 469, 484
8	6	2	it 's	145	394	1	A	41, 145, 201, 202, 241, 260, 382, 434
8	5	2	it .	85	425	1	A	34, 85, 135, 259, 359, 431, 457, 458
8	3	2	let me	160	416	1	A	26, 39, 69, 89, 160, 179, 280, 441
8	8	2	oh okay	76	428	1	A	36, 76, 104, 214, 274, 279, 416, 463
