Freq.	Size	Surface Form	Spanning	First Speaker	Turns
3	7	i 'm gon na go from mount	116	A	56, 122, 171
2	7	go from mount bern to mount basel	205	A	56, 260
2	7	maybe go from mount zermatt to mount	2	A	186, 187
2	6	go from mount davos to mount	62	A	61, 122
2	6	how do we get to mount	58	A	222, 279
2	6	mount basel to mount interlaken .	7	A	89, 95
2	6	so do n't do that .	109	A	138, 246
2	6	to mount interlaken because that costs	55	A	26, 80
5	5	how much is that ?	146	A	135, 145, 158, 171, 280
5	5	i 'm gon na go	116	A	56, 89, 122, 160, 171
3	5	do n't do that .	138	A	138, 246, 275
3	5	mount basel to mount interlaken	70	A	26, 89, 95
3	5	mount bern to mount basel	205	A	56, 253, 260
3	5	mount zermatt to mount davos	18	A	195, 205, 212
3	5	see how much that is	111	A	152, 215, 262
3	5	yeah that 's better .	90	A	58, 91, 147
2	5	, i 'm gon na	6	A	166, 171
2	5	, it 's better .	122	A	55, 176
2	5	do you wanna do that	40	A	256, 295
2	5	how much is that ,	8	A	219, 226
2	5	i 'll go to mount	157	A	70, 226
2	5	i 'm gon na erase	43	A	166, 208
2	5	i 'm gon na try	123	A	157, 279
2	5	maybe that 's better .	189	A	51, 239
2	5	mount luzern to mount zermatt	155	A	63, 217
10	4	i 'm gon na	224	A	56, 89, 111, 122, 157, 160, 166, 171, 208, 279
8	4	how much is that	146	A	135, 145, 158, 171, 197, 219, 226, 280
7	4	mount zermatt to mount	83	A	186, 187, 193, 195, 205, 212, 268
7	4	that 's better .	189	A	51, 58, 62, 91, 101, 147, 239
5	4	mount bern to mount	205	A	56, 157, 238, 253, 260
4	4	do n't do that	138	A	138, 160, 246, 275
4	4	gon na go from	116	A	56, 57, 122, 171
4	4	n't do that .	186	A	90, 138, 246, 275
4	4	to mount interlaken .	75	A	89, 95, 154, 163
3	4	go from mount bern	211	A	50, 56, 260
3	4	i think that 's	193	A	101, 245, 293
3	4	it 's better .	176	A	55, 176, 230
3	4	maybe that 's better	189	A	51, 100, 239
3	4	mount luzern to mount	164	A	63, 217, 226
3	4	to mount davos .	158	A	57, 195, 214
3	4	to mount zermatt .	176	A	63, 122, 238
2	4	i think we should	81	A	180, 260
2	4	luzern to mount zurich	99	A	128, 226
2	4	montreux to mount interlaken	84	A	80, 163
2	4	mount montreux to mount	92	A	80, 171
2	4	mount zurich to mount	5	A	135, 139
2	4	oh you ca n't	78	A	90, 167
2	4	should go from mount	200	A	61, 260
2	4	that 's 3 .	195	A	22, 216
2	4	that 's 4 though	31	A	245, 275
2	4	that , that 's	178	A	49, 226
2	4	then go to mount	224	A	43, 266
2	4	to go from mount	36	A	26, 61
2	4	to mount basel ,	88	A	89, 176
2	4	to mount luzern ,	155	A	61, 215
2	4	to mount zermatt ?	119	A	99, 217
2	4	to mount zurich .	144	A	43, 186
2	4	why do n't you	178	A	36, 213
2	4	yeah , and then	173	A	43, 215
10	3	go from mount	235	A	26, 50, 56, 61, 122, 171, 173, 186, 187, 260
10	3	how much is	146	A	135, 145, 158, 171, 197, 217, 219, 226, 252, 280
9	3	that 's better	191	A	49, 51, 58, 62, 91, 100, 101, 147, 239
8	3	to mount zermatt	206	A	63, 99, 122, 130, 217, 222, 238, 268
7	3	do that .	203	A	90, 138, 153, 221, 246, 275, 292
7	3	go to mount	228	A	41, 43, 65, 70, 226, 266, 268
7	3	to mount basel	220	A	41, 56, 89, 135, 176, 253, 260
7	3	to mount davos	159	A	57, 119, 195, 205, 212, 214, 215
7	3	to mount interlaken	254	A	26, 80, 89, 95, 154, 163, 279
6	3	mount bern to	227	A	56, 157, 238, 253, 260, 282
5	3	mount interlaken .	75	A	89, 95, 154, 157, 163
5	3	to mount zurich	184	A	43, 51, 128, 186, 226
