Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	7	, i think we should go mount	35	B	53, 87
2	7	all the way around the edge .	4	B	150, 153
2	6	i have to go to neuchatel	2	B	114, 115
6	5	how much is that ?	140	B	179, 209, 278, 281, 316, 318
4	5	i think we should go	42	B	46, 53, 86, 87
3	5	i have to go to	40	B	76, 114, 115
2	5	i have an idea .	132	B	146, 277
2	5	i think we should do	64	B	133, 196
2	5	mount basel to neuchatel .	68	B	49, 116
2	5	should go mount bern to	13	B	87, 99
2	5	so i think we should	60	B	133, 192
2	5	then bern to interlaken .	193	B	118, 310
2	5	waiting for your friend .	10	B	69, 78
7	4	how much is that	140	B	179, 209, 240, 278, 281, 316, 318
6	4	that 's 4 .	219	B	104, 106, 259, 261, 267, 322
3	4	bern to interlaken .	203	B	118, 310, 320
3	4	go like that .	106	B	122, 225, 227
3	4	i have an idea	132	B	146, 148, 277
3	4	that 's 2 .	75	B	171, 198, 245
2	4	go to neuchatel .	90	B	114, 203
2	4	i 'm gon na	19	B	140, 158
2	4	i ca n't go	114	B	112, 225
2	4	luzern to interlaken .	3	B	312, 314
2	4	mount basel to mount	108	B	47, 154
2	4	much that 's 4	7	B	259, 265
2	4	rub it out .	105	B	219, 323
2	4	so we have to	122	B	1, 122
2	4	then rub that out	16	B	202, 217
2	4	to mount bern .	12	B	217, 228
9	3	how much is	140	B	179, 209, 225, 230, 240, 278, 281, 316, 318
7	3	i think we	151	B	46, 53, 86, 87, 133, 192, 196
6	3	to interlaken .	203	B	118, 211, 310, 312, 314, 320
5	3	like that .	117	B	122, 177, 225, 227, 238
5	3	that 's 2	75	B	171, 185, 198, 205, 245
4	3	's 2 .	124	B	171, 198, 245, 294
4	3	go like that	167	B	122, 225, 227, 288
4	3	have to go	47	B	76, 114, 115, 122
4	3	i have to	107	B	9, 76, 114, 115
4	3	rub it out	105	B	219, 274, 320, 323
3	3	and then go	148	B	161, 217, 308
3	3	i ca n't	213	B	13, 112, 225
3	3	mount bern to	66	B	34, 87, 99
3	3	rub that out	51	B	167, 202, 217
3	3	so i think	127	B	66, 133, 192
3	3	then go to	106	B	203, 228, 308
2	3	, interlaken to	26	B	192, 217
