Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	8	go from mount zermatt to mount davos .	227	A	13, 239
3	7	from mount zermatt to mount davos .	227	A	13, 45, 239
2	7	ca n't go from mount zurich to	112	A	225, 336
2	7	davos to mount s t gallen .	77	A	76, 152
2	7	go from mount luzern to mount s	35	A	182, 216
2	7	let 's go from mount bern to	98	A	191, 288
2	7	mount s t gallen to mount zurich	268	A	77, 344
3	6	go from mount luzern to mount	102	A	115, 182, 216
3	6	let 's go from mount bern	113	A	176, 191, 288
2	6	do mount zurich to mount basel	148	A	184, 331
2	6	go from mount zurich to mount	147	A	79, 225
2	6	this one will cost a lot	9	A	165, 173
2	6	to mount s t gallen ,	167	A	178, 344
2	6	wait can we delete our tracks	6	A	143, 148
2	6	whatever you do do n't do	42	A	290, 331
7	5	let 's go from mount	235	A	75, 141, 176, 191, 228, 288, 309
5	5	mount s t gallen .	136	A	63, 76, 113, 152, 198
5	5	to mount s t gallen	269	A	76, 152, 178, 182, 344
4	5	from mount zermatt to mount	228	A	13, 45, 239, 240
4	5	go from mount zurich to	258	A	79, 113, 225, 336
4	5	mount zermatt to mount davos	227	A	13, 45, 151, 239
4	5	mount zurich to mount basel	148	A	184, 225, 311, 331
3	5	can we delete our tracks	45	A	143, 148, 187
3	5	from mount zurich to mount	147	A	79, 158, 225
3	5	mount bern to mount basel	87	A	117, 160, 203
3	5	mount luzern to mount bern	107	A	115, 146, 221
3	5	whatever you do do n't	77	A	255, 290, 331
2	5	from mount bern to mount	129	A	160, 288
2	5	get rid of the eraser	3	A	272, 274
2	5	i 'll go from mount	34	A	82, 115
2	5	mount davos to mount zermatt	4	A	101, 104
2	5	oh we ca n't go	17	A	162, 178
2	5	then to mount zermatt .	191	A	86, 276
2	5	this is actually quite hard	36	A	307, 342
2	5	to mount zurich , and	286	A	59, 344
2	5	we ca n't go from	155	A	182, 336
10	4	mount s t gallen	282	A	63, 76, 77, 113, 152, 178, 182, 198, 329, 344
8	4	mount zurich to mount	266	A	79, 158, 184, 194, 225, 311, 331, 344
7	4	mount luzern to mount	152	A	115, 146, 182, 216, 221, 224, 266
7	4	mount zermatt to mount	302	A	13, 45, 141, 151, 239, 240, 314
6	4	s t gallen .	164	A	63, 76, 113, 152, 198, 226
4	4	go from mount bern	209	A	80, 176, 191, 288
4	4	i 'll go from	167	A	57, 82, 115, 223
4	4	it 's 3 francs	133	A	148, 181, 233, 280
4	4	to mount davos .	227	A	13, 45, 218, 239
3	4	go from mount zermatt	227	A	13, 141, 239
3	4	mount basel to mount	96	A	160, 233, 255
3	4	mount davos to mount	52	A	101, 104, 152
3	4	mount interlaken to mount	219	A	97, 192, 315
3	4	to mount basel .	252	A	80, 117, 331
3	4	to mount interlaken .	38	A	300, 314, 337
3	4	two , one .	110	A	210, 244, 319
3	4	two one go .	238	A	68, 173, 305
2	4	's so expensive .	23	A	290, 312
2	4	, let 's go	18	A	174, 191
2	4	come on come on	85	A	260, 344
2	4	come on let 's	165	A	36, 200
2	4	do n't connect mount	57	A	255, 311
2	4	from mount basel to	4	A	160, 163
2	4	i ca n't go	44	A	225, 268
2	4	let 's see .	73	A	179, 251
2	4	neuchatel to mount interlaken	218	A	83, 300
2	4	okay , let 's	142	A	33, 174
2	4	start from mount zermatt	130	A	45, 174
2	4	that 's the only	28	A	284, 311
2	4	to mount basel and	25	A	160, 184
2	4	to mount bern because	141	A	175, 315
2	4	to mount montreux .	3	A	122, 124
2	4	to mount zurich .	148	A	77, 224
2	4	wait wait wait ,	37	A	204, 240
2	4	we can go now	17	A	303, 319
2	4	we need to collect	66	A	18, 83
20	3	go from mount	324	A	13, 75, 79, 80, 82, 83, 113, 115, 141, 176, 182, 191, 216, 225, 228, 239, 288, 300, 309, 336
9	3	mount luzern to	167	A	115, 146, 182, 216, 221, 224, 266, 267, 281
7	3	from mount zermatt	228	A	13, 45, 141, 150, 174, 239, 240
7	3	to mount davos	254	A	13, 45, 150, 151, 218, 239, 266
6	3	from mount zurich	278	A	59, 79, 113, 158, 225, 336
6	3	to mount interlaken	255	A	83, 161, 166, 300, 314, 337
6	3	to mount zermatt	191	A	86, 87, 101, 104, 141, 276
5	3	mount basel .	269	A	80, 117, 186, 331, 348
5	3	mount davos .	272	A	13, 45, 218, 239, 284
5	3	start from mount	300	A	45, 174, 175, 337, 344
5	3	to mount zurich	286	A	59, 77, 224, 255, 344
4	3	from mount luzern	102	A	115, 175, 182, 216
4	3	it 's 3	133	A	148, 181, 233, 280
4	3	let 's see	102	A	150, 179, 207, 251
4	3	two , one	144	A	210, 244, 319, 353
3	3	, and then	176	A	59, 122, 234
3	3	, okay .	43	A	222, 247, 264
3	3	and from mount	84	A	77, 158, 160
3	3	and then mount	157	A	192, 197, 348
3	3	because that 's	88	A	225, 284, 312
3	3	do n't connect	75	A	237, 255, 311
3	3	go to mount	117	A	59, 80, 175
3	3	i ca n't	50	A	225, 268, 274
3	3	let 's do	111	A	200, 298, 310
3	3	mount zermatt .	191	A	86, 174, 276
3	3	mount zurich .	148	A	77, 178, 224
3	3	then to mount	191	A	86, 122, 276
3	3	three two one	84	A	90, 125, 173
3	3	to mount montreux	46	A	122, 124, 167
3	3	to mount um	151	A	79, 172, 229
3	3	try a new	162	A	174, 191, 335
3	3	wait can we	192	A	143, 148, 334
3	3	we need to	331	A	18, 83, 348
3	3	why are we	294	A	30, 322, 323
2	3	's actually quite	8	A	333, 340
2	3	, and now	154	A	80, 233
2	3	, i do	39	A	234, 272
2	3	, okay ,	67	A	174, 240
2	3	, to mount	204	A	141, 344
2	3	, we have	95	A	191, 285
2	3	a lot .	91	A	165, 255
2	3	all of them	317	A	18, 334
2	3	and now mount	88	A	146, 233
2	3	are you ready	152	A	90, 241
2	3	can do this	12	A	249, 260
2	3	do that .	115	A	120, 234
2	3	do this .	61	A	200, 260
2	3	for now .	77	A	258, 334
2	3	from mount davos	61	A	284, 344
2	3	from mount montreux	40	A	298, 337
2	3	go from um	139	A	83, 221
2	3	i 'm just	70	A	258, 327
2	3	if it is	73	A	150, 222
2	3	let 's just	2	A	42, 43
2	3	let 's now	79	A	97, 175
2	3	let 's try	119	A	191, 309
2	3	mount davos and	66	A	201, 266
2	3	mount montreux to	241	A	97, 337
2	3	no let 's	132	A	97, 228
2	3	okay and now	152	A	114, 265
2	3	okay are you	152	A	90, 241
2	3	okay let 's	41	A	151, 191
2	3	okay we 're	286	A	68, 353
2	3	pretty sure this	59	A	107, 165
2	3	really hard .	30	A	325, 354
2	3	then from mount	105	A	59, 163
2	3	then go from	40	A	182, 221
2	3	this is really	30	A	325, 354
2	3	this time .	96	A	215, 310
2	3	three , two	15	A	305, 319
2	3	to mount luzern	204	A	141, 344
2	3	to mount neuchatel	42	A	192, 233
2	3	to s t	114	A	113, 226
2	3	um mount luzern	50	A	172, 221
2	3	wait i 'll	101	A	237, 337
2	3	wait wait wait	37	A	204, 240
2	3	we have to	94	A	191, 284
56	2	to mount	342	A	3, 13, 45, 59, 76, 77, 79, 80, 83, 86, 87, 97, 101, 104, 115, 117, 122, 124, 141, 146, 150, 151, 152, 158, 160, 161, 166, 167, 172, 175, 178, 182, 184, 192, 194, 203, 216, 218, 221, 224, 225, 229, 233, 239, 240, 255, 266, 276, 288, 300, 311, 314, 315, 331, 337, 344
31	2	okay .	311	A	7, 9, 10, 19, 20, 26, 28, 50, 55, 62, 67, 74, 81, 84, 100, 105, 110, 130, 132, 139, 199, 213, 222, 247, 254, 262, 264, 296, 301, 313, 317
26	2	go from	329	A	13, 57, 75, 79, 80, 82, 83, 113, 115, 116, 141, 176, 182, 191, 216, 221, 223, 225, 228, 239, 288, 300, 309, 336, 337, 341
23	2	let 's	278	A	33, 36, 42, 43, 45, 75, 97, 141, 150, 151, 174, 175, 176, 179, 191, 200, 207, 228, 251, 288, 298, 309, 310
16	2	mount zurich	286	A	59, 77, 79, 113, 158, 178, 184, 194, 197, 224, 225, 255, 311, 331, 336, 344
15	2	and then	290	A	59, 122, 123, 160, 176, 192, 197, 221, 234, 235, 239, 266, 299, 339, 348
14	2	mount basel	269	A	80, 117, 160, 163, 184, 186, 190, 203, 225, 233, 255, 311, 331, 348
14	2	mount davos	332	A	13, 45, 101, 102, 104, 150, 151, 152, 201, 218, 239, 266, 284, 344
14	2	mount luzern	230	A	115, 141, 146, 172, 175, 182, 216, 221, 224, 230, 266, 267, 281, 344
13	2	mount bern	269	A	80, 115, 117, 146, 160, 175, 176, 191, 203, 221, 288, 315, 348
11	2	zurich to	266	A	79, 113, 158, 184, 194, 225, 290, 311, 331, 336, 344
10	2	and now	278	A	15, 80, 88, 114, 146, 205, 223, 233, 265, 292
10	2	mount interlaken	255	A	83, 97, 161, 166, 191, 192, 300, 314, 315, 337
9	2	i 'll	309	A	29, 57, 82, 115, 223, 226, 237, 335, 337
8	2	, and	286	A	59, 80, 82, 122, 233, 234, 239, 344
8	2	ca n't	175	A	162, 178, 182, 225, 268, 274, 311, 336
8	2	go .	313	A	41, 61, 68, 162, 173, 211, 305, 353
7	2	, okay	197	A	68, 174, 191, 222, 240, 247, 264
