team_no,attempt_no,turn_no,start,end,subject,verb,object
10,1,1,0.204,0.204,R,shows,observe gesture
10,1,1,0.334,0.334,R,says,"so, ann and bob, let's start building the tracks. i count on you guys. are you ready? also, you need to play this game together, as both of you will see different views at all times. you can talk now to help each other. to see my instructions again, check the information icon on your screens. time to play. let's go!"
10,1,1,53.525,53.525,R,shows,thinking gesture
10,1,1,53.544,53.544,R,says,"hmm, i see."
10,1,1,56.192,56.192,A,adds,Zermatt-Davos (4-9)
10,1,1,63.857,66.613,I,says,so now you guys can talk
10,1,1,65.774,66.433,B,says,okay .
10,1,1,65.954,66.463,A,says,okay .
10,1,1,66.493,67.002,B,says,ann .
10,1,1,67.332,68.021,A,says,yeah .
10,1,1,68.620,69.548,B,says,um
10,1,1,71.735,74.821,B,says,"tracks , where do they go ."
10,1,1,78.011,78.820,B,says,mount
10,1,1,80.048,81.786,A,says,maybe we should do mount
10,1,1,82.274,83.038,B,says,zermatt ?
10,1,1,83.382,86.168,A,says,gallen to mount davos ?
10,1,1,85.854,86.752,B,says,which one ?
10,1,1,87.202,87.771,A,says,the
10,1,1,89.269,90.182,B,says,say again ?
10,1,1,89.434,90.587,A,says,mount
10,1,1,91.197,91.886,A,says,gallen
10,1,1,92.680,94.282,B,says,okay well i'm trying to find it .
10,1,1,94.365,96.372,A,says,mount s t
10,1,1,96.840,98.427,B,says,gallen i found it yeah .
10,1,1,98.277,100.569,A,says,to down to mount davos .
10,1,1,98.560,98.560,R,shows,observe gesture
10,1,1,100.636,101.205,B,says,okay .
10,1,1,101.385,103.302,B,says,well ann how do you make the tracks again ?
10,1,1,103.047,103.796,A,says,you pull
10,1,1,105.062,106.330,A,says,i think .
10,1,1,107.737,109.116,B,says,it's not working .
10,1,1,110.914,116.935,I,says,so if you guys want to see the instructions again can you please read the information from
10,1,1,114.617,114.617,A,presses,help (enabled)
10,1,1,115.288,115.288,B,presses,help (enabled)
10,1,1,116.187,117.834,B,says,information here okay found it .
10,1,1,116.816,117.969,A,says,information .
10,1,1,117.999,121.990,I,says,pay attention to the the top the top of the page
10,1,1,136.643,137.407,B,says,oh .
10,1,1,137.617,138.665,B,says,good .
10,1,1,138.188,140.420,A,says,click and drag to
10,1,1,139.836,142.848,B,says,"click and drag to release okay , so mount"
10,1,1,148.227,158.403,I,says,now i think you need to read it again ..
10,1,1,149.748,149.748,A,presses,help (enabled)
10,1,1,151.122,151.122,B,presses,help (enabled)
10,1,1,158.567,158.567,R,shows,thinking gesture
10,1,1,158.570,158.570,R,says,"hmm, i see."
10,1,1,158.789,161.875,B,says,click drag and release to build a track .
10,1,1,160.961,161.934,R,says,i see
10,1,1,164.979,165.668,B,says,click
10,1,1,165.923,166.657,B,says,drag
10,1,1,167.325,168.972,I,says,and what about the other side
10,1,1,169.976,174.349,A,says,"a brief press so you need to do it hard , harder than"
10,1,1,175.888,181.715,I,says,now i just want you to pay attention to ...
10,1,1,182.091,184.808,A,says,in this view you can interact and build tracks .
10,1,1,184.808,186.935,A,says,in this view you can not build tracks .
10,1,1,191.005,193.589,I,says,and what is your view ....
10,1,1,193.915,196.210,B,says,"oh , your friend's view your view ."
10,1,1,194.337,195.229,A,says,mine is
10,1,1,195.939,195.939,A,presses,help (enabled)
10,1,1,198.797,198.797,A,presses,help (enabled)
10,1,1,199.032,200.725,B,says,okay we've got different ones .
10,1,1,201.144,202.402,B,says,no we don't .
10,1,1,204.579,206.646,B,says,oh yeah we do okay .
10,1,1,207.874,208.593,A,says,so
10,1,1,212.295,214.452,B,says,so mount s t gallen .
10,1,1,212.996,212.996,A,presses,help (enabled)
10,1,1,215.355,215.355,B,presses,help (enabled)
10,1,1,217.449,219.906,B,says,click drag and release to build a
10,1,1,220.755,220.755,B,presses,help (enabled)
10,1,1,221.605,222.354,B,says,okay .
10,1,1,233.255,233.255,B,presses,help (enabled)
10,1,1,236.388,236.388,B,presses,help (enabled)
10,1,1,240.402,240.402,A,adds,Zermatt-Interlaken (4-5)
10,1,1,241.840,244.042,B,says,it's not working .
10,1,2,248.222,248.222,B,presses,help (enabled)
10,1,2,248.772,248.772,B,presses,help (enabled)
10,1,2,250.660,251.948,B,says,how do i go back ?
10,1,2,254.019,254.857,A,says,um
10,1,2,255.668,257.601,B,says,"i need help , wait ."
10,1,2,256.236,256.236,A,presses,help (enabled)
10,1,2,257.948,263.523,I,says,so i think you ...
10,1,2,259.527,260.455,A,says,um your
10,1,2,261.738,261.738,B,presses,help (enabled)
10,1,2,263.549,264.044,A,says,yeah .
10,1,2,264.089,264.868,B,says,yeah i know .
10,1,2,264.763,266.860,A,says,this is my my view is the one
10,1,2,267.594,269.691,A,says,"the , is the abstract view ."
10,1,2,270.053,271.881,A,says,you have the interactive view .
10,1,2,271.356,274.951,B,says,i have that so it's like yeah okay .
10,1,2,274.513,281.448,I,says,so the last four lines will tell you you guys will be alternating between the two view
10,1,2,278.523,278.523,R,shows,observe gesture
10,1,2,281.259,282.607,B,says,okay .
10,1,2,286.511,290.585,I,says,after every few turns you will alternate between the views .
10,1,2,290.931,291.695,A,says,bob .
10,1,2,292.923,295.245,A,says,"so now , you have to do ."
10,1,2,300.155,300.155,B,presses,help (enabled)
10,1,2,300.523,303.594,I,says,draw draw from a mountain that is connected .
10,1,2,302.722,302.722,B,presses,help (enabled)
10,1,2,303.893,304.934,B,says,"oh , so"
10,1,2,304.013,306.559,A,says,draw draw from a mountain that is already been
10,1,2,308.808,309.692,B,says,"wait , so"
10,1,2,311.003,314.028,I,says,no one of the tree mountains that are connected by the rail tracks .
10,1,2,314.388,315.122,B,says,oh this
10,1,2,316.055,316.055,B,adds,Luzern-Zermatt (1-4)
10,1,2,316.535,317.973,B,says,oh !
10,1,2,319.103,320.017,B,says,i get it now .
10,1,2,323.267,323.941,B,says,okay .
10,1,2,334.228,334.228,B,adds,Luzern-Zurich (1-2)
10,1,3,340.922,340.922,B,presses,submit (disabled)
10,1,3,343.811,343.811,A,adds,Zurich-Bern (2-3)
10,1,3,349.212,349.212,A,adds,Basel-Bern (0-3)
10,1,4,355.488,355.488,B,adds,Basel-Neuchatel (0-7)
10,1,4,360.415,360.984,B,says,here .
10,1,4,360.822,360.822,B,adds,Neuchatel-Bern (7-3)
10,1,4,363.441,363.980,B,says,okay .
10,1,5,368.058,368.058,A,adds,Interlaken-Bern (5-3)
10,1,5,376.505,376.505,A,adds,Interlaken-Montreux (5-6)
10,1,5,382.659,384.891,A,says,maybe mount zurich to mount gallen ?
10,1,5,384.696,389.225,B,says,wait yeah mount i'm doing like mount davos to mount s t gallen and then
10,1,6,387.117,387.117,B,adds,Gallen-Davos (8-9)
10,1,6,387.435,387.435,R,shows,observe gesture
10,1,6,388.686,397.551,R,says,guys do not hesitate to submit your solution . you can submit as many times you want .
10,1,6,402.959,402.959,B,adds,Montreux-Neuchatel (6-7)
10,1,6,406.235,407.133,B,says,okay .
10,1,6,409.718,410.901,A,says,so should we submit ?
10,1,6,411.575,414.167,B,says,"no we don't , wait wait wait , i don't think it is finished yet ."
10,1,6,416.127,419.407,B,says,"i don't think it is finished , hold up , mount zurich to mount s t gallen ."
10,1,6,421.312,423.109,A,says,that is already connected .
10,1,6,424.739,426.326,B,says,don't press submit .
10,1,7,426.053,426.053,A,presses,submit (enabled)
10,1,7,426.777,426.777,T,submits,cost=37 (opt_cost=22)
10,1,7,427.754,427.754,B,presses,submit (enabled)
10,1,7,427.980,427.980,R,shows,talking emotion
10,1,7,427.980,427.980,R,shows,up_left gesture
10,1,7,428.054,429.372,B,says,i pressed it .
10,1,7,428.060,428.060,R,says,you are not that far from the minimum; the difference is only 15 francs. i am sure you can do it.
10,1,7,429.252,437.700,R,says,you are not that far from the minimum the difference is only 15 francs i am sure you can do it .
10,1,7,437.302,437.302,R,shows,talking emotion
10,1,7,437.302,437.302,R,shows,point_front gesture
10,1,7,437.306,437.306,R,says,"by the way, you guys now also have the button on the bottom of your screen in the abstract view for comparing solutions."
10,1,7,438.550,447.893,R,says,by the way you guys now also have a button on the bottom of the screen in the abstract view for comparing solutions .
10,1,7,451.840,453.053,B,says,try again ann .
10,2,7,453.942,453.942,B,presses,compare (enabled)
10,2,7,454.192,456.798,A,says,"maybe , we should make it shorter ."
10,2,7,458.601,458.601,R,shows,observe gesture
10,2,7,462.821,462.821,B,presses,compare (enabled)
10,2,7,463.597,464.706,B,says,"okay , here ."
10,2,7,464.138,464.138,B,presses,compare (enabled)
10,2,7,465.309,465.309,B,presses,apply (enabled)
10,2,7,465.319,465.319,B,loads,"[(0, 3), (0, 7), (1, 2), (1, 4), (2, 3), (4, 5), (4, 9), (5, 3), (5, 6), (6, 7), (7, 3), (8, 9)]"
10,2,7,467.538,467.538,B,presses,compare (enabled)
10,2,7,468.120,468.120,B,presses,apply (enabled)
