team_no,attempt_no,turn_no,start,end,subject,verb,object
18,1,1,0.317,0.317,R,shows,observe gesture
18,1,1,0.361,0.361,R,says,"so, ann and bob, let's start building the tracks. i count on you guys. are you ready? also, you need to play this game together, as both of you will see different views at all times. you can talk now to help each other. to see my instructions again, check the information icon on your screens. time to play. let's go!"
18,1,1,53.608,53.608,R,shows,thinking gesture
18,1,1,53.626,53.626,R,says,"hmm, i see."
18,1,1,54.952,56.204,R,says,...
18,1,1,61.429,61.429,A,adds,Zermatt-Davos (4-9)
18,1,1,69.605,95.076,I,says,...
18,1,1,76.769,76.769,B,presses,help (enabled)
18,1,1,78.054,78.054,A,presses,help (enabled)
18,1,1,98.610,98.610,R,shows,observe gesture
18,1,1,110.709,110.709,A,presses,submit (disabled)
18,1,1,125.988,133.363,A,says,so we need to use less francs ?
18,1,1,135.788,137.360,B,says,um
18,1,1,143.475,143.475,B,presses,help (enabled)
18,1,1,153.731,153.731,B,presses,help (enabled)
18,1,1,157.068,157.068,B,presses,help (enabled)
18,1,1,158.608,158.608,R,shows,thinking gesture
18,1,1,158.629,158.629,R,says,"hmm, i see."
18,1,1,159.882,160.882,R,says,...
18,1,1,173.841,173.841,A,adds,Luzern-Zermatt (1-4)
18,1,2,189.366,189.366,B,adds,Zermatt-Montreux (4-6)
18,1,2,191.679,191.679,B,adds,Interlaken-Montreux (5-6)
18,1,2,194.973,195.552,A,says,this .
18,1,2,197.559,202.571,A,says,mount interlaken costs 4 ?
18,1,2,206.243,207.585,B,says,yeah and
18,1,2,207.453,208.559,A,says,so .
18,1,2,211.808,213.012,B,says,yeah .
18,1,3,219.701,219.701,A,adds,Luzern-Bern (1-3)
18,1,3,224.803,224.803,B,presses,help (enabled)
18,1,3,225.274,225.274,A,presses,help (enabled)
18,1,3,234.128,234.128,A,presses,submit (disabled)
18,1,3,234.664,235.124,B,says,um
18,1,3,239.657,242.394,B,says,how do you do anything right now ?
18,1,3,244.881,245.420,I,says,what ?
18,1,3,245.762,248.091,B,says,how do i do anything ?
18,1,3,247.808,254.663,I,says,...
18,1,3,251.365,251.365,B,presses,help (enabled)
18,1,3,263.289,263.953,A,says,oh .
18,1,3,263.690,264.598,B,says,oh yeah .
18,1,3,265.433,266.183,B,says,um
18,1,3,269.565,272.881,I,says,...
18,1,3,282.818,282.818,A,adds,Zurich-Bern (2-3)
18,1,3,287.342,288.974,B,says,i think so .
18,1,4,289.758,289.758,B,adds,Interlaken-Neuchatel (5-7)
18,1,4,291.681,291.681,B,adds,Basel-Neuchatel (0-7)
18,1,4,293.145,298.820,A,says,this costs 4 to mount basel .
18,1,4,303.426,303.899,B,says,yeah .
18,1,4,306.314,309.130,A,says,so i think we need to erase .
18,1,5,307.225,307.225,A,removes,Basel-Neuchatel (0-7)
18,1,5,308.007,308.007,B,presses,help (enabled)
18,1,5,339.175,339.175,A,adds,Zurich-Davos (2-9)
18,1,6,345.965,345.965,B,adds,Basel-Neuchatel (0-7)
18,1,6,351.067,351.067,R,shows,observe gesture
18,1,6,351.279,351.279,B,adds,Zurich-Gallen (2-8)
18,1,6,351.382,360.678,R,says,...
18,1,6,369.959,373.926,A,says,do you think this is good ?
18,1,6,375.097,375.880,B,says,um
18,1,6,379.466,381.380,B,says,yeah .
18,1,7,387.809,387.809,B,presses,help (enabled)
18,1,7,433.045,435.887,B,says,um do we press the finish button ?
18,1,7,436.998,436.998,A,presses,submit (enabled)
18,1,7,437.105,437.105,T,submits,cost=32 (opt_cost=22)
18,1,7,437.291,437.291,R,shows,talking emotion
18,1,7,437.292,437.292,R,shows,up_left gesture
18,1,7,437.315,445.522,R,says,....
18,1,7,437.408,437.408,R,says,you are not that far from the minimum; the difference is only 10 francs. i am sure you can do it.
18,1,7,437.410,437.410,B,presses,submit (enabled)
18,1,7,446.331,446.331,R,shows,point_front gesture
18,1,7,446.331,446.331,R,shows,talking emotion
18,1,7,446.333,455.957,R,says,...
18,1,7,446.445,446.445,R,says,"by the way, you guys now also have the button on the bottom of your screen in the abstract view for comparing solutions."
18,1,7,458.609,458.609,R,shows,observe gesture
18,2,7,461.164,461.164,B,presses,compare (enabled)
18,2,7,461.246,461.246,B,presses,compare (enabled)
18,2,7,467.978,467.978,A,adds,Zermatt-Montreux (4-6)
18,2,7,477.563,477.563,B,presses,compare (enabled)
18,2,7,486.677,486.677,B,presses,compare (enabled)
18,2,7,504.761,504.761,B,presses,compare (enabled)
18,2,7,507.828,507.828,B,presses,apply (enabled)
18,2,7,507.838,507.838,B,loads,"[(0, 7), (1, 3), (1, 4), (2, 3), (2, 8), (2, 9), (4, 6), (4, 9), (5, 6), (5, 7)]"
18,2,7,509.777,509.777,B,presses,apply (enabled)
18,2,7,509.787,509.787,B,loads,"[(0, 7), (1, 3), (1, 4), (2, 3), (2, 8), (2, 9), (4, 6), (4, 9), (5, 6), (5, 7)]"
18,2,7,516.111,516.111,B,presses,submit (enabled)
18,2,7,526.942,526.942,A,presses,help (enabled)
18,2,7,536.131,591.571,I,says,...
18,2,7,558.245,558.245,B,presses,compare (enabled)
18,2,7,568.346,568.346,B,presses,apply (enabled)
18,2,7,568.356,568.356,B,loads,"[(0, 7), (1, 3), (1, 4), (2, 3), (2, 8), (2, 9), (4, 6), (4, 9), (5, 6), (5, 7)]"
18,2,7,568.819,568.819,B,presses,apply (enabled)
18,2,7,569.665,569.665,B,presses,apply (enabled)
18,2,7,569.675,569.675,B,loads,"[(0, 7), (1, 3), (1, 4), (2, 3), (2, 8), (2, 9), (4, 6), (4, 9), (5, 6), (5, 7)]"
18,2,7,578.609,578.609,R,shows,thinking gesture
18,2,7,578.638,578.638,R,says,"hmm, i see."
18,2,7,595.216,599.190,B,says,do i press this or
18,2,7,596.558,599.492,I,says,...
