start	end	group_no	attempt_no	turn_no	event_no	subject	verb	object
0.191	0.191	24	1	1	1	R	shows	observe gesture
0.316	0.316	24	1	1	2	R	says	So, Sally and Anne, let's start building the tracks. I count on you guys. Are you ready? Also, you need to play this game together, as both of you will see different views at all times. You can talk now to help each other. To see my instructions again, check the information icon on your screens. Time to play. Let's Go!
53.593	53.593	24	1	1	5	R	shows	thinking gesture
53.608	53.608	24	1	1	6	R	says	(Hmm) I see.
62.226	62.226	24	1	1	8	A	presses	help (enabled)
64.970	64.970	24	1	1	10	B	presses	help (enabled)
70.629	70.629	24	1	1	13	B	presses	help (enabled)
79.137	79.137	24	1	1	15	B	presses	submit (disabled)
95.276	95.276	24	1	1	18	A	adds	Zermatt-Davos (4-9)
98.592	98.592	24	1	1	19	R	shows	observe gesture
104.536	104.536	24	1	1	21	A	adds	Luzern-Zermatt (1-4)
158.621	158.621	24	1	2	29	R	shows	thinking gesture
158.636	158.636	24	1	2	30	R	says	(Hmm) I see.
182.453	182.453	24	1	2	33	B	adds	Gallen-Davos (8-9)
199.133	199.133	24	1	2	36	B	adds	Zurich-Gallen (2-8)
206.221	206.221	24	1	3	38	A	adds	Zurich-Bern (2-3)
214.879	214.879	24	1	3	40	A	adds	Basel-Bern (0-3)
219.252	219.252	24	1	4	42	B	adds	Basel-Neuchatel (0-7)
223.527	223.527	24	1	4	44	B	adds	Interlaken-Neuchatel (5-7)
226.134	226.134	24	1	5	46	A	adds	Interlaken-Montreux (5-6)
227.601	227.601	24	1	5	47	R	shows	observe gesture
239.727	239.727	24	1	5	49	A	presses	submit (enabled)
242.316	242.316	24	1	5	52	T	submits	cost=28 (opt_cost=22)
243.300	243.300	24	1	5	55	B	presses	submit (enabled)
243.790	243.790	24	1	5	56	R	shows	talking emotion
243.790	243.790	24	1	5	57	R	shows	up_left gesture
243.882	243.882	24	1	5	58	R	says	You are away from the minimum by 6 Francs. Let's Try again.
250.420	250.420	24	1	5	59	R	shows	point_front gesture
250.420	250.420	24	1	5	60	R	shows	talking emotion
250.427	250.427	24	1	5	61	R	says	By the way, you guys now also have the button on the bottom of your screen in the abstract view for comparing solutions.
269.033	269.033	24	2	5	64	B	presses	compare (enabled)
278.685	278.685	24	2	5	65	R	shows	observe gesture
313.063	313.063	24	2	5	69	A	adds	Zurich-Davos (2-9)
325.660	325.660	24	2	5	72	A	adds	Zermatt-Davos (4-9)
348.508	348.508	24	2	6	79	A	presses	compare (enabled)
348.917	348.917	24	2	6	80	B	adds	Zermatt-Montreux (4-6)
365.694	365.694	24	2	6	83	B	adds	Montreux-Neuchatel (6-7)
370.967	370.967	24	2	7	85	A	adds	Neuchatel-Bern (7-3)
381.003	381.003	24	2	7	87	A	adds	Interlaken-Bern (5-3)
393.904	393.904	24	2	8	91	B	adds	Zurich-Gallen (2-8)
397.925	397.925	24	2	8	93	B	adds	Basel-Zurich (0-2)
405.887	405.887	24	2	9	96	A	adds	Gallen-Davos (8-9)
408.720	408.720	24	2	9	98	A	adds	Luzern-Davos (1-9)
416.067	416.067	24	2	10	101	B	adds	Basel-Bern (0-3)
422.928	422.928	24	2	10	104	A	presses	compare (enabled)
424.361	424.361	24	2	10	106	A	presses	compare (enabled)
425.439	425.439	24	2	10	107	B	adds	Luzern-Bern (1-3)
428.655	428.655	24	2	11	109	A	presses	submit (enabled)
431.644	431.644	24	2	11	110	T	submits	cost=39 (opt_cost=22)
432.615	432.615	24	2	11	112	B	presses	submit (enabled)
433.154	433.154	24	2	11	113	R	shows	talking emotion
433.154	433.154	24	2	11	114	R	shows	up_left gesture
433.260	433.260	24	2	11	115	R	says	You are away from the minimum by 17 Francs. Let's Try again.
444.796	444.796	24	3	11	118	B	presses	compare (enabled)
458.725	458.725	24	3	11	123	R	shows	observe gesture
463.958	463.958	24	3	11	124	A	adds	Luzern-Davos (1-9)
467.202	467.202	24	3	11	126	A	adds	Luzern-Zermatt (1-4)
482.364	482.364	24	3	12	129	B	adds	Zermatt-Interlaken (4-5)
483.875	483.875	24	3	12	131	B	adds	Interlaken-Bern (5-3)
486.920	486.920	24	3	13	133	A	adds	Interlaken-Montreux (5-6)
491.334	491.334	24	3	13	135	A	adds	Interlaken-Neuchatel (5-7)
500.230	500.230	24	3	14	138	B	adds	Basel-Neuchatel (0-7)
502.860	502.860	24	3	14	140	B	adds	Basel-Zurich (0-2)
505.114	505.114	24	3	15	142	A	adds	Zurich-Gallen (2-8)
506.613	506.613	24	3	15	144	B	presses	compare (enabled)
508.931	508.931	24	3	15	146	A	adds	Luzern-Zurich (1-2)
520.480	520.480	24	3	16	149	B	presses	submit (enabled)
522.758	522.758	24	3	16	152	A	presses	submit (enabled)
524.972	524.972	24	3	16	153	T	submits	cost=33 (opt_cost=22)
526.061	526.061	24	3	16	155	B	presses	submit (enabled)
526.345	526.345	24	3	16	157	B	presses	submit (enabled)
526.382	526.382	24	3	16	158	R	shows	talking emotion
526.383	526.383	24	3	16	159	R	shows	up_left gesture
526.490	526.490	24	3	16	160	R	says	You are away from the minimum by 11 Francs. Let's Try again.
540.049	540.049	24	4	16	163	A	presses	submit (disabled)
554.946	554.946	24	4	16	168	B	adds	Basel-Zurich (0-2)
569.192	569.192	24	4	16	176	B	adds	Basel-Bern (0-3)
578.055	578.055	24	4	17	178	A	adds	Luzern-Bern (1-3)
583.539	583.539	24	4	17	180	A	adds	Luzern-Zermatt (1-4)
591.895	591.895	24	4	18	183	B	adds	Zermatt-Interlaken (4-5)
610.673	610.673	24	4	18	191	B	adds	Interlaken-Montreux (5-6)
613.495	613.495	24	4	19	193	A	adds	Montreux-Neuchatel (6-7)
622.324	622.324	24	4	19	195	A	adds	Neuchatel-Bern (7-3)
639.817	639.817	24	4	20	200	B	adds	Zurich-Gallen (2-8)
641.723	641.723	24	4	20	202	B	adds	Gallen-Davos (8-9)
642.875	642.875	24	4	21	204	A	presses	submit (enabled)
643.995	643.995	24	4	21	205	T	submits	cost=32 (opt_cost=22)
645.080	645.080	24	4	21	207	B	presses	submit (enabled)
645.357	645.357	24	4	21	208	R	shows	talking emotion
645.357	645.357	24	4	21	209	R	shows	up_left gesture
645.513	645.513	24	4	21	210	R	says	You are away from the minimum by 10 Francs. Let's Try again.
681.843	681.843	24	5	21	219	B	presses	previous (enabled)
683.495	683.495	24	5	21	220	A	adds	Gallen-Davos (8-9)
683.626	683.626	24	5	21	222	B	presses	previous (enabled)
684.076	684.076	24	5	21	224	B	presses	compare (enabled)
701.984	701.984	24	5	21	230	A	adds	Zurich-Gallen (2-8)
712.475	712.475	24	5	22	233	B	removes	Zurich-Gallen (2-8)
736.722	736.722	24	5	22	240	B	adds	Luzern-Davos (1-9)
742.666	742.666	24	5	23	243	A	adds	Luzern-Zermatt (1-4)
773.768	773.768	24	5	23	295	A	adds	Zermatt-Montreux (4-6)
785.077	785.077	24	5	24	299	B	adds	Interlaken-Montreux (5-6)
793.540	793.540	24	5	24	305	B	removes	Interlaken-Montreux (5-6)
797.405	797.405	24	5	25	307	A	adds	Montreux-Neuchatel (6-7)
802.765	802.765	24	5	25	309	A	adds	Basel-Neuchatel (0-7)
809.113	809.113	24	5	26	311	B	removes	Basel-Neuchatel (0-7)
813.911	813.911	24	5	26	313	B	adds	Neuchatel-Bern (7-3)
815.664	815.664	24	5	27	315	A	removes	Neuchatel-Bern (7-3)
819.415	819.415	24	5	27	318	A	adds	Interlaken-Neuchatel (5-7)
826.081	826.081	24	5	28	320	B	adds	Interlaken-Bern (5-3)
832.763	832.763	24	5	28	322	B	adds	Zurich-Bern (2-3)
839.219	839.219	24	5	29	324	A	adds	Basel-Zurich (0-2)
842.780	842.780	24	5	29	326	A	presses	submit (enabled)
842.791	842.791	24	5	29	328	B	presses	submit (enabled)
843.849	843.849	24	5	29	329	T	submits	cost=27 (opt_cost=22)
845.251	845.251	24	5	29	330	R	shows	talking emotion
845.251	845.251	24	5	29	331	R	shows	up_left gesture
845.348	845.348	24	5	29	332	R	says	You are away from the minimum by 5 Francs. Let's Try again.
851.739	851.739	24	5	29	333	R	shows	talking emotion
851.741	851.741	24	5	29	334	R	shows	up_right gesture
851.845	851.845	24	5	29	335	R	says	Hey guys, maybe, it would be easier to solve the problem if you look at your previous solutions more.
863.056	863.056	24	6	29	343	B	presses	compare (enabled)
868.965	868.965	24	6	29	345	A	adds	Luzern-Davos (1-9)
877.510	877.510	24	6	29	349	A	adds	Luzern-Zermatt (1-4)
892.524	892.524	24	6	30	352	B	adds	Luzern-Bern (1-3)
905.144	905.144	24	6	30	358	A	presses	compare (enabled)
908.084	908.084	24	6	30	359	B	adds	Interlaken-Bern (5-3)
915.765	915.765	24	6	31	361	A	removes	Interlaken-Bern (5-3)
916.442	916.442	24	6	31	364	B	presses	compare (enabled)
920.165	920.165	24	6	31	366	A	adds	Basel-Bern (0-3)
923.533	923.533	24	6	32	368	A	presses	previous (enabled)
926.709	926.709	24	6	32	371	B	adds	Basel-Zurich (0-2)
933.038	933.038	24	6	32	373	B	removes	Basel-Zurich (0-2)
934.602	934.602	24	6	33	375	A	adds	Basel-Neuchatel (0-7)
936.147	936.147	24	6	33	377	B	presses	submit (disabled)
943.672	943.672	24	6	33	381	B	presses	compare (enabled)
944.363	944.363	24	6	33	383	A	removes	Basel-Neuchatel (0-7)
963.656	963.656	24	6	34	390	B	adds	Basel-Neuchatel (0-7)
972.367	972.367	24	6	34	392	B	adds	Basel-Zurich (0-2)
979.381	979.381	24	6	35	396	A	removes	Basel-Zurich (0-2)
982.796	982.796	24	6	35	398	A	adds	Interlaken-Neuchatel (5-7)
989.022	989.022	24	6	36	400	B	adds	Interlaken-Montreux (5-6)
993.057	993.057	24	6	36	402	B	adds	Zermatt-Montreux (4-6)
995.730	995.730	24	6	37	404	A	adds	Zermatt-Davos (4-9)
1012.055	1012.055	24	6	37	407	B	presses	compare (enabled)
1026.001	1026.001	24	6	37	416	A	removes	Zermatt-Davos (4-9)
1037.575	1037.575	24	6	38	422	B	adds	Zurich-Bern (2-3)
1052.440	1052.440	24	6	38	424	B	adds	Zurich-Davos (2-9)
1056.790	1056.790	24	6	39	427	A	removes	Zurich-Davos (2-9)
1058.551	1058.551	24	6	39	429	A	adds	Zurich-Gallen (2-8)
1063.710	1063.710	24	6	40	431	B	adds	Gallen-Davos (8-9)
1067.476	1067.476	24	6	40	433	B	removes	Gallen-Davos (8-9)
1068.854	1068.854	24	6	41	435	A	presses	submit (enabled)
1068.935	1068.935	24	6	41	436	T	submits	cost=31 (opt_cost=22)
1068.938	1068.938	24	6	41	438	B	presses	submit (enabled)
