team_no	utterance_no	start	end	interlocutor	utterance
17	0	48.714	51.047	A	you ca n't get past through the other mountains right ?
17	1	51.533	52.636	B	i do n't know .
17	2	52.454	53.467	A	okay .
17	3	69.184	69.620	B	oh .
17	4	69.254	70.323	A	oh , okay .
17	5	111.428	112.120	A	yeah .
17	6	119.317	120.287	A	uh okay .
17	7	129.379	131.630	A	okay so this is my view .
17	8	154.555	156.187	B	how do you go back ?
17	9	165.889	168.167	A	okay bob it 's your turn .
17	10	201.624	203.171	A	it 's my turn again .
17	11	205.721	207.812	A	your turn .
17	12	209.748	210.787	B	should we submit ?
17	13	211.365	211.984	A	what ?
17	14	211.913	212.912	B	should we submit ?
17	15	213.221	214.262	A	yeah i think .
17	16	214.753	215.583	A	yeah it 's good .
17	17	216.652	217.103	A	yeah .
17	18	238.134	238.852	A	okay .
17	19	246.319	247.009	A	okay .
17	20	247.515	248.190	B	um
17	21	250.679	252.470	A	okay your turn , bob .
17	22	255.242	256.621	A	that 's 3 .
17	23	261.993	263.484	A	yeah okay .
17	24	281.368	282.282	A	okay .
17	25	292.988	294.634	A	yeah okay .
17	26	311.630	319.037	A	it 's better to go from mount basel to mount interlaken because that costs less money , i think .
17	27	328.561	330.179	A	okay , uh .
17	28	339.136	342.456	A	i think that cost less , then last time .
17	29	342.821	344.143	B	um yeah , let 's submit .
17	30	344.354	345.254	A	yeah .
17	31	355.362	358.597	A	oh so what 's the minimum is 9 i think , wait .
17	32	359.332	362.358	A	we had the price which is 29 , so
17	33	363.230	365.521	A	i think we used to do it one more time .
17	34	366.213	366.767	B	um
17	35	367.416	368.779	A	okay your turn first .
17	36	369.303	371.565	A	why do n't you go from a different mountain this time ?
17	37	372.829	374.402	B	maybe mount bern ?
17	38	376.700	377.329	A	where ?
17	39	377.449	378.452	B	mount bern .
17	40	378.559	379.877	A	okay start from there .
17	41	381.694	383.476	A	maybe go to mount basel after .
17	42	384.588	386.490	A	that might cost less .
17	43	388.442	390.799	A	yeah , and then go to mount zurich .
17	44	394.146	394.805	A	yeah .
17	45	395.044	397.471	A	oh no that costs more .
17	46	397.775	398.688	A	uh
17	47	398.179	399.707	B	we should erase it .
17	48	400.101	401.823	A	yeah , i 'll erase it .
17	49	403.327	405.170	A	that , that 's better okay .
17	50	405.589	408.755	A	so , go from mount bern
17	51	409.279	412.320	A	to straight to mount zurich i think maybe that 's better .
17	52	413.065	414.637	A	that would cost a lot .
17	53	414.877	416.195	A	yeah .
17	54	416.959	419.430	A	then mount saint gallen maybe ?
17	55	422.988	425.449	A	yeah , it 's better .
17	56	427.385	430.246	A	i 'm gon na go from mount bern to mount basel .
17	57	432.498	436.141	A	oh you 're gon na go from saint gallen right down to mount davos .
17	58	436.580	438.258	A	yeah that 's better .
17	59	439.179	440.843	A	so we cut the 5 out .
17	60	442.053	443.600	B	i 'll go from
17	61	450.625	455.281	A	uh no i think you should go from mount davos to mount luzern , but if you want to go from mount
17	62	456.401	458.188	A	yeah , maybe like that 's better .
17	63	459.715	463.161	A	and then mount luzern to mount zermatt .
17	64	466.163	467.708	A	yeah , perfect .
17	65	468.485	470.257	A	oh good , should i go to mount
17	66	471.270	476.671	A	interlaken interlaken or mount montreux ?
17	67	477.373	477.866	A	i think
17	68	477.458	480.426	B	um montreux i think .
17	69	480.663	481.381	A	okay .
17	70	482.659	483.950	A	and then i 'll go to mount
17	71	483.950	484.836	A	interlaken .
17	72	484.048	485.005	B	interlaken .
17	73	485.174	485.990	A	yeah .
17	74	487.272	488.182	A	oh actually
