team_no	utterance_no	start	end	interlocutor	utterance
11	0	40.651	41.549	A	okay .
11	1	40.790	41.284	B	okay .
11	2	41.598	42.482	B	go to mount bern .
11	3	42.707	43.321	A	what ?
11	4	43.890	45.208	B	of you right now .
11	5	46.122	47.036	A	mount bern ?
11	6	47.545	48.069	B	yeah .
11	7	48.878	51.889	A	so mount bern to mount zurich ?
11	8	52.608	53.267	B	i do n't know .
11	9	53.709	55.326	B	i ca n't do anything right now .
11	10	60.897	63.144	A	i just , so mount bern .
11	11	64.118	65.166	A	speak louder .
11	12	65.166	67.503	B	okay go , go from bern to basel .
11	13	67.533	68.327	A	basel .
11	14	72.698	73.777	A	got it , and then ?
11	15	73.897	76.578	B	okay , then from basel to interlaken .
11	16	77.920	78.894	A	to where ?
11	17	78.894	79.643	B	interlaken .
11	18	79.868	81.830	A	interlaken .
11	19	80.512	81.740	B	it 's under basel .
11	20	83.918	84.757	B	if you can .
11	21	86.030	87.004	A	no i ca n't .
11	22	87.007	89.898	B	okay then go to neuchatel , to left .
11	23	91.271	92.139	A	yeah .
11	24	91.780	93.757	B	okay , no
11	25	93.727	94.461	A	oh okay .
11	26	96.805	98.423	B	okay , i 'm gon na
11	27	99.412	100.460	B	draw to there .
11	28	101.022	102.759	A	to , then .
11	29	104.662	106.324	B	now to there , there you go .
11	30	109.228	109.992	A	okay
11	31	111.115	114.336	B	go from interlaken to bern and then to luzern .
11	32	114.507	119.300	A	i got it a different way , i got it to bern to basel to neuchatel to interlaken .
11	33	121.327	122.136	A	and then
11	34	123.200	124.413	A	mount zermatt .
11	35	126.488	127.192	A	wait .
11	36	137.779	138.603	B	okay .
11	37	139.626	143.176	B	i 'm gon na go , i 'll do that , no .
11	38	144.368	145.102	B	there you go .
11	39	165.596	170.701	B	and then go to , zurich and gallen saint gallen .
11	40	170.042	170.851	A	wait .
11	41	180.505	182.542	A	i 'm waiting for my friend .
11	42	185.768	188.928	B	okay now go from interlaken to neuchatel .
11	43	187.685	188.464	A	i 'm done .
11	44	190.673	192.381	B	okay i 'm just gon na submit too .
11	45	191.961	192.950	A	but wait what ?
11	46	193.174	193.774	B	i 'm submiting .
11	47	194.193	195.301	A	wait i 'm not .
11	48	195.650	199.050	A	ca n't even go to oh no you ca n't .
11	49	197.962	200.374	B	i did submit i do n't know , i just did it .
11	50	201.502	203.464	A	and then here , here .
11	51	204.497	205.171	A	ahh
11	52	204.587	205.186	B	okay .
11	53	209.238	210.197	B	go there .
11	54	211.941	213.693	A	i 'm going to on the thing .
11	55	214.008	215.895	B	i ca n't i 'll be going here .
11	56	216.545	217.294	B	okay there you go .
11	57	218.238	219.916	B	can you go from zurich to basel ?
