team_no	utterance_no	start	end	interlocutor	utterance
8	0	41.033	45.988	B	so , are we trying to make this shortest , or the less tight the little things ?
8	1	60.810	61.738	B	okay ready ?
8	2	62.690	63.942	B	so which one should we start ?
8	3	64.040	65.067	B	wait did you just do that ?
8	4	65.011	66.671	A	yes .
8	5	65.574	67.430	B	okay i 'm gon na do something right .
8	6	70.992	71.892	B	i drag .
8	7	72.497	73.228	B	how do you do it ?
8	8	73.622	74.804	A	you drag it .
8	9	75.127	76.112	B	hold and drag .
8	10	76.464	77.125	A	yes .
8	11	76.775	78.759	B	it 's not working for me .
8	12	81.150	82.487	B	wait how do you do it ?
8	13	85.021	86.850	A	um like , wait what ?
8	14	87.638	93.391	A	so you hold it , so you you have to go to where and did it and hold it to somewhere .
8	15	95.630	96.966	A	and then you have it .
8	16	97.585	98.710	B	oh there we go .
8	17	98.950	100.750	B	i was at something else okay .
8	18	101.679	102.410	A	good .
8	19	105.325	106.591	B	okay i just made something .
8	20	108.349	109.066	A	oh wait .
8	21	110.937	112.625	B	so i think we are trying to make
8	22	114.499	115.526	B	oh what ?
8	23	115.905	117.720	B	we 're trying to make the less
8	24	118.508	119.380	B	um
8	25	120.310	121.520	B	things used .
8	26	121.745	122.888	A	yeah probably .
8	27	122.350	124.826	B	why is mine this weird , why is mine here ?
8	28	126.783	129.245	B	oh there , i 'm doomed .
8	29	129.470	132.087	B	how do i make it ?
8	30	139.404	140.135	A	okay .
8	31	161.214	163.592	B	why did you do i see here ?
8	32	164.548	165.069	B	okay .
8	33	165.505	166.602	B	this does not
8	34	167.376	168.515	A	yes , but
8	35	170.374	171.401	A	um
8	36	170.402	171.485	B	yeah , kinda .
8	37	171.711	174.383	A	kinda , not really , why ?
8	38	175.495	176.507	A	oh , i 'm back .
8	39	187.569	188.146	B	no .
8	40	189.088	192.999	B	we are not submitting our answers right now , sorry .
8	41	192.943	194.940	A	no , we are not done .
8	42	195.505	197.010	B	oh , why i 'm on this .
8	43	199.232	201.033	B	okay i 'll tap .
8	44	203.440	204.833	A	no .
8	45	203.595	204.228	B	oh .
8	46	204.763	205.593	B	what happened ?
8	47	207.072	208.943	B	why is it not doing ?
8	48	208.071	210.181	A	because we already have 9 out of 10 .
8	49	214.668	216.385	B	oh my gosh i ca n't go .
8	50	219.467	220.452	B	what am i supposed
8	51	222.112	222.843	B	here ?
8	52	223.631	224.320	B	here .
8	53	224.886	226.110	B	abstract view .
8	54	228.192	229.528	B	your friend 's view .
8	55	233.143	234.508	B	interactive view .
8	56	235.607	236.001	A	look .
8	57	236.212	237.816	A	it says right here .
8	58	238.055	243.091	A	says like , the interactive view into the abstract view .
8	59	243.345	246.749	A	and then it has abstract view and then it says what it does .
8	60	245.357	246.693	B	oh yeah this
8	61	247.540	249.326	B	view you can not build
8	62	258.445	259.838	B	oh !
8	63	260.274	262.679	B	oh oops .
8	64	264.578	267.012	B	okay , now i get it , oh yeah i 'm here .
8	65	268.378	268.983	B	okay .
8	66	269.391	270.094	A	wait what ?
8	67	270.755	272.908	B	so we need to i 'm erasing these .
8	68	273.217	273.920	B	i 'm sorry .
8	69	273.273	273.850	A	yeah .
8	70	274.147	275.244	A	yeah i 'll erase it .
8	71	274.231	275.286	B	and we just start again .
8	72	275.807	277.143	A	um i do n't know .
8	73	276.369	276.890	B	uh
8	74	277.636	280.379	A	so we will erase all of them entirely ?
8	75	279.661	280.266	B	yeah .
8	76	282.589	283.785	A	right now i want to erase .
8	77	284.911	287.372	B	i 'm at the black right now so got to chill .
8	78	288.682	289.329	B	chill .
8	79	289.765	290.876	A	how do you erase ?
8	80	291.101	292.395	B	you just hold it .
8	81	293.017	295.113	B	and you get the like the little erase thingy .
8	82	297.012	299.431	B	wait i ca n't do anything until it stops ?
8	83	300.023	303.568	B	like when she oh so when she do something it stops for me ?
8	84	310.337	312.335	B	oh , seriously ?
8	85	313.390	315.106	B	she sees not what i see ?
8	86	323.577	325.926	B	wait it 's not erasing for other .
8	87	328.504	330.782	B	oh that explains everything .
8	88	332.780	333.990	A	it does .
8	89	335.607	337.746	B	wait so her mountains are not the same ?
8	90	347.709	348.806	B	okay .
8	91	348.074	349.200	A	okay .
8	92	355.180	355.827	B	what ?
8	93	365.081	369.983	A	oh , so like when i have this you have this when i have this you have this ?
8	94	365.145	366.577	B	oh .
8	95	369.336	371.816	B	so when i have the mountains you have the black .
8	96	371.559	372.361	A	exactly .
8	97	372.107	373.584	B	when you have the mountains i have the black .
8	98	372.361	373.792	A	oh , okay .
8	99	374.514	376.329	B	that 's why we have to talk , okay .
8	100	376.638	377.679	B	now we get it .
8	101	377.482	385.094	A	i think i 'm gon na put um , mount zermatt to the one above it .
8	102	385.179	386.320	B	mount zurich ?
8	103	387.671	388.619	A	no like
8	104	388.444	391.243	B	mount luzern to mount zurich ?
8	105	392.723	393.159	B	oh .
8	106	392.765	395.972	A	no mount zermatt to the one above it .
8	107	396.999	398.673	B	yeah , to mount luzern .
8	108	399.123	400.375	A	luzern .
8	109	400.361	401.782	B	luzern yeah okay do it .
8	110	401.247	401.979	A	yeah .
8	111	402.784	403.726	A	wait no .
8	112	405.921	406.512	A	okay .
8	113	406.470	408.748	B	we should do all the big things .
8	114	412.617	413.517	B	are you done ?
8	115	413.899	414.518	A	yeah .
8	116	414.743	415.250	B	okay .
8	117	417.022	418.204	B	not working for me so .
8	118	420.681	426.829	A	i 'm gon na do mount zurich to mount davos .
8	119	426.196	427.011	B	mount
8	120	428.054	429.742	B	zurich where is zurich ?
8	121	431.121	437.101	A	it 's the one above mount luzern , i do n't know how to say it .
8	122	436.173	438.086	B	that 's zurich , mount zurich .
8	123	438.353	439.647	A	it is ?
8	124	439.043	439.633	B	zurich .
8	125	439.844	440.491	B	i do n't know .
8	126	440.633	441.927	B	that one right , this one .
8	127	442.124	442.800	B	the top one .
8	128	442.870	443.334	A	yeah .
8	129	443.517	444.713	B	okay , so do it .
8	130	444.052	445.655	A	to mount davos .
8	131	445.358	445.717	B	yeah .
8	132	446.277	447.683	A	because it 's big .
8	133	449.625	450.638	A	now it 's your turn .
8	134	450.834	453.085	B	okay , so i see , i see what you 've done .
8	135	453.859	454.548	B	okay .
8	136	454.858	455.290	B	okay .
8	137	456.509	459.307	B	yeah i 'm gon na erase , wait now i do n't wanna do anything .
8	138	460.848	462.496	B	i 'm gon na erase mount bern .
8	139	462.697	463.148	B	okay ?
8	140	463.610	464.428	A	which one ?
8	141	465.608	466.556	A	oh yeah yeah .
8	142	466.580	467.599	B	i ca n't erase .
8	143	468.358	470.848	A	yeah you just click on it and erase .
8	144	472.175	472.827	B	i doubled .
8	145	473.432	476.444	B	i have the erase thing but it is not erasing .
8	146	485.932	489.915	B	oh you have to erase that , so like that ?
8	147	490.946	491.622	B	oh .
8	148	491.752	492.416	A	oh .
8	149	494.390	494.929	A	oops
8	150	496.477	498.397	B	oh , okay it 's your turn .
8	151	498.081	500.377	A	oh okay um which one should i do ?
8	152	499.334	501.586	B	wait erase mount bern .
8	153	502.654	503.911	B	to mount luzern .
8	154	503.816	504.456	A	okay .
8	155	504.752	508.463	B	i do n't know why but it does n't erase it 's like wasting money kind of .
8	156	507.917	508.510	A	okay .
8	157	509.374	512.338	B	and now connect mount bern to mount zurich .
8	158	514.199	515.895	B	i do n't want to really do anything .
8	159	516.191	517.135	A	exactly .
8	160	517.581	521.652	A	oh what about , um mount bern to mount interlaken .
8	161	521.813	522.631	B	yeah do that .
8	162	525.263	527.041	A	oh no i ca n't .
8	163	526.543	527.006	B	oh .
8	164	528.025	531.178	B	what if you did mount neuchatel .
8	165	531.367	531.996	A	which one
8	166	531.441	533.110	B	the one here this one .
8	167	533.525	535.244	B	the gold mine near the cow .
8	168	536.430	539.548	A	what ?
8	169	537.201	539.512	B	the one starting with an n .
8	170	540.046	543.566	A	yes but i ca n't because there is no start , there .
8	171	544.295	545.635	B	yeah , ca n't you make it ?
8	172	545.777	547.851	A	no , because there is no start .
8	173	549.287	551.420	A	so it have to be from here or here .
8	174	552.227	553.104	B	um
8	175	552.511	556.648	A	what about mount davos to mount , saint gallen ?
8	176	558.644	562.616	B	because what if , you did if we could do it ?
8	177	562.497	566.065	A	what about mount um davos to mount gallen ?
8	178	566.207	566.645	B	mount
8	179	568.210	569.822	B	oh mount davos
8	180	570.095	571.849	A	yeah to mount gallen .
8	181	570.356	571.885	B	to mount gallen yeah do that .
8	182	574.269	575.335	B	okay my turn .
8	183	576.331	581.147	B	oh i 'm erasing mount , davos to mount zurich , because it is too much .
