team_no	utterance_no	start	end	interlocutor	utterance
9	0	40.591	41.040	B	uh
9	1	41.489	42.268	B	ann ?
9	2	42.268	42.897	A	yeah .
9	3	43.411	45.792	B	if you did from mount montreux
9	4	47.170	49.717	B	to interlaken , mount interlaken .
9	5	50.388	54.633	B	that would make it less expensive than if you went to mount montreux then to zermatt .
9	6	111.002	111.601	B	um
9	7	114.747	119.615	B	i 've read the instructions and it says you could see the cost of it .
9	8	120.004	123.794	B	in swiss francs but how would you find that out ?
9	9	135.734	138.700	B	if she does it i see the cost .
9	10	140.048	142.145	B	oh , okay .
9	11	140.240	140.602	A	oh .
9	12	144.276	145.834	B	so , ann .
9	13	146.313	149.069	B	you are the interactive that 's right .
9	14	150.494	152.394	B	or do you have the dark screen .
9	15	152.566	153.921	A	no i have the
9	16	154.744	155.556	A	interactive .
9	17	155.660	157.158	B	so .
9	18	157.262	159.000	A	you have the abstract .
9	19	158.392	158.985	B	yes .
9	20	162.387	167.016	B	um could you go to mount montreux and then mount interlaken .
9	21	167.540	168.349	B	to see
9	22	170.056	170.595	A	mount
9	23	171.332	173.549	A	montreux to interlaken .
9	24	177.443	178.971	B	that 's 4 .
9	25	179.255	180.109	B	okay .
9	26	180.454	181.787	B	then , can you erase that ?
9	27	185.489	186.822	B	oh , okay .
9	28	186.372	187.571	A	now we 've swapped .
9	29	187.571	188.335	B	okay .
9	30	188.529	191.195	A	i think every time we erase something then we swap .
9	31	191.300	191.929	B	okay .
9	32	192.214	193.247	B	how much is that ?
9	33	193.502	194.116	A	2 .
9	34	195.616	198.867	B	okay , 2 franc , 2 francs .
9	35	198.971	199.870	A	it says 2 .
9	36	201.188	201.832	B	hmm
9	37	203.106	204.289	B	how much is that ?
9	38	205.202	205.757	A	3 .
9	39	207.107	209.668	B	so we have 4 2 3 .
9	40	207.347	208.515	A	we 've swapped again .
9	41	210.088	211.121	A	yes so
9	42	210.477	213.428	B	try mount luzern to mount bern .
9	43	213.263	215.210	A	luzern to mount bern ?
9	44	215.315	216.094	B	yeah .
9	45	217.757	220.183	B	i think you have to touch east so that 's 3 francs .
9	46	221.233	222.803	B	oh , okay .
9	47	223.131	223.596	B	um
9	48	223.786	229.599	B	i think we should start to mount montreux , and then finish at mount interlaken .
9	49	229.978	230.444	B	you ?
9	50	229.978	230.392	A	yeah .
9	51	230.962	235.257	B	so kind of like go around in a snake instead of having to stop .
9	52	234.670	236.932	A	so should we , go to mount
9	53	239.306	239.727	A	basel .
9	54	240.020	245.678	B	you should erase the mount bern and do it from mount luzern to mount davos i think .
9	55	246.367	249.024	A	okay but you would have to do it because
9	56	248.282	250.674	B	yeah , i think though i 'm not sure though .
9	57	251.329	251.967	A	okay .
9	58	251.502	252.657	B	yes i will .
9	59	252.864	255.676	B	so how about this how much is that ?
9	60	255.124	255.727	A	3 .
9	61	256.883	259.919	B	we 've got 3 uh 2 3 2 .
9	62	260.178	262.558	A	yeah so 4 2 3 2 .
9	63	262.576	264.059	B	it 's 6 8 .
9	64	264.559	265.163	A	wait .
9	65	265.767	268.009	A	3 3 6 yeah at 8 .
9	66	267.552	269.398	B	so should i do mount saint gallen ?
9	67	269.863	272.968	B	so we would have to go mount davos and mount saint gallen .
9	68	273.399	278.277	B	and then mount zurich then mount bern to mount basel then mount interlaken .
9	69	278.442	279.291	B	oh no then
9	70	279.964	280.430	B	um
9	71	280.723	284.303	B	mount neuchatel and then back to mount interlaken right ?
9	72	286.589	287.115	B	right ?
9	73	291.399	296.986	B	so we go around and like we go to mount saint , gallen and then mount zurich then mount basel then mount bern
9	74	297.202	297.849	B	then mount
9	75	297.202	297.978	A	so from
9	76	297.909	300.151	B	neuchatel , then interlaken
9	77	300.436	301.048	B	or
9	78	301.366	305.385	B	you go from mount neuchatel to mount bern to mount interlaken .
9	79	310.478	312.841	A	no i think the first idea was good .
9	80	316.945	320.981	B	first idea was good okay i 'm gon na go track this way , but
9	81	321.491	322.440	B	no .
9	82	323.734	325.976	B	no because i 'll go twice on it .
9	83	327.597	333.954	B	oh if i go here , no i wanna i wanna draw i wanna draw i wanna draw .
9	84	337.982	343.053	B	okay you try mount davos to mount saint gallen .
9	85	344.571	345.606	B	so that 's
9	86	346.192	346.813	A	2 .
9	87	346.347	348.452	B	2 3 3 2 .
9	88	348.435	350.108	A	2 3 3 2 .
9	89	349.349	358.197	B	wait there is uh so each track was 2 then you go 3 3 and then you go 2 then you 3 3 and then you go 2 then you 3 3 and then you go 2 that looks like it .
9	90	358.129	358.681	A	probably .
9	91	359.233	360.526	A	so how it 's going so far ?
9	92	360.664	361.061	A	wait .
9	93	361.268	363.767	A	so , so from , mount saint
9	94	363.510	364.528	B	saint gallen .
9	95	364.718	365.011	A	yeah .
