team_no,attempt_no,turn_no,start,end,subject,verb,object
20,1,1,0.311,0.311,R,shows,observe gesture
20,1,1,0.359,0.359,R,says,"so, ann and bob, let's start building the tracks. i count on you guys. are you ready? also, you need to play this game together, as both of you will see different views at all times. you can talk now to help each other. to see my instructions again, check the information icon on your screens. time to play. let's go!"
20,1,1,41.587,42.194,A,says,okay .
20,1,1,43.838,47.343,A,says,so i guess we have to connect all these with the .
20,1,1,47.774,49.958,B,says,"um do we, how many ."
20,1,1,51.957,52.982,A,says,oh .
20,1,1,54.427,54.427,R,shows,thinking gesture
20,1,1,54.443,54.443,R,says,"hmm, i see."
20,1,1,54.735,54.735,A,presses,help (enabled)
20,1,1,56.606,57.024,R,says,i see .
20,1,1,57.510,59.302,B,says,so we haven't even done anything .
20,1,1,60.152,61.230,B,says,have you done anything ?
20,1,1,61.756,62.201,A,says,no .
20,1,1,63.162,67.225,B,says,"so , how many ten circles and zero ."
20,1,1,67.832,68.856,B,says,minuses .
20,1,1,71.905,71.905,B,presses,submit (disabled)
20,1,1,72.405,72.405,B,presses,submit (disabled)
20,1,1,74.044,74.044,A,adds,Zermatt-Montreux (4-6)
20,1,1,75.582,75.582,B,presses,help (enabled)
20,1,1,77.274,78.056,B,says,i'm just gonna .
20,1,1,77.903,77.903,A,adds,Luzern-Zermatt (1-4)
20,1,1,79.054,79.472,A,says,uh
20,1,1,80.065,80.402,A,says,uh
20,1,1,80.590,81.332,B,says,oh there .
20,1,1,81.143,82.410,A,says,oh two three .
20,1,1,82.505,84.857,B,says,oh that's what you've been doing this all time .
20,1,2,85.675,85.675,A,presses,submit (disabled)
20,1,2,85.708,86.746,B,says,uh
20,1,2,87.072,89.525,B,says,"what we can't block the roads , right ?"
20,1,2,90.124,90.974,A,says,yeah i think .
20,1,2,90.206,90.206,A,presses,help (enabled)
20,1,2,94.117,94.967,A,says,um
20,1,2,95.522,96.924,B,says,i'm gonna try to do another one .
20,1,2,99.426,99.426,R,shows,observe gesture
20,1,2,99.437,100.381,B,says,i don't want to .
20,1,2,101.500,102.781,B,says,i don't want an eraser .
