team_no,attempt_no,turn_no,start,end,subject,verb,object
9,1,1,0.226,0.226,R,shows,observe gesture
9,1,1,0.309,0.309,R,says,"so, ann and bob, let's start building the tracks. i count on you guys. are you ready? also, you need to play this game together, as both of you will see different views at all times. you can talk now to help each other. to see my instructions again, check the information icon on your screens. time to play. let's go!"
9,1,1,40.591,41.040,B,says,uh
9,1,1,41.489,42.268,B,says,ann ?
9,1,1,42.268,42.897,A,says,yeah .
9,1,1,43.411,45.792,B,says,if you did from mount montreux
9,1,1,47.170,49.717,B,says,"to interlaken , mount interlaken ."
9,1,1,50.388,54.633,B,says,that would make it less expensive than if you went to mount montreux then to zermatt .
9,1,1,53.741,53.741,R,shows,thinking gesture
9,1,1,53.746,53.746,R,says,"hmm, i see."
9,1,1,55.352,56.010,R,says,i see .
9,1,1,65.809,65.809,B,presses,help (enabled)
9,1,1,66.276,66.276,B,presses,help (enabled)
9,1,1,66.942,66.942,B,presses,help (enabled)
9,1,1,93.176,93.176,B,presses,help (enabled)
9,1,1,98.798,98.798,R,shows,observe gesture
9,1,1,104.559,118.958,I,says,ann do you also want to read the instructions once ...
9,1,1,111.002,111.601,B,says,um
9,1,1,114.747,119.615,B,says,i've read the instructions and it says you could see the cost of it .
9,1,1,120.004,123.794,B,says,in swiss francs but how would you find that out ?
9,1,1,125.039,134.326,I,says,so can you open it again ...
9,1,1,127.025,127.025,B,presses,help (enabled)
9,1,1,127.366,127.366,A,presses,help (enabled)
9,1,1,135.734,138.700,B,says,if she does it i see the cost .
9,1,1,140.048,142.145,B,says,"oh , okay ."
9,1,1,140.240,140.602,A,says,oh .
9,1,1,144.276,145.834,B,says,"so , ann ."
9,1,1,146.313,149.069,B,says,you are the interactive that's right .
9,1,1,150.494,152.394,B,says,or do you have the dark screen .
9,1,1,152.566,153.921,A,says,no i have the
9,1,1,154.744,155.556,A,says,interactive .
9,1,1,155.660,157.158,B,says,so .
9,1,1,157.262,159.000,A,says,you have the abstract .
9,1,1,158.392,158.985,B,says,yes .
9,1,1,158.907,158.907,R,shows,thinking gesture
9,1,1,158.907,158.907,R,says,"hmm, i see."
9,1,1,160.350,160.948,R,says,i see .
9,1,1,162.387,167.016,B,says,um could you go to mount montreux and then mount interlaken .
9,1,1,167.540,168.349,B,says,to see
9,1,1,170.056,170.595,A,says,mount
9,1,1,171.332,173.549,A,says,montreux to interlaken .
9,1,1,176.906,176.906,A,adds,Interlaken-Montreux (5-6)
9,1,1,177.443,178.971,B,says,that's 4 .
