team_no,attempt_no,turn_no,start,end,subject,verb,object
28,1,1,0.296,0.296,R,shows,observe gesture
28,1,1,0.365,0.365,R,says,"so, ann and bob, let's start building the tracks. i count on you guys. are you ready? also, you need to play this game together, as both of you will see different views at all times. you can talk now to help each other. to see my instructions again, check the information icon on your screens. time to play. let's go!"
28,1,1,33.409,33.409,A,presses,help (enabled)
28,1,1,40.000,41.161,A,says,"okay , so"
28,1,1,40.580,45.036,B,says,"so we have to connect all the places with tracks , with the least amount of money wasted ."
28,1,1,45.752,46.342,B,says,okay
28,1,1,48.027,48.897,A,says,okay so
28,1,1,49.136,49.894,A,says,i think
28,1,1,51.312,55.941,A,says,"just go , from mount saint gallen , to mount zurich ."
28,1,1,53.276,53.276,B,presses,submit (disabled)
28,1,1,53.533,53.533,R,shows,thinking gesture
28,1,1,53.555,53.555,R,says,"hmm, i see."
28,1,1,54.545,54.545,B,presses,help (enabled)
28,1,1,55.197,55.969,R,says,i see .
28,1,1,57.159,57.968,B,says,okay .
28,1,1,58.431,59.750,B,says,how do i get off this screen ?
28,1,1,61.473,68.887,I,says,"uh so you so i think you should read the information , can you see at the top ?"
28,1,1,62.679,62.679,B,presses,submit (disabled)
28,1,1,62.984,62.984,B,presses,submit (disabled)
28,1,1,69.405,70.078,B,says,oh
28,1,1,71.014,73.843,I,says,and then you can see what you can do in each of them .
28,1,1,71.108,71.108,B,presses,help (enabled)
28,1,1,74.081,75.612,B,says,"okay , so i have to tell him ."
28,1,1,76.686,77.360,A,says,yeah tell me .
28,1,1,77.767,78.399,B,says,um
28,1,1,78.581,82.365,A,says,"i think uh just , from mount zurich to saint gallen ."
28,1,1,83.362,84.457,B,says,i can't see anything .
28,1,1,84.970,85.587,A,says,what ?
28,1,1,85.812,87.076,B,says,let me just check .
28,1,1,89.325,91.627,A,says,i think we go to mount zurich to saint gallen .
28,1,1,89.632,89.632,A,adds,Zurich-Gallen (2-8)
28,1,1,90.743,90.743,B,presses,help (enabled)
28,1,1,93.448,94.178,A,says,and then
28,1,1,94.711,95.975,A,says,from uh
28,1,1,97.632,99.303,A,says,mount zurich to mount bern .
28,1,1,98.532,98.532,R,shows,observe gesture
28,1,1,98.696,98.696,A,adds,Zurich-Bern (2-3)
28,1,1,101.085,102.447,B,says,uh now i'm on this screen .
28,1,1,102.723,107.721,A,says,"yeah , and then you you build , uh mount bern to mount basel ."
28,1,1,103.312,103.832,B,says,oh
28,1,1,108.042,110.045,B,says,"okay mount , bern"
28,1,1,110.494,111.196,A,says,to basel .
28,1,1,112.352,113.686,B,says,how much how much did that cost ?
28,1,1,113.812,114.135,A,says,3 .
28,1,1,114.571,115.048,B,says,3 ?
28,1,1,114.866,119.003,A,says,and then uh go from uh mount bern to luzern .
28,1,2,117.974,117.974,B,adds,Basel-Bern (0-3)
