Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns	utterances	tokens	priming_token	establish_token
3	3	6	mount bern to mount luzern .	65	75	1	B	64, 65, 138	[64, 65, 138]	[275, 281, 589]	275	281
2	2	6	mount zurich to mount bern .	304	2	1	A	303, 304	[303, 304]	[1314, 1320]	1314	1320
3	3	5	montreux to mount zermatt .	198	126	1	A	103, 198, 228	[103, 198, 228]	[425, 831, 948]	425	831
3	1	5	mount zurich to mount bern	305	3	1	A	303, 304, 305	[303, 304, 305]	[1314, 1320, 1330]	1314	1330
2	2	5	mount zurich , zurich .	132	98	1	B	35, 132	[35, 132]	[151, 558]	151	558
8	5	4	mount bern to mount	65	288	2	B	35, 64, 65, 125, 138, 272, 317, 322	[35, 64, 65, 125, 138, 272, 317, 322]	[148, 275, 281, 530, 589, 1144, 1393, 1399, 1417]	148	281
8	5	4	mount zurich to mount	303	255	4	B	58, 135, 258, 289, 303, 304, 305, 312	[58, 135, 258, 289, 303, 304, 305, 312]	[256, 573, 1069, 1222, 1314, 1320, 1330, 1362]	256	1314
4	1	4	to mount zermatt .	198	139	2	A	90, 103, 198, 228	[90, 103, 198, 228]	[384, 426, 832, 949]	384	832
3	3	4	to mount basel .	258	309	1	A	14, 258, 322	[14, 258, 322]	[50, 1071, 1419]	50	1071
10	2	3	mount zurich to	267	255	3	B	58, 135, 258, 267, 288, 289, 303, 304, 305, 312	[58, 135, 258, 267, 288, 289, 303, 304, 305, 312]	[256, 573, 1069, 1115, 1215, 1222, 1314, 1320, 1330, 1362]	256	1115
9	1	3	mount bern to	150	288	2	B	35, 64, 65, 125, 138, 150, 272, 317, 322	[35, 64, 65, 125, 138, 150, 272, 317, 322]	[148, 275, 281, 530, 589, 639, 1144, 1393, 1399, 1417]	148	639
9	1	3	zurich to mount	310	255	4	B	58, 135, 258, 289, 303, 304, 305, 310, 312	[58, 135, 258, 289, 303, 304, 305, 310, 312]	[257, 574, 1070, 1223, 1315, 1321, 1331, 1356, 1363]	257	1356
7	4	3	montreux to mount	103	157	1	B	77, 103, 115, 172, 198, 228, 233	[77, 103, 115, 172, 198, 228, 233]	[341, 425, 484, 726, 831, 948, 964]	341	425
7	4	3	to mount basel	38	309	1	A	14, 38, 47, 258, 312, 317, 322	[14, 38, 47, 258, 312, 317, 322]	[50, 167, 196, 1071, 1364, 1395, 1419]	50	167
6	3	3	mount luzern .	89	75	1	B	64, 65, 89, 127, 136, 138	[64, 65, 89, 127, 136, 138]	[278, 284, 381, 544, 577, 592]	278	381
6	6	3	mount montreux to	77	160	1	A	74, 77, 115, 198, 228, 233	[74, 77, 115, 198, 228, 233]	[328, 340, 483, 830, 947, 963]	328	340
5	5	3	mount neuchatel to	165	131	3	B	38, 47, 55, 165, 168	[38, 47, 55, 165, 168]	[165, 194, 242, 706, 713]	165	706
5	5	3	mount zurich .	109	222	1	B	96, 109, 130, 187, 317	[96, 109, 130, 187, 317]	[412, 465, 553, 782, 1402]	412	465
5	2	3	to mount bern	125	251	1	B	55, 125, 303, 304, 305	[55, 125, 303, 304, 305]	[244, 529, 1316, 1322, 1332]	244	529
5	5	3	to mount zurich	206	283	3	B	35, 96, 187, 206, 317	[35, 96, 187, 206, 317]	[150, 411, 781, 861, 1401]	150	861
4	1	3	mount basel .	45	309	1	A	14, 45, 258, 322	[14, 45, 258, 322]	[51, 186, 1072, 1420]	51	186
4	4	3	mount interlaken .	115	106	1	A	74, 115, 172, 179	[74, 115, 172, 179]	[332, 486, 728, 741]	332	486
3	3	3	mount basel ?	39	10	1	B	38, 39, 47	[38, 39, 47]	[168, 171, 197]	168	171
3	3	3	mount basel to	265	103	2	B	163, 187, 265	[163, 187, 265]	[696, 779, 1107]	696	1107
3	1	3	mount bern .	323	21	1	A	303, 304, 323	[303, 304, 323]	[1317, 1323, 1423]	1317	1423
3	3	3	mount luzern to	206	162	1	B	129, 206, 290	[129, 206, 290]	[550, 859, 1235]	550	859
2	2	3	and mount bern	317	172	1	A	146, 317	[146, 317]	[627, 1398]	627	1398
2	2	3	mount , bern	126	78	1	A	49, 126	[49, 126]	[205, 538]	205	538
2	2	3	mount zermatt to	200	95	1	A	106, 200	[106, 200]	[440, 841]	440	841
