Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns	utterances	tokens	priming_token	establish_token
2	2	7	from mount montreux to mount interlaken .	337	336	1	B	2, 337	[2, 337]	[10, 2186]	10	2186
2	2	7	you go from mount neuchatel to mount	300	44	1	B	257, 300	[257, 300]	[1615, 1875]	1615	1875
3	1	6	mount montreux to mount interlaken .	338	337	1	B	2, 337, 338	[2, 337, 338]	[11, 2187, 2193]	11	2193
3	3	6	mount neuchatel to mount interlaken .	300	55	1	B	295, 300, 349	[295, 300, 349]	[1855, 1878, 2300]	1855	1878
2	2	6	mount basel to mount neuchatel ,	349	117	1	A	233, 349	[233, 349]	[1429, 2291]	1429	2291
4	4	5	mount bern to mount basel	202	87	2	A	117, 160, 202, 203	[117, 160, 202, 203]	[640, 876, 1227, 1237]	640	1227
4	4	5	mount davos to mount zermatt	101	7	2	B	98, 99, 101, 104	[98, 99, 101, 104]	[550, 556, 564, 576]	550	564
3	1	5	mount basel to mount neuchatel	233	232	1	B	118, 233, 349	[118, 233, 349]	[647, 1429, 2291]	647	1429
3	3	5	then to mount zermatt .	86	192	1	B	85, 86, 276	[85, 86, 276]	[473, 480, 1747]	473	480
2	2	5	bern to mount basel and	316	157	1	A	160, 316	[160, 316]	[877, 1986]	877	1986
2	2	5	mount basel to neuchatel .	316	154	1	A	163, 316	[163, 316]	[898, 1991]	898	1991
2	2	5	mount luzern to mount davos	266	48	1	B	219, 266	[219, 266]	[1310, 1679]	1310	1679
11	9	4	mount luzern to mount	115	268	1	B	78, 115, 146, 182, 183, 216, 219, 221, 224, 266, 345	[78, 115, 146, 182, 183, 216, 219, 221, 224, 266, 345]	[399, 632, 773, 1061, 1086, 1297, 1310, 1322, 1341, 1679, 2257]	399	632
10	10	4	mount zurich to mount	261	266	5	A	79, 158, 184, 194, 225, 261, 311, 331, 332, 344	[79, 158, 184, 194, 225, 261, 311, 331, 332, 344]	[410, 866, 1095, 1191, 1353, 1658, 1943, 2114, 2121, 2251]	410	1658
8	8	4	mount zermatt to mount	347	335	7	A	13, 45, 141, 151, 239, 240, 314, 347	[13, 45, 141, 151, 239, 240, 314, 347]	[62, 228, 752, 821, 1486, 1508, 1967, 2265]	62	2265
8	2	4	to mount interlaken .	300	348	3	B	2, 51, 295, 300, 314, 337, 338, 349	[2, 51, 295, 300, 314, 337, 338, 349]	[13, 256, 1857, 1880, 1969, 2189, 2195, 2302]	13	1880
7	4	4	to mount zermatt .	86	268	2	B	78, 85, 86, 98, 99, 276, 345	[78, 85, 86, 98, 99, 276, 345]	[401, 474, 481, 552, 558, 1748, 2259]	401	481
6	2	4	mount bern to mount	227	172	2	A	117, 160, 202, 203, 227, 288	[117, 160, 202, 203, 227, 288]	[640, 876, 1227, 1237, 1377, 1815]	640	1377
6	2	4	mount neuchatel to mount	300	155	3	B	195, 257, 295, 300, 318, 349	[195, 257, 295, 300, 318, 349]	[1196, 1618, 1855, 1878, 1999, 2300]	1196	1878
5	2	4	mount basel to mount	160	232	1	B	118, 160, 233, 255, 349	[118, 160, 233, 255, 349]	[647, 883, 1429, 1597, 2291]	647	883
5	1	4	mount davos to mount	152	55	2	B	98, 99, 101, 104, 152	[98, 99, 101, 104, 152]	[550, 556, 564, 576, 828]	550	828
5	5	4	to mount davos .	219	227	3	A	13, 45, 218, 219, 239	[13, 45, 218, 219, 239]	[64, 230, 1306, 1312, 1488]	64	1312
4	1	4	neuchatel to mount interlaken	295	267	1	A	83, 295, 300, 349	[83, 295, 300, 349]	[460, 1856, 1879, 2301]	460	1856
3	1	4	to mount basel and	316	157	2	A	160, 184, 316	[160, 184, 316]	[878, 1097, 1987]	878	1987
3	3	4	to mount bern .	261	202	1	A	146, 261, 347	[146, 261, 347]	[775, 1660, 2267]	775	1660
3	3	4	to mount montreux .	195	74	2	A	122, 124, 195	[122, 124, 195]	[668, 674, 1198]	668	1198
3	3	4	to mount zurich ,	227	286	1	A	59, 227, 344	[59, 227, 344]	[292, 1379, 2246]	292	1379
3	3	4	to mount zurich .	77	167	1	B	58, 77, 224	[58, 77, 224]	[287, 386, 1343]	287	386
2	2	4	and then mount basel	349	2	1	A	348, 349	[348, 349]	[2284, 2289]	2284	2289
2	2	4	from mount davos .	284	189	1	B	96, 284	[96, 284]	[529, 1790]	529	1790
2	2	4	go to mount zurich	59	2	1	B	58, 59	[58, 59]	[286, 291]	286	291
2	2	4	start from mount davos	344	249	1	B	96, 344	[96, 344]	[528, 2231]	528	2231
2	2	4	to mount luzern .	141	82	1	B	60, 141	[60, 141]	[301, 754]	301	754
13	2	3	mount luzern to	267	268	1	B	78, 115, 146, 182, 183, 216, 219, 221, 224, 266, 267, 281, 345	[78, 115, 146, 182, 183, 216, 219, 221, 224, 266, 267, 281, 345]	[399, 632, 773, 1061, 1086, 1297, 1310, 1322, 1341, 1679, 1686, 1770, 2257]	399	1686
13	4	3	to mount interlaken	121	348	2	B	2, 51, 83, 121, 161, 164, 166, 295, 300, 314, 337, 338, 349	[2, 51, 83, 121, 161, 164, 166, 295, 300, 314, 337, 338, 349]	[13, 256, 461, 660, 887, 904, 920, 1857, 1880, 1969, 2189, 2195, 2302]	13	660
12	2	3	mount zurich to	261	266	6	A	79, 113, 158, 184, 194, 225, 261, 311, 331, 332, 336, 344	[79, 113, 158, 184, 194, 225, 261, 311, 331, 332, 336, 344]	[410, 615, 866, 1095, 1191, 1353, 1658, 1943, 2114, 2121, 2172, 2251]	410	1658
11	5	3	to mount basel	202	252	4	A	80, 117, 160, 184, 202, 203, 225, 257, 311, 316, 331	[80, 117, 160, 184, 202, 203, 225, 257, 311, 316, 331]	[428, 642, 878, 1097, 1229, 1239, 1355, 1620, 1945, 1987, 2116]	428	1229
